"","Region","Rating","Outlook","Fecha"
"2"," Abu Dhabi, UAE","AA","Stable","2012-02-20"
"3"," Albania","B+","Stable","2012-02-20"
"4"," Andorra","A-","Negative","2012-02-20"
"5"," Angola","BB-","Stable","2012-02-20"
"6"," Argentina","B-","Negative","2012-10-30"
"7"," Aruba","A-","Stable","2012-02-20"
"8"," Australia","AAA","Stable","2012-02-20"
"9"," Austria","AA+","Negative","2012-02-20"
"10"," Azerbaijan","BBB-","Positive","2012-02-20"
"11"," Bahamas","BBB","Stable","2012-02-20"
"12"," Bahrain","BBB","Negative","2012-02-20"
"13"," Bangladesh","BB-","Stable","2012-02-20"
"14"," Barbados","BB+","Negative","2012-02-20"
"15"," Belarus","B-","Stable","2012-06-01"
"16"," Belgium","AA","Negative","2012-02-20"
"17"," Belize","B-","Negative","2012-02-20"
"18"," Benin","B","Stable","2012-02-20"
"19"," Bermuda","AA-","Stable","2012-02-20"
"20"," Bolivia","BB-","Positive","2012-02-20"
"21"," Bosnia and Herzegovina","B","Negative","2012-02-20"
"22"," Botswana","A-","Stable","2012-02-20"
"23"," Brazil","BBB","Stable","2012-02-20"
"24"," Bulgaria","BBB","Stable","2012-02-20"
"25"," Burkina Faso","B","Stable","2012-02-20"
"26"," Cambodia","B","Stable","2012-02-20"
"27"," Cameroon","B","Stable","2012-02-20"
"28"," Canada","AAA","Stable","2012-02-20"
"29"," Cape Verde","B+","Stable","2012-02-20"
"30"," Chile","AA-","Positive","2012-12-26"
"31"," China","AA-","Stable","2012-02-20"
"32"," Colombia","BBB-","Positive","2012-08-15"
"33"," Cook Islands","B+","Negative","2012-02-20"
"34"," Costa Rica","BB","Stable","2012-02-20"
"35"," Croatia","BB+","Stable","2012-12-14"
"36"," Curacao","A-","Stable","2012-02-20"
"37"," Cyprus","CCC","Negative","2013-03-21"
"38"," Czech Republic","AA-","Stable","2012-02-20"
"39"," Denmark","AAA","Stable","2012-02-20"
"40"," Dominican Republic","B+","Stable","2012-02-20"
"41"," Ecuador","B","Positive","2012-02-20"
"42"," Egypt","B-","Negative","2012-12-24"
"43"," El Salvador","BB-","Stable","2012-02-20"
"44"," Estonia","AA-","Stable","2012-10-19"
"45"," Fiji","B","Stable","2012-02-20"
"46"," Finland","AAA","Stable","2012-02-20"
"47"," France","AA+","Negative","2012-02-20"
"48"," Gabon","BB-","Stable","2012-02-20"
