"","Region","Año","MI-RF","RF","MIa","MIb","MIc"
"3","Alemania","X2010",-51.1147692733676,31.8015377148887,-19.3132315584789,21.0666595455483,-27.6600384620656
"5","Argentina","X2005",9.0095095474261,20.2269593648294,29.2364689122555,104.843006371355,45.5926500596103
"6","Argentina","X2010",-53.7771068934896,27.461335358152,-26.3157715353376,51.188368373528,-6.94738617041452
"8","Australia","X2005",-21.194933812268,27.2781036922264,6.0831698799584,30.1307550911985,18.074574378868
"11","Austria","X2005",-10.0718363106659,6.36107122584051,-3.71076508482544,-13.8836944220102,-25.3840048427478
"12","Austria","X2010",12.1662107692671,9.2832472680166,21.4494580372837,0.345136431834272,8.96210552616914
"15","Bélgica","X2010",30.1757040601768,2.83848633215638,33.0141903923332,41.0208136205179,-28.9907275308286
"17","Bolivia","X2005",69.9230743242586,65.8671579569944,135.790232281253,120.055819328244,170.011238507428
"18","Bolivia","X2010",130.268416438849,33.5118680855045,163.780284524354,93.9186602160514,189.840866435401
"21","Brasil","X2010",-61.6328721409637,40.1779996258184,-21.4548725151453,34.3267142305857,-25.5626529569181
"22","Canadá","X2001",5.18375905831019,61.3562338690324,66.5399929273426,-27.5017855731514,99.439725490441
"27","Chile","X2010",51.8138255256259,17.5067513133358,69.3205768389617,46.0269558009558,43.3312210629463
"28","China","X2001",-470.460800649289,274.951583618876,-195.509217030413,489.950476285488,-156.772039429092
"30","China","X2010",-414.49210569402,331.101009999301,-83.3910956947193,-281.940111745585,-171.354501228552
"32","Colombia","X2005",-6.23348649052374,12.8928413618038,6.65935487128006,24.0459630066755,2.17557246188853
"34","Corea del Sur","X2001",-20.4256627852595,35.993601897071,15.5679391118115,-9.19589972001657,384.208876724711
"35","Corea del Sur","X2005",-52.5157247883792,20.2109019889272,-32.304822799452,-48.954296822768,318.88654851453
"36","Corea del Sur","X2010",-73.7714555399109,34.3495664581812,-39.4218890817297,-74.7526476489727,338.289624717239
"37","Costa Rica","X2001",10.9839097422518,4.9918480373382,15.97575777959,51.2830373878147,-19.1207516052342
"39","Costa Rica","X2010",25.8625681491026,4.44366373876334,30.3062318878659,29.9892385239047,-6.5801189721501
"45","El Salvador","X2010",-9.33925293809839,2.99817009276533,-6.34108284533306,-3.59873495152355,2.12794251359668
"49","EUA","X2001",93.8281184758979,79.3749229391191,173.203041415017,90.9426466546867,-202.735795637023
"50","EUA","X2005",-101.65735846145,168.821750136522,67.1643916750718,4.57776476536843,-243.022153409341
"51","EUA","X2010",8.13581867540501,256.564828605846,264.700647281251,273.959271095234,128.390402061846
"54","Finlandia","X2010",1.10155199221352,4.22079864092133,5.32235063313485,-24.091013179781,24.2005555925293
"60","Grecia","X2010",-4.13624513114,23.7375458595766,19.6013007284366,29.5004314450201,34.07351673492
"63","Guatemala","X2010",-23.3350119365554,6.32978849141749,-17.0052234451379,-28.4927995253264,28.5240591846987
"69","Hungría","X2010",33.3702969883505,7.77802783398131,41.1483248223318,5.10133762127902,32.4276690226255
"71","India","X2005",214.185488671082,352.593534217775,566.779022888857,817.333702193846,587.656976356499
"75","Irlanda","X2010",43.1223431292598,3.23089372012,46.3532368493798,36.3356965132874,40.0412269721518
"81","Italia","X2010",-55.305615626711,40.770903870636,-14.534711756075,-38.9397189475287,5.78046070081917
"84","Japón","X2010",-199.579243343773,95.1840458154545,-104.395197528319,-78.7461666618297,23.6324502236553
"87","Malasia","X2010",24.3918033029247,8.39978121946064,32.7915845223853,-3.7924519892233,-21.4235253003151
"92","Nicaragua","X2005",8.6716168121925,13.5034922044621,22.1751090166546,-22.2410264354324,41.2611506456788
"96","Noruega","X2010",20.2948199513943,6.01890290171097,26.3137228531053,-21.4005741025634,13.8421810881059
"98","Panamá","X2005",-26.6450927869702,15.0750890478588,-11.5700037391114,54.9352759071211,-18.1455516937897
"99","Panamá","X2010",-17.7251628973253,5.58507592706176,-12.1400869702635,34.8390174774265,14.7425417099272
