"","Region","Año","MI-RF","RF","MIa","MIb","MIc"
"11","Alemania","X2011",4,4,4,4,4
"22","Argentina","X2011",3,3,3,3,3
"33","Australia","X2011",4,4,4,4,4
"44","Austria","X2011",4,4,4,4,4
"55","Bélgica","X2011",5,5,5,5,5
"56","Bolivia","X2001",-0.71911701581085,3.71911701581085,3,4,4
"57","Bolivia","X2002",-0.90233058338675,3.90233058338675,3,4,4
"58","Bolivia","X2003",-0.42548524762662,3.42548524762662,3,3,4
"59","Bolivia","X2004",0.30803500526233,3.69196499473767,4,4,3
"60","Bolivia","X2005",0.95461582848359,3.04538417151641,4,3,4
"61","Bolivia","X2006",-0.68939435502894,3.68939435502894,3,3,4
"62","Bolivia","X2007",0.45105545153224,3.54894454846776,4,4,3
"63","Bolivia","X2008",0.65404059400171,3.34595940599829,4,4,4
"64","Bolivia","X2009",-0.6576173870975,3.6576173870975,3,3,4
"65","Bolivia","X2010",-0.89771807904883,3.89771807904883,3,4,4
"66","Bolivia","X2011",3,3.64778497746047,3,3,4
"77","Brasil","X2011",3,3,3,3,3
"88","Canadá","X2011",4,4,4,4,4
"99","Chile","X2011",4,4,4,4,4
"110","China","X2011",3,3,3,3,3
"121","Colombia","X2011",3,3,3,3,3
"132","Corea del Sur","X2011",3,3,3,3,3
"133","Costa Rica","X2001",0.29957586434462,2.70042413565538,3,3,3
"134","Costa Rica","X2002",0.77839089535124,3.22160910464876,4,3,4
"135","Costa Rica","X2003",-0.40204014499394,3.40204014499394,3,3,4
"136","Costa Rica","X2004",-0.76560621893701,4.76560621893701,4,3,4
"137","Costa Rica","X2005",0.65937479392786,3.34062520607214,4,3,4
"138","Costa Rica","X2006",0.63337987936675,3.36662012063325,4,3,4
"139","Costa Rica","X2007",-0.58262527963107,3.58262527963107,3,3,4
"140","Costa Rica","X2008",1.73457412554533,3.26542587445467,5,4,4
"141","Costa Rica","X2009",0.668739946807,3.331260053193,4,3,5
"142","Costa Rica","X2010",0.89817803653366,3.10182196346634,4,4,4
"143","Costa Rica","X2011",5,3.7289234566841,5,4,4
"154","Dinamarca","X2011",5,5,5,5,5
"155","El Salvador","X2001",0.000000590126469912633,2.99999940987353,3,4,3
"156","El Salvador","X2002",-0.34256011852211,3.34256011852211,3,3,3
"157","El Salvador","X2003",3,0,3,3,3
"158","El Salvador","X2004",3,0,3,3,3
"159","El Salvador","X2005",3,0,3,3,3
"160","El Salvador","X2006",4,0,4,3,4
"161","El Salvador","X2007",-0.49999937000011,3.49999937000011,3,3,3
"162","El Salvador","X2008",-0.22891819312446,3.22891819312446,3,3,3
"163","El Salvador","X2009",0.41390313831021,3.58609686168979,4,3,3
"164","El Salvador","X2010",-1.20600862807984,4.20600862807984,3,3,3
"165","El Salvador","X2011",5,3.083746557109,5,4,3
"176","España","X2011",4,4,4,4,4
"187","EUA","X2011",4,4,4,4,4
"198","Finlandia","X2011",5,5,5,5,5
"209","Francia","X2011",5,5,5,5,5
"220","Grecia","X2011",3,3,3,3,3
"221","Guatemala","X2001",1.06675654637374,2.93324345362626,4,5,4
"222","Guatemala","X2002",1.05146777137472,2.94853222862528,4,4,5
"223","Guatemala","X2003",0.17092671296488,2.82907328703512,3,3,5
"224","Guatemala","X2004",0.0932003803300701,2.90679961966993,3,4,4
"225","Guatemala","X2005",1.01317385758126,2.98682614241874,4,5,5
"226","Guatemala","X2006",1.12470071782043,2.87529928217957,4,4,4
"227","Guatemala","X2007",-0.10367403705356,3.10367403705356,3,5,4
"228","Guatemala","X2008",0.3112801139487,2.6887198860513,3,5,4
"229","Guatemala","X2009",-0.24453434155909,3.24453434155909,3,4,5
"230","Guatemala","X2010",-0.0176718482282201,3.01767184822822,3,4,5
