"","Region","Año","MI-RF","RF","MIa","MIb","MIc"
"1","Alemania","X2001",6943.16,3324.7,10267.86,10267.86,10267.86
"2","Alemania","X2002",2823.21,3874.9,6698.11,6698.11,6698.11
"3","Alemania","X2003",1671.58,4508.2,6179.78,6179.78,6179.78
"4","Alemania","X2004",1505.24,5531.8,7037.04,7037.04,7037.04
"5","Alemania","X2005",112.4,7137.6,7250,7250,7250
"6","Alemania","X2006",1196.08,6959.5,8155.58,8155.58,8155.58
"7","Alemania","X2007",1261.93,8464.1,9726.03,9726.03,9726.03
"8","Alemania","X2008",-323.870000000001,10865.6,10541.73,10541.73,10541.73
"9","Alemania","X2009",-9574.78,18047,8472.22,8472.22,8472.22
"10","Alemania","X2010",-7087.43,14902,7814.57,7814.57,7814.57
"11","Alemania","X2011",-5951.78,14296.7,8344.92,8344.92,8344.92
"12","Argentina","X2001",822.2,46.8,869,869,869
"13","Argentina","X2002",-2229.31217037199,33.5,-2195.81217037199,-671.820407403246,2282.24230373732
"14","Argentina","X2003",-4697.46990355749,51.5,-4645.96990355749,-1903.28540074394,2278.803257558
"15","Argentina","X2004",-1697.88610215043,61.2,-1636.68610215043,-977.806706356808,2754.45017393626
"16","Argentina","X2005",-749.795868187863,51.1,-698.695868187863,-3583.3111225619,299.580904410043
"17","Argentina","X2006",604.490815634341,71.3,675.790815634341,-529.808910803497,3074.82537119026
"18","Argentina","X2007",-2030.58392327483,106.2,-1924.38392327483,632.55862964998,2407.5364981008
"19","Argentina","X2008",-5943.18195998655,104.8,-5838.38195998655,119.444891518762,469.821987884708
"20","Argentina","X2009",-2856.76435296119,101.7,-2755.06435296119,-2970.99453740069,354.539604399432
"21","Argentina","X2010",-2963.89208106491,145.3,-2818.59208106491,-1284.70792712543,2855.51473747134
"22","Argentina","X2011",-4728.54481039692,190,-4538.54481039692,-2205.362897443,5404.78040608831
"23","Australia","X2001",4347.11,316.1,4663.21,4663.21,4663.21
"24","Australia","X2002",6147.4,323.8,6471.2,6471.2,6471.2
"25","Australia","X2003",3736.23,430,4166.23,4166.23,4166.23
"26","Australia","X2004",5856.96346805769,516.6,6373.56346805769,5114.03332157799,3987.87167469549
"27","Australia","X2005",3890.69,552.4,4443.09,4443.09,4443.09
"28","Australia","X2006",4190.25520553885,621.2,4811.45520553885,6896.13628609739,8480.76310010675
"29","Australia","X2007",5157.19,691,5848.19,5848.19,5848.19
"30","Australia","X2008",2347.62691878343,703.3,3050.92691878343,5362.5991425861,6524.02757378793
"31","Australia","X2009",3284.48152691659,1093.41208275628,4377.89360967287,5172.11977585357,4707.01747709826
"32","Australia","X2010",5052.887538689,1119.592461311,6172.48,6172.48,6172.48
"33","Australia","X2011",5646.82661749696,1866.07338250304,7512.9,7512.9,7512.9
"34","Austria","X2001",1214.98,137.7,1352.68,1352.68,1352.68
"35","Austria","X2002",661.92,242.8,904.72,904.72,904.72
"36","Austria","X2003",520.28,346.8,867.08,867.08,867.08
"37","Austria","X2004",472.24,372.2,844.44,844.44,844.44
"38","Austria","X2005",553.33,390.7,944.03,944.03,944.03
"39","Austria","X2006",399.83,541.2,941.03,941.03,941.03
"40","Austria","X2007",460.44,742.3,1202.74,1202.74,1202.74
"41","Austria","X2008",139.42,904.5,1043.92,1043.92,1043.92
"42","Austria","X2009",-31.3599999999999,750.8,719.44,719.44,719.44
"43","Austria","X2010",246.2,676.7,922.9,922.9,922.9
"44","Austria","X2011",-67.66,779.9,712.24,712.24,712.24
"45","Bélgica","X2001",-409.37988506813,1670.17988506813,1260.8,1260.8,1260.8
