"","Region","Año","MI-RF","RF","MIa","MIb","MIc"
"1","Alemania","X2001",-115.7,3324.7,3209,3209,3209
"2","Alemania","X2002",-649.9,3874.9,3225,3225,3225
"3","Alemania","X2003",-1247.2,4508.2,3261,3261,3261
"4","Alemania","X2004",-2257.8,5531.8,3274,3274,3274
"5","Alemania","X2005",-3840.6,7137.6,3297,3297,3297
"6","Alemania","X2006",-3569.5,6959.5,3390,3390,3390
"7","Alemania","X2007",-4939.1,8464.1,3525,3525,3525
"8","Alemania","X2008",-7198.6,10865.6,3667,3667,3667
"9","Alemania","X2009",-14267,18047,3780,3780,3780
"10","Alemania","X2010",-11046,14902,3856,3856,3856
"11","Alemania","X2011",-10854.4222152015,14296.7,3442.27778479846,3442.27778479846,3442.27778479846
"12","Argentina","X2001",641.2,46.8,688,688,688
"13","Argentina","X2002",659.5,33.5,693,693,693
"14","Argentina","X2003",668.5,51.5,720,720,720
"15","Argentina","X2004",707.8,61.2,769,769,769
"16","Argentina","X2005",772.9,51.1,824,824,824
"17","Argentina","X2006",826.7,71.3,898,898,898
"18","Argentina","X2007",876.8,106.2,983,983,983
"19","Argentina","X2008",941.2,104.8,1046,1046,1046
"20","Argentina","X2009",1854.3,101.7,1956,1956,1956
"21","Argentina","X2010",2241.7,145.3,2387,2387,2387
"22","Argentina","X2011",1912.22070768855,190,2102.22070768855,2102.22070768855,2102.22070768855
"23","Australia","X2001",3134.9,316.1,3451,3451,3451
"24","Australia","X2002",3409.2,323.8,3733,3733,3733
"25","Australia","X2003",3161,430,3591,3591,3591
"26","Australia","X2004",3522.4,516.6,4039,4039,4039
"27","Australia","X2005",2843.6,552.4,3396,3396,3396
"28","Australia","X2006",3582.8,621.2,4204,4204,4204
"29","Australia","X2007",3453.11592460403,691,4144.11592460403,4144.11592460403,4144.11592460403
"30","Australia","X2008",3555.7,703.3,4259,4259,4259
"31","Australia","X2009",2527.58791724372,1093.41208275628,3621,3621,3621
"32","Australia","X2010",2434.407538689,1119.592461311,3554,3554,3554
"33","Australia","X2011",2816.15678845498,1866.07338250304,4682.23017095802,4682.23017095802,4682.23017095802
"34","Austria","X2001",2201.3,137.7,2339,2339,2339
"35","Austria","X2002",2742.2,242.8,2985,2985,2985
"36","Austria","X2003",1977.2,346.8,2324,2324,2324
"37","Austria","X2004",2798.8,372.2,3171,3171,3171
