"","Region","2001","2005","2010"
"1","Alemania",1.1,0.1,-27.6600384620656
"2","Argentina",21.5,45.5926500596103,-6.94738617041452
"3","Australia",16.7,18.074574378868,7.4
"4","Austria",0.1,-25.3840048427478,8.96210552616914
"5","Bélgica",0,0,-28.9907275308286
"6","Bolivia",125.38,170.011238507428,189.840866435401
"7","Brasil",36.6,31.7,-25.5626529569181
"8","Canadá",99.439725490441,2.3,4.7
"9","Chile",21.3,22.9,43.3312210629463
"10","China",-156.772039429092,358,-171.354501228552
"11","Colombia",4.9,2.17557246188853,5.9
"12","Corea del Sur",384.208876724711,318.88654851453,338.289624717239
"13","Costa Rica",-19.1207516052342,4.1,-6.5801189721501
"14","Dinamarca",0.2,0.1,0.2
"15","El Salvador",0.8,1.2,2.12794251359668
"16","España",23,20.1,19.6
"17","EUA",-202.735795637023,-243.022153409341,128.390402061846
"18","Finlandia",0.1,0.1,24.2005555925293
"19","Francia",4.5,3.9,3.1
"20","Grecia",8.4,8.5,34.07351673492
"21","Guatemala",1.5,1.9,28.5240591846987
"22","Holanda",0.1,0.1,0.1
"23","Hungría",0.7,0.3,32.4276690226255
"24","India",558.4,587.656976356499,688
"25","Irlanda",0,1.07,40.0412269721518
"26","Israel",1,1.1,1
"27","Italia",20,12.9,5.78046070081917
"28","Japón",56.8,54.6,23.6324502236553
"29","Malasia",2.5,2.5,-21.4235253003151
"30","México",56.1,60.6,61.8
"31","Nicaragua",1.2,41.2611506456788,1.5
"32","Noruega",0.8,0.8,13.8421810881059
"33","Panamá",0.7,-18.1455516937897,14.7425417099272
"34","Perú",16.4,57.6969941769499,24.44
"35","Polonia",1.1,1.1,1.2
"36","Portugal",6.2,8.3474063652784,30.5131716437389
"37","Reino Unido",1.3,1.3,1.1
"38","Rep. Checa",180.907775303519,168.174818324519,140.971512993496
"39","Rep. Dominicana",28.7933391440986,16.02,31.9206622770431
"40","Rusia",80.382370568996,-25.4308501582592,-313.074177294846
"41","Sudáfrica",7.8,69.0891502809231,94.1274381315579
"42","Suecia",0.1,0.1,15.3778582681668
"43","Suiza",0.1,34.8861517216384,0.1
"44","Tailandia",21.89,51.8,38.19
"45","Turquía",31.5,29.6,34
"46","Venezuela",37.41,53.0931732836129,24.1370307811781
