"","Region","Año","MI-RF","MI","RF"
"3","Alemania","X2010",-10.7348781693404,21.0666595455483,31.8015377148887
"5","Argentina","X2005",84.6160470065256,104.843006371355,20.2269593648294
"6","Argentina","X2010",23.727033015376,51.188368373528,27.461335358152
"8","Australia","X2005",2.8526513989721,30.1307550911985,27.2781036922264
"11","Austria","X2005",-20.2447656478507,-13.8836944220102,6.36107122584051
"12","Austria","X2010",-8.93811083618233,0.345136431834272,9.2832472680166
"15","Bélgica","X2010",38.1823272883615,41.0208136205179,2.83848633215638
"17","Bolivia","X2005",54.1886613712496,120.055819328244,65.8671579569944
"18","Bolivia","X2010",60.4067921305469,93.9186602160514,33.5118680855045
"21","Brasil","X2010",-5.8512853952327,34.3267142305857,40.1779996258184
"22","Canadá","X2001",-88.8580194421838,-27.5017855731514,61.3562338690324
"27","Chile","X2010",28.52020448762,46.0269558009558,17.5067513133358
"28","China","X2001",214.998892666612,489.950476285488,274.951583618876
"30","China","X2010",-613.041121744886,-281.940111745585,331.101009999301
"32","Colombia","X2005",11.1531216448717,24.0459630066755,12.8928413618038
"34","Corea del Sur","X2001",-45.1895016170876,-9.19589972001657,35.993601897071
"35","Corea del Sur","X2005",-69.1651988116952,-48.954296822768,20.2109019889272
"36","Corea del Sur","X2010",-109.102214107154,-74.7526476489727,34.3495664581812
"37","Costa Rica","X2001",46.2911893504765,51.2830373878147,4.9918480373382
"39","Costa Rica","X2010",25.5455747851414,29.9892385239047,4.44366373876334
"45","El Salvador","X2010",-6.59690504428888,-3.59873495152355,2.99817009276533
"49","EUA","X2001",11.5677237155676,90.9426466546867,79.3749229391191
"50","EUA","X2005",-164.243985371154,4.57776476536843,168.821750136522
"51","EUA","X2010",17.394442489388,273.959271095234,256.564828605846
"54","Finlandia","X2010",-28.3118118207023,-24.091013179781,4.22079864092133
"60","Grecia","X2010",5.7628855854435,29.5004314450201,23.7375458595766
"63","Guatemala","X2010",-34.8225880167439,-28.4927995253264,6.32978849141749
"69","Hungría","X2010",-2.67669021270229,5.10133762127902,7.77802783398131
"71","India","X2005",464.740167976071,817.333702193846,352.593534217775
"75","Irlanda","X2010",33.1048027931674,36.3356965132874,3.23089372012
"81","Italia","X2010",-79.7106228181647,-38.9397189475287,40.770903870636
"84","Japón","X2010",-173.930212477284,-78.7461666618297,95.1840458154545
"87","Malasia","X2010",-12.1922332086839,-3.7924519892233,8.39978121946064
"92","Nicaragua","X2005",-35.7445186398945,-22.2410264354324,13.5034922044621
"96","Noruega","X2010",-27.4194770042744,-21.4005741025634,6.01890290171097
"98","Panamá","X2005",39.8601868592623,54.9352759071211,15.0750890478588
"99","Panamá","X2010",29.2539415503647,34.8390174774265,5.58507592706176
"101","Perú","X2005",-5.4741449715163,15.4171103658725,20.8912553373888
"107","Portugal","X2005",-19.0581194541664,-13.1463441509258,5.91177530324056
"108","Portugal","X2010",-7.79205527879461,3.57375506600719,11.3658103448018
"112","Rep. Checa","X2001",130.60479581649,136.976400387126,6.37160457063553
"113","Rep. Checa","X2005",126.655525269253,131.940482608806,5.28495733955259
"114","Rep. Checa","X2010",117.049030101587,124.54548997588,7.49645987429294
"115","Rep. Dominicana","X2001",8.911164718962,21.1719906451925,12.2608259262305
"117","Rep. Dominicana","X2010",3.1666350772051,13.5752170880082,10.4085820108031
"118","Rusia","X2001",176.305342316122,243.224433841487,66.9190915253646
"119","Rusia","X2005",199.738865534797,323.088194678899,123.349329144102
"120","Rusia","X2010",186.75453341317,392.433533190617,205.678999777447
"122","Sudáfrica","X2005",-28.5825285236375,-13.9606961751582,14.6218323484793
"123","Sudáfrica","X2010",-41.557101281264,-16.8810785374622,24.6760227438018
"126","Suecia","X2010",-26.221876275679,-21.8424414252057,4.37943485047328
"128","Suiza","X2005",-47.1438760449352,-45.8932605714186,1.25061547351659
"137","Venezuela","X2005",34.0813523631546,55.0192047693765,20.9378524062219
"138","Venezuela","X2010",19.0330349111577,44.6381906118706,25.6051557007129
