"","Region","Año","MI-RF","RF","MIa","MIb","MIc"
"56","Bolivia","X2001",38155.6157395647,5146.80402468524,43302.4197642499,65759.8562421433,52562.298651201
"57","Bolivia","X2002",56369.8613735301,953.757546944701,57323.6189204748,50286.8205818713,59336.4535271014
"58","Bolivia","X2003",52280.1750967312,288.008564764129,52568.1836614953,64556.5414604571,49507.2850991726
"59","Bolivia","X2004",56465.6454605456,314.928122554916,56780.5735831005,60557.9168923979,62410.2387413844
"60","Bolivia","X2005",63660.7043831441,653.341649449222,64314.0460325933,54727.7631233593,84517.3572119717
"61","Bolivia","X2006",39054.3618327888,2636.61878041454,41690.9806132033,52596.4853423273,62509.7058130884
"62","Bolivia","X2007",41115.1134972511,264.596325258449,41379.7098225096,48276.2793932144,64711.203978577
"63","Bolivia","X2008",28290.831197767,312.821817498909,28603.6530152659,58124.8030530935,54785.3785870033
"64","Bolivia","X2009",42077.9416524393,735.13163343937,42813.0732858787,79411.5544986803,29701.8561611785
"65","Bolivia","X2010",65858.497996866,448.152958682477,66306.6509555485,46997.785136264,64819.4826544159
"66","Bolivia","X2011",44862.0902150829,454.098761709621,45316.1889767925,55291.7460255464,56029.6205657547
"155","El Salvador","X2001",102769.943697279,384.963676549598,103154.907373829,36609.6923410959,28822.1591587131
"156","El Salvador","X2002",107535.715591617,385.268948653515,107920.984540271,42492.4653303937,8887.26687438916
"157","El Salvador","X2003",108471.456626445,367.184942408127,108838.641568853,18383.4177470473,15401.2745320135
"158","El Salvador","X2004",101745.19394874,376.569804707818,102121.763753448,33277.7886396707,20580.6985877853
"159","El Salvador","X2005",116690.827265529,334.926101833046,117025.753367362,30661.6683117641,13774.5974178237
"160","El Salvador","X2006",118149.763870168,370.303414386304,118520.067284554,32993.4229537334,13866.1601229086
"161","El Salvador","X2007",108714.425296832,420.338873513044,109134.764170345,24147.0972536674,3636.76780071895
"162","El Salvador","X2008",109400.371661663,420.119396419095,109820.491058082,24782.889813674,868.5376651742
"163","El Salvador","X2009",95281.269842395,380.08047107923,95661.3503134742,19705.9901250743,5675.51423017417
"164","El Salvador","X2010",122634.525761791,413.596451634163,123048.122213425,24771.5405657381,1978.85164354249
"165","El Salvador","X2011",115258.795298616,515.894970666149,115774.690269282,34903.9559927371,24062.3274883753
"331","Nicaragua","X2001",33349.7379050684,289.533753612562,33639.271658681,-7869.48091520548,68092.4531689133
"332","Nicaragua","X2002",48096.316661325,288.75342861198,48385.070089937,-10929.0272234451,58726.0898562187
"333","Nicaragua","X2003",41281.8851115625,269.551250483986,41551.4363620465,-38235.2348090799,55699.0421908579
"334","Nicaragua","X2004",64756.2019738947,314.945008673145,65071.1469825678,-7048.98370442851,78664.6307553916
"335","Nicaragua","X2005",51694.514234981,288.235396148261,51982.7496311293,9697.74122476625,56832.2796959695
"336","Nicaragua","X2006",49454.0971330631,226.100823806074,49680.1979568692,-8534.26986001516,53945.414419721
"337","Nicaragua","X2007",47471.3633069603,321.637391248317,47793.0006982086,-16539.787211913,61785.1063086946
"338","Nicaragua","X2008",41603.8702099463,421.182839778246,42025.0530497245,-9370.6368964467,51327.4348149064
"339","Nicaragua","X2009",54904.7533777119,349.218544355193,55253.9719220671,-10678.8925662062,69437.7541209133
"340","Nicaragua","X2010",29025.200978042,336.648501143252,29361.8494791853,-22363.1623272974,49605.9335223395
"341","Nicaragua","X2011",41567.3849288096,341.216662838842,41908.6015916484,-6266.16987052144,51742.8520125026
