"","Region","Año","MI-RF","RF","MIa","MIb","MIc"
"11","Alemania","X2011",-0.00895379690028975,2.50595403160686,2.49700023470657,2.50079477149007,2.6911033831782
"21","Argentina","X2010",0.181037789432049,0.810362427756402,0.991400217188451,0.803063240883573,0.866285630283639
"22","Argentina","X2011",-0.425395346079728,0.925005244449295,0.499609898369567,0.708847170909151,1.14205600415357
"33","Australia","X2011",0.00985389637662992,2.15099560892987,2.1608495053065,2.71870192596257,2.26582845447878
"44","Austria","X2011",0.20285185564844,2.36190565818804,2.56475751383648,2.53494889448362,2.75050313911433
"54","Bélgica","X2010",0.2577948143657,1.79547290056132,2.05326771492702,1.88514417602939,2.01770287218625
"55","Bélgica","X2011",0.32583143660878,2.03306089563438,2.35889233224316,2.69340239782547,2.12849032406581
"58","Bolivia","X2003",0.22768666038566,0.285841169213304,0.513527829598964,0.285968245891648,0.237504970352758
"59","Bolivia","X2004",0.185363413769859,0.28530947072262,0.470672884492479,0.434600158851491,0.509563238471473
"60","Bolivia","X2005",0.18739910951061,0.293553902774061,0.480953012284671,0.256610485999854,0.629459266536094
"62","Bolivia","X2007",0.55134969126877,0.294036134452401,0.845385825721171,0.470768286063313,0.667448666418315
"63","Bolivia","X2008",0.567361117788801,0.257059298627879,0.82442041641668,0.786114084962248,0.636356396678392
"64","Bolivia","X2009",0.334073271073691,0.301937601552378,0.636010872626069,0.560559575736351,0.642314567605912
"65","Bolivia","X2010",0.489823897656662,0.257709326837238,0.7475332244939,0.783600643066542,0.711245223049098
"66","Bolivia","X2011",0.648166940202082,0.206062678475753,0.854229618677835,0.586326561946372,1.00127957946543
"75","Brasil","X2009",-0.0444689826724198,1.09062690969497,1.04615792702255,1.2884000049646,0.890691738375553
"76","Brasil","X2010",-0.254988247352346,1.01488715486397,0.759898907511624,1.20802665211613,0.721138051201815
"77","Brasil","X2011",-0.308152318330687,1.11667410423979,0.808521785909103,1.31520018106162,0.556561095153059
"88","Canadá","X2011",0.11015501330472,2.09063360928598,2.2007886225907,2.22554206011015,2.14044182382907
"97","Chile","X2009",0.226045451822673,0.520617578710604,0.746663030533277,0.86286229708838,0.640593699306743
"98","Chile","X2010",-0.280389434797505,0.906618138524461,0.626228703726956,0.616983492798525,0.532770267124162
"99","Chile","X2011",-0.082752493934244,0.967032459274033,0.884279965339789,0.670553691526922,0.897998997178215
"108","China","X2009",0.34498143812199,1.44386213373546,1.78884357185745,1.12749595010899,2.16303996995958
"109","China","X2010",0.16787612668738,1.49800279536919,1.66587892205657,1.4658143259414,2.34264471129801
"110","China","X2011",0.39887625724506,1.68161744249441,2.08049369973947,1.15597074989229,2.36316960804609
"120","Colombia","X2010",0.02792468807488,0.305099585797504,0.333024273872384,0.271609033741691,0.361735112451352
"121","Colombia","X2011",0.279011309541733,0.391471657208474,0.670482966750207,0.297334617632561,0.292505035728743
"130","Corea del Sur","X2009",0.49624333635632,2.70417911730846,3.20042245366478,3.02228209609124,2.8697688622037
"131","Corea del Sur","X2010",0.22090127116179,2.61585455757091,2.8367558287327,2.93228235552375,3.25869283131268
"132","Corea del Sur","X2011",0.53112760246636,2.72733020034795,3.25845780281431,2.72662025596455,3.3059785222652
"141","Costa Rica","X2009",0.172610223792592,0.350293373758297,0.522903597550889,0.324276941216669,0.462027154187689
"142","Costa Rica","X2010",-0.138654409506022,0.36098116662185,0.222326757115828,0.592001755577583,0.499778655563898
"143","Costa Rica","X2011",0.252828942358643,0.410645070730867,0.66347401308951,0.91574642890167,0.575784439795526
"154","Dinamarca","X2011",0.54242307990842,2.64075523476702,3.18317831467544,2.46461973732777,2.89309687630706
"155","El Salvador","X2001",-0.119544977587751,0.209286682216781,0.08974170462903,-0.0527738938380644,-0.0695825302498694
"156","El Salvador","X2002",-0.384568864545303,0.178758896198753,-0.20580996834655,-0.107476059288311,0.022032476527851
"157","El Salvador","X2003",-0.163470629045925,0.176979258090869,0.0135086290449439,0.0100419790402848,0.338575048138496
"158","El Salvador","X2004",-0.17284167672159,0.173810692782945,0.000969016061355188,0.0549241778079798,0.748316091336175
"159","El Salvador","X2005",-0.0966376934548154,0.160749477284423,0.0641117838296076,0.0879299330398007,0.00733997416256015
"160","El Salvador","X2006",0.028861021795443,0.152073605213022,0.180934627008465,0.147159406765749,0.177622349591373
"163","El Salvador","X2009",-0.225581578788674,0.168159510581536,-0.0574220682071381,-0.157351463513549,0.593469052439923
"164","El Salvador","X2010",0.166375616583408,0.151496503729527,0.317872120312935,0.497363205325556,0.459040663093462
"165","El Salvador","X2011",0.324870807425524,0.198560716671577,0.523431524097101,-0.0573500237047532,0.634858917600095
"175","España","X2010",0.00687093407873007,1.31547433459586,1.32234526867459,1.40463458757275,1.58258639768753
"176","España","X2011",0.0916665316638101,1.21345144255517,1.30511797421898,1.9050747336017,1.72247579051751
"186","EUA","X2010",-0.52197227615587,2.60032139800313,2.07834912184726,1.73888522894377,2.57544001708969
"187","EUA","X2011",-0.0687427212910703,2.59432455395663,2.52558183266556,2.10588383140306,2.23252860734998
"198","Finlandia","X2011",0.97573693350675,2.75833940733454,3.73407634084129,3.68386371088445,3.67807657135981
"208","Francia","X2010",0.158582764684,2.11954174855448,2.27812451323848,2.04204313030038,2.5295292003482
"209","Francia","X2011",0.0983815107953299,2.13281166712752,2.23119317792285,2.00397401916939,2.26464932116727
"219","Grecia","X2010",0.245055482479182,0.873240850944458,1.11829633342364,0.886226835090574,0.754435778326489
"220","Grecia","X2011",-0.0304460077077481,0.874469493877533,0.844023486169785,0.766296310381888,0.856955785491888
"221","Guatemala","X2001",-0.016125034633629,0.142572876522904,0.126447841889275,-0.136753579286564,0.00687763920218183
"222","Guatemala","X2002",-0.0581245633712827,0.0779133444169307,0.019788781045648,0.148079083456548,0.230792424487179
"223","Guatemala","X2003",-0.0802688009779632,0.0731502444375445,-0.0071185565404187,0.0988789668876271,0.160309815974124
"224","Guatemala","X2004",0.146639041843091,0.0825434810294581,0.229182522872549,-0.0660605957882213,0.199559602339018
"229","Guatemala","X2009",0.039016920927391,0.081581865631948,0.120598786559339,0.268094428714016,0.248093479847802
"230","Guatemala","X2010",-0.17928353774141,0.0979819261148329,-0.081301611626577,0.547917375378029,0.586647840511389
"231","Guatemala","X2011",-0.032846118881418,0.184099216768962,0.151253097887544,0.284239700301277,-0.04872606098286
"241","Holanda","X2010",0.27378649185037,1.8769130373917,2.15069952924207,2.25318019912117,2.09181377460702
"242","Holanda","X2011",0.47892950395903,1.88667446050343,2.36560396446246,1.74288708079799,2.44615829846395
"252","Hungría","X2010",-0.0988629688870239,1.09114226036543,0.992279291478406,1.28819281827815,1.24040283073876
"253","Hungría","X2011",-0.160886250443898,1.06595349996892,0.905067249525022,1.17760112247894,1.55203316613631
"262","India","X2009",-0.156404040908639,0.841912854105934,0.685508813197295,0.543196544522594,0.835896808767215
"263","India","X2010",0.120669634210907,0.826575135361726,0.947244769572633,0.835276407481362,0.980691813485393
"264","India","X2011",0.172193314953721,0.956712321189759,1.12890563614348,0.698233143456299,1.00153935602489
"274","Irlanda","X2010",-0.0170802766073199,1.5838860376996,1.56680576109228,1.38797757218661,1.46917509910081
