"","Region","Año","MI-RF","RF","MIa","MIb","MIc"
"1","Alemania","X2001",-3314.7,3324.7,10,10,10
"2","Alemania","X2002",-3865.2,3874.9,9.7,9.7,9.7
"3","Alemania","X2003",-4503.2,4508.2,5,5,5
"4","Alemania","X2004",-5526.9,5531.8,4.9,4.9,4.9
"5","Alemania","X2005",-7133.3,7137.6,4.3,4.3,4.3
"6","Alemania","X2006",-6954.9,6959.5,4.6,4.6,4.6
"7","Alemania","X2007",-8459.1,8464.1,5,5,5
"8","Alemania","X2008",-10860.6,10865.6,5,5,5
"9","Alemania","X2009",-18042.6,18047,4.4,4.4,4.4
"10","Alemania","X2010",-14898.1,14902,3.9,3.9,3.9
"11","Alemania","X2011",-14292.8,14296.7,3.9,3.9,3.9
"12","Argentina","X2001",-20.3,46.8,26.5,26.5,26.5
"13","Argentina","X2002",19.5,33.5,53,53,53
"14","Argentina","X2003",-32.4,51.5,19.1,19.1,19.1
"15","Argentina","X2004",-54.4,61.2,6.8,6.8,6.8
"16","Argentina","X2005",-44.9,51.1,6.2,6.2,6.2
"17","Argentina","X2006",-62.7,71.3,8.6,8.6,8.6
"18","Argentina","X2007",-95.1,106.2,11.1,11.1,11.1
"19","Argentina","X2008",-85.3,104.8,19.5,19.5,19.5
"20","Argentina","X2009",-86,101.7,15.7,15.7,15.7
"21","Argentina","X2010",-134.7,145.3,10.6,10.6,10.6
"22","Argentina","X2011",-175.9,190,14.1,14.1,14.1
"23","Australia","X2001",-307.4,316.1,8.7,8.7,8.7
"24","Australia","X2002",-315.6,323.8,8.2,8.2,8.2
"25","Australia","X2003",-421.6,430,8.4,8.4,8.4
"26","Australia","X2004",-507.7,516.6,8.9,8.9,8.9
"27","Australia","X2005",-543.3,552.4,9.1,9.1,9.1
"28","Australia","X2006",-611.8,621.2,9.4,9.4,9.4
"29","Australia","X2007",-682.8,691,8.2,8.2,8.2
"30","Australia","X2008",-694.4,703.3,8.9,8.9,8.9
"31","Australia","X2009",-1087.41208275628,1093.41208275628,6,6,6
"32","Australia","X2010",-1112.292461311,1119.592461311,7.3,7.3,7.3
"33","Australia","X2011",-1858.37338250304,1866.07338250304,7.7,7.7,7.7
"34","Austria","X2001",-132.2,137.7,5.5,5.5,5.5
"35","Austria","X2002",-237.9,242.8,4.9,4.9,4.9
"36","Austria","X2003",-342.5,346.8,4.3,4.3,4.3
"37","Austria","X2004",-368.3,372.2,3.9,3.9,3.9
"38","Austria","X2005",-387,390.7,3.7,3.7,3.7
"39","Austria","X2006",-537,541.2,4.2,4.2,4.2
