"","Region","Año","MI-RF","RF","MIa","MIb","MIc"
"1","Alemania","X2001",-3321.1,3324.7,3.6,3.6,3.6
"2","Alemania","X2002",-3872.2,3874.9,2.7,2.7,2.7
"3","Alemania","X2003",-4506,4508.2,2.2,2.2,2.2
"4","Alemania","X2004",-5529.9,5531.8,1.9,1.9,1.9
"5","Alemania","X2005",-7135.7,7137.6,1.9,1.9,1.9
"6","Alemania","X2006",-6956.9,6959.5,2.6,2.6,2.6
"7","Alemania","X2007",-8460.3,8464.1,3.8,3.8,3.8
"8","Alemania","X2008",-10861.5,10865.6,4.1,4.1,4.1
"9","Alemania","X2009",-18045.6,18047,1.4,1.4,1.4
"10","Alemania","X2010",-14900.9,14902,1.1,1.1,1.1
"11","Alemania","X2011",-14295.3,14296.7,1.4,1.4,1.4
"12","Argentina","X2001",-30.6,46.8,16.2,16.2,16.2
"13","Argentina","X2002",5.8,33.5,39.3,39.3,39.3
"14","Argentina","X2003",-41.3,51.5,10.2,10.2,10.2
"15","Argentina","X2004",-58.6,61.2,2.6,2.6,2.6
"16","Argentina","X2005",-47.3,51.1,3.8,3.8,3.8
"17","Argentina","X2006",-64.9,71.3,6.4,6.4,6.4
"18","Argentina","X2007",-98.2,106.2,8,8,8
"19","Argentina","X2008",-93.8,104.8,11,11,11
"20","Argentina","X2009",-90.1,101.7,11.6,11.6,11.6
"21","Argentina","X2010",-136.1,145.3,9.2,9.2,9.2
"22","Argentina","X2011",-179.3,190,10.7,10.7,10.7
"23","Australia","X2001",-312.2,316.1,3.9,3.9,3.9
"24","Australia","X2002",-320.1,323.8,3.7,3.7,3.7
"25","Australia","X2003",-426.5,430,3.5,3.5,3.5
"26","Australia","X2004",-512.7,516.6,3.9,3.9,3.9
"27","Australia","X2005",-548.5,552.4,3.9,3.9,3.9
"28","Australia","X2006",-617.1,621.2,4.1,4.1,4.1
"29","Australia","X2007",-686.5,691,4.5,4.5,4.5
"30","Australia","X2008",-698.6,703.3,4.7,4.7,4.7
"31","Australia","X2009",-1090.31208275628,1093.41208275628,3.1,3.1,3.1
"32","Australia","X2010",-1115.392461311,1119.592461311,4.2,4.2,4.2
"33","Australia","X2011",-1861.77338250304,1866.07338250304,4.3,4.3,4.3
"34","Austria","X2001",-134.7,137.7,3,3,3
"35","Austria","X2002",-240.2,242.8,2.6,2.6,2.6
"36","Austria","X2003",-344.7,346.8,2.1,2.1,2.1
"37","Austria","X2004",-370.3,372.2,1.9,1.9,1.9
"38","Austria","X2005",-388.7,390.7,2,2,2
"39","Austria","X2006",-538.5,541.2,2.7,2.7,2.7
"40","Austria","X2007",-738.5,742.3,3.8,3.8,3.8
"41","Austria","X2008",-900.2,904.5,4.3,4.3,4.3
"42","Austria","X2009",-748.9,750.8,1.9,1.9,1.9
"43","Austria","X2010",-675.6,676.7,1.1,1.1,1.1
"44","Austria","X2011",-778.4,779.9,1.5,1.5,1.5
"45","Bélgica","X2001",-1666.77988506813,1670.17988506813,3.4,3.4,3.4
"46","Bélgica","X2002",-646.3,648.9,2.6,2.6,2.6
"47","Bélgica","X2003",-881,883.3,2.3,2.3,2.3
"48","Bélgica","X2004",-1019.9,1021.9,2,2,2
"49","Bélgica","X2005",-1358.4,1360.4,2,2,2
"50","Bélgica","X2006",-1539.6,1542.3,2.7,2.7,2.7
"51","Bélgica","X2007",-1675.1,1678.9,3.8,3.8,3.8
"52","Bélgica","X2008",-1163,1166.9,3.9,3.9,3.9
"53","Bélgica","X2009",-2555.8,2556.4,0.6,0.6,0.6
"54","Bélgica","X2010",-2335.9,2336.3,0.4,0.4,0.4
"55","Bélgica","X2011",-2571.2,2572.1,0.9,0.9,0.9
"56","Bolivia","X2001",18.5,1.6,20.1,20.1,20.1
"57","Bolivia","X2002",18.8,1.8,20.6,20.6,20.6
"58","Bolivia","X2003",16,1.7,17.7,17.7,17.7
"59","Bolivia","X2004",12.7,1.8,14.5,14.5,14.5
"60","Bolivia","X2005",14.7,1.9,16.6,16.6,16.6
"61","Bolivia","X2006",10.1,1.8,11.9,11.9,11.9
"62","Bolivia","X2007",10.9,2,12.9,12.9,12.9
"63","Bolivia","X2008",11.6,2.3,13.9,13.9,13.9
"64","Bolivia","X2009",9.9,2.5,12.4,12.4,12.4
"65","Bolivia","X2010",7.1,2.8,9.9,9.9,9.9
"66","Bolivia","X2011",3.7,7.2,10.9,10.9,10.9
"67","Brasil","X2001",-94.2,112.1,17.9,17.9,17.9
"68","Brasil","X2002",-81.2,100.3,19.1,19.1,19.1
"69","Brasil","X2003",-86.1,108.1,22,22,22
"70","Brasil","X2004",-99.1,114.5,15.4,15.4,15.4
"71","Brasil","X2005",-84.1,101.7,17.6,17.6,17.6
"72","Brasil","X2006",-136.4,150.3,13.9,13.9,13.9
"73","Brasil","X2007",-308.8,319.4,10.6,10.6,10.6
"74","Brasil","X2008",-453.7,465.4,11.7,11.7,11.7
"75","Brasil","X2009",-424.5,433.8,9.3,9.3,9.3
"76","Brasil","X2010",-388.3,397.2,8.9,8.9,8.9
"77","Brasil","X2011",-579.8,590.8,11,11,11
"78","Canadá","X2001",-2409.9,2412.2,2.3,2.3,2.3
"79","Canadá","X2002",-2495.3,2496.1,0.8,0.8,0.8
"80","Canadá","X2003",-2808.7,2809.8,1.1,1.1,1.1
"81","Canadá","X2004",-3007.4,3008.2,0.8,0.8,0.8
"82","Canadá","X2005",-2764.2,2765,0.8,0.8,0.8
"83","Canadá","X2006",-3171.6,3173.4,1.8,1.8,1.8
"84","Canadá","X2007",-3502.8,3504.9,2.1,2.1,2.1
"85","Canadá","X2008",-3597.8,3599.3,1.5,1.5,1.5
"86","Canadá","X2009",-3420.1,3420.2,0.1,0.1,0.1
"87","Canadá","X2010",-3813.1,3813.3,0.2,0.2,0.2
"88","Canadá","X2011",-3945.9,3946.4,0.5,0.5,0.5
"89","Chile","X2001",-18.7,24.9,6.2,6.2,6.2
"90","Chile","X2002",-37.3,41.1,3.8,3.8,3.8
"91","Chile","X2003",-42.8,45.5,2.7,2.7,2.7
"92","Chile","X2004",-46.6,48.5,1.9,1.9,1.9
"93","Chile","X2005",-50.1,54,3.9,3.9,3.9
"94","Chile","X2006",-50.1,55.2,5.1,5.1,5.1
"95","Chile","X2007",-55.7,61.3,5.6,5.6,5.6
"96","Chile","X2008",-56.1,63.6,7.5,7.5,7.5
"97","Chile","X2009",-57.2,59.2,2,2,2
"98","Chile","X2010",-62.4,64.1,1.7,1.7,1.7
"99","Chile","X2011",-375.462357155723,380.762357155723,5.3,5.3,5.3
"100","China","X2001",-107.7,110,2.3,2.3,2.3
"101","China","X2002",-130.8,132.8,2,2,2
"102","China","X2003",-105,107,2,2,2
"103","China","X2004",-234.1,236.4,2.3,2.3,2.3
"104","China","X2005",-155.1,157.4,2.3,2.3,2.3
"105","China","X2006",-202,204.5,2.5,2.5,2.5
"106","China","X2007",-338.5,342.6,4.1,4.1,4.1
"107","China","X2008",-568.2,570.5,2.3,2.3,2.3
"108","China","X2009",-427.2,429.5,2.3,2.3,2.3
"109","China","X2010",-827.7,830.5,2.8,2.8,2.8
"110","China","X2011",-739.8,743.3,3.5,3.5,3.5
"111","Colombia","X2001",9.8,2.6,12.4,12.4,12.4
"112","Colombia","X2002",4.8,4.1,8.9,8.9,8.9
"113","Colombia","X2003",1.8,6,7.8,7.8,7.8
"114","Colombia","X2004",0.2,7.6,7.8,7.8,7.8
"115","Colombia","X2005",-2.9,9.9,7,7,7
"116","Colombia","X2006",-5,11.3,6.3,6.3,6.3
"117","Colombia","X2007",-8.8,16.8,8,8,8
"118","Colombia","X2008",-20,29.7,9.7,9.7,9.7
"119","Colombia","X2009",-32.8,39,6.2,6.2,6.2
"120","Colombia","X2010",-52.8,56.5,3.7,3.7,3.7
"121","Colombia","X2011",-54.6,58.9,4.3,4.3,4.3
"122","Corea del Sur","X2001",-917.7,923.5,5.8,5.8,5.8
"123","Corea del Sur","X2002",-830.3,835.3,5,5,5
"124","Corea del Sur","X2003",-1306.9,1311.2,4.3,4.3,4.3
"125","Corea del Sur","X2004",-1857.2,1861.1,3.9,3.9,3.9
"126","Corea del Sur","X2005",-1904.7,1908.4,3.7,3.7,3.7
"127","Corea del Sur","X2006",-2041.1,2045.6,4.5,4.5,4.5
"128","Corea del Sur","X2007",-1729.9,1735.1,5.2,5.2,5.2
"129","Corea del Sur","X2008",-2375.8,2381.7,5.9,5.9,5.9
"130","Corea del Sur","X2009",-3195.6,3199.1,3.5,3.5,3.5
"131","Corea del Sur","X2010",-3140.8,3144.7,3.9,3.9,3.9
"132","Corea del Sur","X2011",-4316.3,4320.5,4.2,4.2,4.2
"133","Costa Rica","X2001",22.9,0.9,23.8,23.8,23.8
"134","Costa Rica","X2002",24.7,1.7,26.4,26.4,26.4
"135","Costa Rica","X2003",25.1,0.5,25.6,25.6,25.6
"136","Costa Rica","X2004",22.9,0.5,23.4,23.4,23.4
"137","Costa Rica","X2005",24.6,0.1,24.7,24.7,24.7
"138","Costa Rica","X2006",11.939590109365,10.260409890635,22.2,22.2,22.2
"139","Costa Rica","X2007",9.37610712340572,3.42389287659428,12.8,12.8,12.8
"140","Costa Rica","X2008",15.2,0.6,15.8,15.8,15.8
"141","Costa Rica","X2009",19.1,0.6,19.7,19.7,19.7
"142","Costa Rica","X2010",9.6,7.5,17.1,17.1,17.1
"143","Costa Rica","X2011",12,4.1,16.1,16.1,16.1
"144","Dinamarca","X2001",-741.716007723548,745.016007723548,3.3,3.3,3.3
"145","Dinamarca","X2002",-950.268157749185,952.668157749185,2.4,2.4,2.4
"146","Dinamarca","X2003",-941.168439173036,942.868439173036,1.7,1.7,1.7
"147","Dinamarca","X2004",-1094.28642050516,1095.78642050516,1.5,1.5,1.5
"148","Dinamarca","X2005",-1123.23947107452,1124.73947107452,1.5,1.5,1.5
"149","Dinamarca","X2006",-1329.75125957186,1331.95125957186,2.2,2.2,2.2
"150","Dinamarca","X2007",-1305.52524301538,1308.62524301538,3.1,3.1,3.1
"151","Dinamarca","X2008",-1293.74775232457,1297.54775232457,3.8,3.8,3.8
"152","Dinamarca","X2009",-1487.50774367214,1489.60774367214,2.1,2.1,2.1
"153","Dinamarca","X2010",-2171.76006634647,2172.76006634647,1,1,1
"154","Dinamarca","X2011",-1033.5751948848,1034.6751948848,1.1,1.1,1.1
"155","El Salvador","X2001",13.0695029188658,1.2,14.2695029188658,10.903909750304,0.699672020324051
"156","El Salvador","X2002",7.91171209957376,1.5,9.41171209957376,13.7421614539129,4.41660032253652
"157","El Salvador","X2003",7.58304937518226,0.2,7.78304937518226,10.2591604316033,-0.211550734756021
"158","El Salvador","X2004",17.7092829323893,0.1,17.8092829323893,7.82442502610059,1.82219940002175
"159","El Salvador","X2005",10.9612826646552,2.4,13.3612826646552,9.4865682213739,4.6205758629764
"160","El Salvador","X2006",11.437740476157,0.5,11.937740476157,-2.72265689507987,1.50662066687849
"161","El Salvador","X2007",9.14321699920127,0.3,9.44321699920127,12.3465704499138,7.66698284072321
"162","El Salvador","X2008",8.12656148909569,1.4,9.52656148909569,13.6851590959454,-2.5378254305272
"163","El Salvador","X2009",8.97573047084811,0.4,9.37573047084811,10.8784165385874,2.60230225727204
"164","El Salvador","X2010",10.5730858737532,0.4,10.9730858737532,5.28449476916476,1.83633028047374
"165","El Salvador","X2011",5.63856566371891,0.3,5.93856566371891,13.7114389036744,1.68356909209899
"166","España","X2001",-362.3,365.4,3.1,3.1,3.1
"167","España","X2002",-367.6,370.1,2.5,2.5,2.5
"168","España","X2003",-525.8,527.9,2.1,2.1,2.1
"169","España","X2004",-498.1,500.1,2,2,2
"170","España","X2005",-562.7,564.8,2.1,2.1,2.1
"171","España","X2006",-919.8,922.6,2.8,2.8,2.8
"172","España","X2007",-533.1,537,3.9,3.9,3.9
"173","España","X2008",-796.6,801.2,4.6,4.6,4.6
