"","Region","Año","MI-RF","RF","MIa","MIb","MIc"
"1","Alemania","X2001",758853.3,3324.7,762178,762178,762178
"2","Alemania","X2002",792254.1,3874.9,796129,796129,796129
"3","Alemania","X2003",840372.8,4508.2,844881,844881,844881
"4","Alemania","X2004",931611.2,5531.8,937143,937143,937143
"5","Alemania","X2005",1016720.4,7137.6,1023858,1023858,1023858
"6","Alemania","X2006",1077861.5,6959.5,1084821,1084821,1084821
"7","Alemania","X2007",1118234.9,8464.1,1126699,1126699,1126699
"8","Alemania","X2008",1143606.4,10865.6,1154472,1154472,1154472
"9","Alemania","X2009",1062506,18047,1080553,1080553,1080553
"10","Alemania","X2010",1071513,14902,1086415,1086415,1086415
"11","Alemania","X2011",1246120.36626456,14296.7,1260417.06626456,1317941.79846404,1242912.93832665
"12","Argentina","X2001",124446.2,46.8,124493,124493,124493
"13","Argentina","X2002",113144.5,33.5,113178,113178,113178
"14","Argentina","X2003",91605.5,51.5,91657,91657,91657
"15","Argentina","X2004",90456.8,61.2,90518,90518,90518
"16","Argentina","X2005",81246.9,51.1,81298,81298,81298
"17","Argentina","X2006",74090.7,71.3,74162,74162,74162
"18","Argentina","X2007",79358.8,106.2,79465,79465,79465
"19","Argentina","X2008",74544.2,104.8,74649,74649,74649
"20","Argentina","X2009",74444.3,101.7,74546,74546,74546
"21","Argentina","X2010",100252.7,145.3,100398,100398,100398
"22","Argentina","X2011",58481.1657955362,190,58671.1657955362,89788.7708203667,10016.5695075786
"23","Australia","X2001",388417.9,316.1,388734,388734,388734
"24","Australia","X2002",536543.2,323.8,536867,536867,536867
"25","Australia","X2003",529218,430,529648,529648,529648
"26","Australia","X2004",324422.4,516.6,324939,324939,324939
"27","Australia","X2005",341956.6,552.4,342509,342509,342509
"28","Australia","X2006",352287.8,621.2,352909,352909,352909
"29","Australia","X2007",352855,691,353546,353546,353546
"30","Australia","X2008",392659.7,703.3,393363,393363,393363
"31","Australia","X2009",402162.587917244,1093.41208275628,403256,403256,403256
"32","Australia","X2010",417280.407538689,1119.592461311,418400,418400,418400
"33","Australia","X2011",361218.609047183,1866.07338250304,363084.682429686,335502.400472194,329243.534490106
"34","Austria","X2001",133423.3,137.7,133561,133561,133561
"35","Austria","X2002",135273.2,242.8,135516,135516,135516
"36","Austria","X2003",128102.2,346.8,128449,128449,128449
"37","Austria","X2004",136676.8,372.2,137049,137049,137049
"38","Austria","X2005",141577.3,390.7,141968,141968,141968
"39","Austria","X2006",148970.8,541.2,149512,149512,149512
"40","Austria","X2007",150327.7,742.3,151070,151070,151070
"41","Austria","X2008",149833.5,904.5,150738,150738,150738
"42","Austria","X2009",138191.2,750.8,138942,138942,138942
"43","Austria","X2010",183221.3,676.7,183898,183898,183898
"44","Austria","X2011",340493.304743984,779.9,341273.204743984,211635.071555709,85860.9870650541
"45","Bélgica","X2001",176660.820114932,1670.17988506813,178331,178331,178331
"46","Bélgica","X2002",133033.1,648.9,133682,133682,133682
"47","Bélgica","X2003",131895.7,883.3,132779,132779,132779
"48","Bélgica","X2004",153196.1,1021.9,154218,154218,154218
"49","Bélgica","X2005",150578.6,1360.4,151939,151939,151939
"50","Bélgica","X2006",156473.7,1542.3,158016,158016,158016
"51","Bélgica","X2007",172139.1,1678.9,173818,173818,173818
"52","Bélgica","X2008",177852.1,1166.9,179019,179019,179019
"53","Bélgica","X2009",247440.6,2556.4,249997,249997,249997
"54","Bélgica","X2010",140389.7,2336.3,142726,142726,142726
"55","Bélgica","X2011",133687.439181054,2572.1,136259.539181054,173289.174452064,181768.809419405
"56","Bolivia","X2001",20005.4,1.6,20007,20007,20007
"57","Bolivia","X2002",20558.2,1.8,20560,20560,20560
"58","Bolivia","X2003",28899.3,1.7,28901,28901,28901
"59","Bolivia","X2004",25762.2,1.8,25764,25764,25764
"60","Bolivia","X2005",25642.1,1.9,25644,25644,25644
"61","Bolivia","X2006",21976.2,1.8,21978,21978,21978
"62","Bolivia","X2007",24087,2,24089,24089,24089
"63","Bolivia","X2008",21085.7,2.3,21088,21088,21088
"64","Bolivia","X2009",19008.5,2.5,19011,19011,19011
"65","Bolivia","X2010",35586.2,2.8,35589,35589,35589
"66","Bolivia","X2011",-24922.7373932249,7.2,-24915.5373932249,-86234.6188735078,48062.3983314922
"67","Brasil","X2001",653993.9,112.1,654106,654106,654106
"68","Brasil","X2002",627777.7,100.3,627878,627878,627878
"69","Brasil","X2003",486668.9,108.1,486777,486777,486777
"70","Brasil","X2004",485910.5,114.5,486025,486025,486025
"71","Brasil","X2005",514598.3,101.7,514700,514700,514700
"72","Brasil","X2006",560687.7,150.3,560838,560838,560838
"73","Brasil","X2007",649418.6,319.4,649738,649738,649738
"74","Brasil","X2008",647287.6,465.4,647753,647753,647753
"75","Brasil","X2009",751791.2,433.8,752225,752225,752225
"76","Brasil","X2010",884357.8,397.2,884755,884755,884755
"77","Brasil","X2011",783526.546763182,590.8,784117.346763182,928746.867198338,806443.34451803
"78","Canadá","X2001",979600.8,2412.2,982013,982013,982013
"79","Canadá","X2002",261409.9,2496.1,263906,263906,263906
