"","X","Region","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010"
"1",1,"Alemania",59,61,64,66,69,68,65,67,74,82
"2",2,"Argentina",54,146,138,126,73,64,56,49,49,45
"3",3,"Australia",22,20,19,17,16,16,15,14,19,23
"4",4,"Austria",69,69,68,69,69,66,66,62,69,71
"5",5,"Bélgica",107,103,98,94,92,88,84,89,96,96
"6",6,"Bolivia",60,69,74,77,80,55,41,37,41,37
"7",7,"Brasil",68,77,72,69,68,56,58,57,61,53
"8",8,"Canadá",81,79,75,71,70,69,65,69,82,83
"9",9,"Chile",15,15,13,10,7,5,4,5,6,9
"10",10,"China",27,27,27,25,23,21,17,15,16,16
"11",11,"Colombia",52,59,57,52,50,47,44,43,45,46
"12",12,"Corea del Sur",19,19,20,23,26,29,29,30,34,34
"13",13,"Costa Rica",39,41,40,41,37,33,28,25,27,30
"14",14,"Dinamarca",50,50,47,45,38,32,28,33,41,43
"15",15,"El Salvador",21.5547503666,30.7218638831,51.0182137426,26.2751840739,68.1192499912,89.2852105977,5.8908522858,91.4969274018,-81.9873264566,105.3250250923
"16",16,"España",56,53,49,46,43,40,36,40,54,61
"17",17,"EUA",32,34,36,37,37,37,36,40,54,63
"18",18,"Finlandia",42,41,45,44,42,40,35,34,44,49
"19",19,"Francia",57,59,63,65,67,64,64,68,79,82
"20",20,"Grecia",104,102,97,99,101,107,107,113,130,148
"21",21,"Guatemala",98.2972865941,137.8749512872,66.8220548619,14.806924205,53.0958492987,216.1710375649,61.9241026834,59.6896835804,109.1181620493,26.6381006517
"22",22,"Holanda",51,50,52,52,52,47,45,58,61,63
"23",23,"Hungría",53,56,59,60,62,66,67,73,80,82
"24",24,"India",58,62,61,62,61,59,57,56,55,51
"25",25,"Irlanda",35,32,31,29,27,25,25,45,65,92
"26",26,"Israel",90,97,102,96,92,83,77,76,78,74
"27",27,"Italia",108,105,104,103,105,106,103,106,116,119
"28",28,"Japón",145,153,158,166,170,167,162,171,189,193
"29",29,"Malasia",41,43,45,46,42,41,40,40,51,51
"30",30,"México",36,39,40,37,35,32,31,36,37,37
"31",31,"Nicaragua",109.7914443302,44.0169341416,26.183591836,20.2991780049,20.4578432589,29.7772224832,25.1697076594,198.2116441886,40.8968225099,39.3945274337
"32",32,"Noruega",28,34,42,44,42,54,51,48,43,43
"33",33,"Panamá",65,64,60,62,59,53,46,39,41,39
"34",34,"Perú",46,47,47,44,38,33,27,23,25,22
"35",35,"Polonia",38,42,47,46,47,47,45,47,49,53
"36",36,"Portugal",54,57,59,62,68,69,68,72,83,94
"37",37,"Reino Unido",38,38,39,41,42,43,44,52,68,79
"38",38,"Rep. Checa",17,27,29,29,29,29,28,29,35,38
"39",39,"Rep. Dominicana",16,20,37,24,25,22,20,25,28,29
"40",40,"Rusia",48,42,30,23,14,9,7,7,8,9
"41",41,"Sudáfrica",44,37,37,36,35,33,28,27,31,35
"42",42,"Suecia",55,53,52,50,50,45,40,39,43,39
"43",43,"Suiza",50,53,53,53,51,45,42,39,38,36
"44",44,"Tailandia",58,55,51,49,48,41,38,38,45,43
"45",45,"Turquía",74,70,62,57,51,46,40,40,46,43
"46",46,"Venezuela",32,44,47,39,33,24,19,14,18,18
