"","Region","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"1","Alemania",2.46,2.49,2.52,2.49,2.49,2.53,2.53,2.68,2.82,2.1,2.49700023470657
"2","Argentina",0.42,0.39,0.41,0.44,0.46,0.49,0.51,0.52,0.94,0.991400217188451,0.499609898369567
"3","Australia",2.18,1.74,2.15,1.85,2.12,2.18,2.16,2.35,2.69,2.52,2.1608495053065
"4","Austria",2.07,2.14,2.26,2.26,2.45,2.46,2.52,2.67,2.75,2.75,2.56475751383648
"5","Bélgica",2.07,1.94,1.88,1.86,1.83,1.86,1.9,1.96,1.96,2.05326771492702,2.35889233224316
"6","Bolivia",0.29,0.28,0.513527829598964,0.470672884492479,0.480953012284671,0.33,0.845385825721171,0.82442041641668,0.636010872626069,0.7475332244939,0.854229618677835
"7","Brasil",1.04,0.98,0.96,0.9,0.97,1,1.07,1.08,1.04615792702255,0.759898907511624,0.808521785909103
"8","Canadá",2.09,2.04,2.04,2.07,2.05,1.97,1.91,1.84,1.95,2.42,2.2007886225907
"9","Chile",0.53,0.68,0.67,0.68,0.16,0.58,0.33,0.39,0.746663030533277,0.626228703726956,0.884279965339789
"10","China",0.95,1.07,1.13,1.23,1.32,1.39,1.4,1.47,1.78884357185745,1.66587892205657,2.08049369973947
"11","Colombia",0.12,0.12,0.15,0.15,0.16,0.16,0.16,0.15,0.16,0.333024273872384,0.670482966750207
"12","Corea del Sur",2.47,2.4,2.49,2.68,2.79,3.01,3.21,3.36,3.20042245366478,2.8367558287327,3.25845780281431
"13","Costa Rica",0.21,0.26,0.36,0.37,0.21,0.43,0.36,0.4,0.522903597550889,0.222326757115828,0.66347401308951
"14","Dinamarca",2.39,2.51,2.58,2.48,2.46,2.48,2.58,2.87,3.02,2.98,3.18317831467544
"15","El Salvador",0.08974170462903,-0.20580996834655,0.0135086290449439,0.000969016061355188,0.0641117838296076,0.180934627008465,0.09,0.11,-0.0574220682071381,0.317872120312935,0.523431524097101
"16","España",0.91,0.99,1.05,1.06,1.12,1.2,1.27,1.35,1.38,1.32234526867459,1.30511797421898
"17","EUA",2.72,2.62,2.61,2.54,2.57,2.61,2.67,2.79,2.27,2.07834912184726,2.52558183266556
"18","Finlandia",3.32,3.37,3.44,3.45,3.48,3.48,3.47,3.72,3.96,3.84,3.73407634084129
