"","Region","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"1","Alemania",4.6,4.6,4.5,4.5,4.4,4.4,4.5,4.6,4.5,4.3,4.68660172462113
"2","Argentina",4.56328765811071,5.5,5.3,5.2,3.66820708233103,9.94077176802602,11.0534027144657,14.9176585001777,5.23903582141205,3.75856085931854,2.46369304061629
"3","Australia",7.3,7.3,7.4,7.4,7.3,7.6,7.7,7.7,7.3,7.3,5.83360487252893
"4","Austria",2.3,2.3,2.3,2.1,2.2,2.1,2.4,2.3,2.3,2.3,5.60784293127208
"5","Bélgica",3,3,2.9,2.8,2.5,2.6,2.7,2.9,2.6,2.5,3.56278737774139
"6","Bolivia",2.31319455063608,7.1,7.6,7.1,6.8,6.6,7.7,5.14738004264319,15.5345898917925,15.5116863635181,4.2093141555253
"7","Brasil",8.6,8.4,6.1,6.5,6,5.6,5.7,5.7,6.1,6,11.6338201144485
"8","Canadá",6.2,6.4,6.3,6.5,6.3,6.7,7.1,7.3,7.3,7.6,1.37086757508984
"9","Chile",18.1,17.4,17.1,18.5,18.8,19.7,18.7,18,14.3,14.7,7.72235478887337
"10","China",13.7579036150917,20.3,20.3,18.6,15.3,17.9,11.6,16.1,-1.18683682229476,2.47560996361615,3.19976505483816
"11","Colombia",16.9,19.4,16.2,15.6,12.5,13.6,12.8,18.4,19.8,19.8,6.05051135590501
"12","Corea del Sur",14.5,14.6,13,13.1,13.3,12.9,13.1,13.6,13.4,13.7,4.09796060950336
"13","Costa Rica",0,0,0,0,0,0,0,0,0,0,0
"14","Dinamarca",4.6,4.5,4.3,4.2,4.1,4.4,3.7,3.8,3.3,3.4,7.04023514952173
"15","El Salvador",5.57105420289381,8,7.2,6,5.6,5.1,5.7,5.1,4.7,5,18.2678227633879
"16","España",3.8,4.3,4.3,4.2,4.2,4.7,4.6,4.4,3.8,3.4,14.6045792356127
"17","EUA",15.6,16.5,17.9,18.9,18.9,18.8,18.6,18.8,18,17.9,18.3
"18","Finlandia",3.4,3.4,3.8,3.9,3.8,3.8,3.6,3.8,3.7,3.6,5.11809514855348
"19","Francia",5.5,5.4,5.5,5.6,5.4,5.3,5.3,5.2,5.3,4.6,14.3616306765414
"20","Grecia",7.7,7.5,6.2,6.4,6.9,6.8,6.2,6.5,6.3,4.9,3.76247539595105
"21","Guatemala",8,6,5.7,3.8,3,3.3,3.2,3.6,3.1,3.2,2.43051291111474
"22","Holanda",3.9,3.8,3.8,3.8,3.8,3.7,3.7,3.5,3.3,3.2,19.1808546738264
"23","Hungría",4.3,3.7,3.9,3.5,3.4,2.8,3,2.7,2.5,2.4,6.0434220904553
"24","India",19.1,17.9,17.5,19,18.5,16.8,15.6,15.1,17.5,17.9,0.739451492242446
"25","Irlanda",2.5,2.2,2,2,1.8,1.7,1.6,1.6,1.4,1,18.891295630158
"26","Israel",17,19,19.5,18.6,17.6,18.4,17.6,17,16.8,15.9,5.29415022462311
"27","Italia",4.9,5.1,5.1,5.1,4.8,4.5,4.3,4.5,4.1,4.1,6.92321930413393
"28","Japón",1.42671928926925,3.71729629790513,18.5638304351421,2.15094341864747,6,6.1,6.3,5.9,5.3,5.5,4.31733357050675
"29","Malasia",11.1,12.6,14.8,12,12.3,11.3,11.3,9.8,9,8.3,18.5753022583904
"30","México",4.81636345208175,3.7498225276381,6.66764295539397,18.3953812883611,4.27207577042595,1.8898402562292,3.76931244277023,4.41381021954918,4.89306197306211,6.48817829058119,3.87018273593459
"31","Nicaragua",3.7,5.5,5,4.4,4.5,4.1,4.1,3.4,3.6,3.4,19.8664217468163
"32","Noruega",5.2,5.6,5.3,5.3,4.9,4.7,4.8,4.6,4.5,4.3,5.92762589654309
"33","Panamá",7.26740562964233,3.91793673657564,8.47455060500233,6.31471460549254,3.6718452329686,4.22952232675338,4.36216395257465,5.0011852940628,7.34637516151949,1.67503246415047,3.63475692014489
"34","Perú",9.6,8.8,8.5,8.6,8.5,8.1,6.9,6.5,7.7,7.6,6.68683087195566
"35","Polonia",5.4,5.4,4.9,5.1,5.3,5.4,5.9,4.9,5.1,5.2,2.6017135179175
"36","Portugal",5.1,5.2,4.9,5,5.1,5.1,4.8,4.7,4.6,4.7,6.01301997257352
"37","Reino Unido",6.6,6.5,6.5,6.3,5.9,5.9,5.9,5.8,5.8,5.6,4.85831252451225
"38","Rep. Checa",5.4,5.3,5.5,5.3,5.4,4.8,4.6,4,3.8,3.5,2.83783643740872
"39","Rep. Dominicana",3.31474646890964,18.3833377394491,7.99973759259814,5.2,5.6,5,4.6,4.5,4.4,6.04947759489771,5.68183852827486
"40","Rusia",3.08448245841089,19.3,18.7,17.9,18.7,18.4,15,16.3,14,14.1,6.05058438909144
"41","Sudáfrica",5.6,5.8,5.6,5,5.1,4.7,4.4,4.2,4.2,3.9,18.8463251581606
"42","Suecia",5.2,4.9,4.8,4.5,4.3,4.2,4.4,4,3.7,3.9,3.52340376293923
"43","Suiza",5.8,5.4,5.1,5,4.9,4.7,4.7,4.8,4.31118097700643,12.2862058082831,3.55308487028632
"44","Tailandia",4.69478356497115,5.04482654455285,8.5,6.9,6.7,6.7,7.7,8.6,9.4,8.2,5.80000342447214
"45","Turquía",-0.264507085613864,17.9841328545703,5.23964713212191,4.93357681339326,6.61273562114475,11.5,9.4,10.1,9.6,9.5,13.5917013878506
"46","Venezuela",6.5,4.9,4.7,5.2,5.6,13.8653147443626,19.8437417140122,5.01357016140494,17.977215178505,-0.362817557320461,4.41300740515628
