"","Region","2001","2005","2010"
"1","Alemania",1.1,0.1,21.0666595455483
"2","Argentina",21.5,104.843006371355,51.188368373528
"3","Australia",16.7,30.1307550911985,7.4
"4","Austria",0.1,-13.8836944220102,0.345136431834272
"5","Bélgica",0,0,41.0208136205179
"6","Bolivia",125.38,120.055819328244,93.9186602160514
"7","Brasil",36.6,31.7,34.3267142305857
"8","Canadá",-27.5017855731514,2.3,4.7
"9","Chile",21.3,22.9,46.0269558009558
"10","China",489.950476285488,358,-281.940111745585
"11","Colombia",4.9,24.0459630066755,5.9
"12","Corea del Sur",-9.19589972001657,-48.954296822768,-74.7526476489727
"13","Costa Rica",51.2830373878147,4.1,29.9892385239047
"14","Dinamarca",0.2,0.1,0.2
"15","El Salvador",0.8,1.2,-3.59873495152355
"16","España",23,20.1,19.6
"17","EUA",90.9426466546867,4.57776476536843,273.959271095234
"18","Finlandia",0.1,0.1,-24.091013179781
"19","Francia",4.5,3.9,3.1
"20","Grecia",8.4,8.5,29.5004314450201
"21","Guatemala",1.5,1.9,-28.4927995253264
"22","Holanda",0.1,0.1,0.1
"23","Hungría",0.7,0.3,5.10133762127902
"24","India",558.4,817.333702193846,688
"25","Irlanda",0,1.07,36.3356965132874
"26","Israel",1,1.1,1
"27","Italia",20,12.9,-38.9397189475287
"28","Japón",56.8,54.6,-78.7461666618297
"29","Malasia",2.5,2.5,-3.7924519892233
"30","México",56.1,60.6,61.8
"31","Nicaragua",1.2,-22.2410264354324,1.5
"32","Noruega",0.8,0.8,-21.4005741025634
"33","Panamá",0.7,54.9352759071211,34.8390174774265
"34","Perú",16.4,15.4171103658725,24.44
"35","Polonia",1.1,1.1,1.2
"36","Portugal",6.2,-13.1463441509258,3.57375506600719
"37","Reino Unido",1.3,1.3,1.1
"38","Rep. Checa",136.976400387126,131.940482608806,124.54548997588
"39","Rep. Dominicana",21.1719906451925,16.02,13.5752170880082
"40","Rusia",243.224433841487,323.088194678899,392.433533190617
"41","Sudáfrica",7.8,-13.9606961751582,-16.8810785374622
"42","Suecia",0.1,0.1,-21.8424414252057
"43","Suiza",0.1,-45.8932605714186,0.1
"44","Tailandia",21.89,51.8,38.19
"45","Turquía",31.5,29.6,34
"46","Venezuela",37.41,55.0192047693765,44.6381906118706
