"","Region","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"1","Alemania",60475,58187,58481,59234,60222,60585,60992,62417,59583,59245,59444
"2","Argentina",5779,4861,4557,4602,5269,5617,5743,5582,4916,4717,4622
"3","Australia",22735,22545,21594,22833,23857,26003,26840,26346,23681,24887,25526
"4","Austria",2099,2261,2333,2514,2505,2649,2672,2627,2555,2673,2430
"5","Bélgica",835,748,707,636,622,651,617,708,817,760,763
"6","Bolivia",43302.4197642499,57323.6189204748,52568.1836614953,56780.5735831005,64314.0460325933,41690.9806132033,41379.7098225096,28603.6530152659,42813.0732858787,66306.6509555485,45316.1889767925
"7","Brasil",17204,16022,17704,19272,20005,24074,21825,22917,21944,22686,23322
"8","Canadá",39716,39741,37228,38201,39888,42038,40131,42089,37477,35449,35111
"9","Chile",2750,2538,2405,2867,3007,3215,3806,3952,1717,1076,2792
"10","China",63450,80232,105317,130384,173327,210501,245161,289838,314604,391177,526412
"11","Colombia",497,912,1209,1441,1761,2003,1990,1944,1679,1872,1953
"12","Corea del Sur",104612,106136,118651,140115,160921,166189,172469,170632,163523,170101,178924
"13","Costa Rica",644,644,644,644,644,644,644,644,644,644,644
"14","Dinamarca",1945,1984,1925,2015,1823,1691,1857,1829,1649,1768,1771
"15","El Salvador",103154.907373829,107920.984540271,108838.641568853,102121.763753448,117025.753367362,118520.067284554,109134.764170345,109820.491058082,95661.3503134742,123048.122213425,115774.690269282
"16","España",2995,3134,3180,3184,3353,3427,3532,3884,3803,3779,3626
"17","EUA",326471,334445,342441,356943,390733,425966,456154,456321,456106,490226,503582
"18","Finlandia",2660,2369,2187,2220,2059,2018,2015,1946,1933,1833,1774
"19","Francia",17104,16908,16850,17290,17275,17249,17109,16419,15693,16580,16754
"20","Grecia",434,412,420,407,482,562,595,658,720,744,785
"21","Guatemala",315,301,302,275,405,528,108,311,329,381,331
"22","Holanda",2653,2603,2861,2743,2850,2716,2446,2732,2854,2767,2895
"23","Hungría",5448,5906,4810,2657,1202,924,791,772,787,696,698
"24","India",10592,11465,12613,17466,24382,28928,35218,36812,34287,39762,42291
"25","Irlanda",1169,982,939,845,864,935,925,1007,961,792,561
"26","Israel",9875,6308,5898,6414,5124,7496,8009,7742,6774,7306,6886
"27","Italia",9487,9500,9401,9247,9331,10903,10125,9449,9717,9723,9721
"28","Japón",440248,421805,413093,423081,427078,408674,396291,391002,348596,344598,342610
"29","Malasia",5934,4937,5062,5442,6286,4800,2372,5303,5737,6383,6452
"30","México",13565,13062,12207,13198,14435,15505,16599,16581,14281,14576,14055
"31","Nicaragua",33639.271658681,48385.070089937,41551.4363620465,65071.1469825678,51982.7496311293,49680.1979568692,47793.0006982086,42025.0530497245,55253.9719220671,29361.8494791853,41908.6015916484
"32","Noruega",6431,6287,5861,5490,5986,6076,6656,5430,3604,1813,1776
"33","Panamá",214,230,260,218,303,440,475,371,370,468,441
"34","Perú",1010,869,924,823,1020,1271,1359,1535,694,300,1168
"35","Polonia",6530,6605,6241,7740,6583,2812,2753,2778,3140,3430,4123
"36","Portugal",163,179,165,187,205,220,281,405,617,545,646
"37","Reino Unido",32081,31531,31624,29954,27988,25745,24999,23379,22465,21929,22259
"38","Rep. Checa",4752,5557,3579,1252,830,836,908,854,881,982,880
"39","Rep. Dominicana",246,254,230,226,184,242,283,150,324,339,350
"40","Rusia",34090,33308,34870,30190,32253,37691,39439,41849,38564,42500,41414
"41","Sudáfrica",6393,6600,6225,6789,7004,7605,8317,7941,6735,6383,7245
"42","Suecia",4500,3955,3728,3230,2960,2859,2925,2855,2649,2549,2341
"43","Suiza",2453,2293,2227,2176,2098,2102,2034,2033,2078,2155,2043
"44","Tailandia",5332,4489,5131,5373,6340,6261,6818,6741,5857,1937,3924
"45","Turquía",3212,1838,837,917,1146,1232,2021,2397,2732,3357,4113
"46","Venezuela",1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598
