"","Region","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"1","Alemania",4.89,6.16,5.1,4.78,5.39,5.64,5.75,5.77,5.77,5.18,6.62
"2","Argentina",2.79,2.46,2.65,1.59,1.61,2.85,2.5,2.5,1.81,2.3,2.4
"3","Australia",4.57,7.8,7.85,7.45,6.92,7.48,7.34,7.72,6.76,6.66,7.49
"4","Austria",6.33,6.81,6.41,6.89,6.83,7.43,7.62,7.24,5.45,6.35,6.67
"5","Bélgica",4.64,5.66,5.38,4.85,4.17,4.71,4.86,4.28,4.58,3.45,4.37
"6","Bolivia",3.86,3.86,3.64,4.09,5.37,4.34,4.55,2.29,2.91198777992693,3.75872285194097,2.4
"7","Brasil",5.07,4.99,3.94,3.46,3.14,3.29,3.03,3.64,2.58,2.22,3.31
"8","Canadá",4.39,7.68,6.73,6.92,6.97,6.97,7.05,6.57,6,5.86,6.62
"9","Chile",5.21,8.47,7.9,7.3,7.86,8,7.94,8.05,6.57,4.91,7.73
"10","China",2.9,3.24,3.7,1.44,1.94,2.26,2.63,4.5,3.63,3.23,3.74
"11","Colombia",3.1,3.63,3.89,3.51,2.92,3.21,3.37,2.4,2.08,1.63,1.98
"12","Corea del Sur",3.61,4.36,3.76,3.83,5.19,4.86,5.63,3.07,3.73,4.77,5.12
"13","Costa Rica",3.85,4.42,4.3,5.07,4.7,5.13,5.24,4.86,4.67,4.21,4.53
"14","Dinamarca",4.91,7.39,6.5,7.06,6.65,6.64,6.95,6.51,7.01,6.52,6.87
"15","El Salvador",3.22,3.13,2.9,3.89,4.36,3.63,3.78,2.94,2.6,2.38531607180102,2.34
"16","España",5.33,6.18,5.41,5.65,4.25,4.33,4.55,3.89,2.99,3.01,3.43
"17","EUA",4.5,8.27,7.3,6.88,6.31,6.83,6.46,6.55,5,5.52,6.61
"18","Finlandia",5.42,8.34,8.55,7.85,8.03,7.81,6.95,6.4,7.6,7.26,6.84
"19","Francia",4.31,6.42,6.86,6.34,5.77,6.07,6.23,5.89,5.46,4.48,5.37
"20","Grecia",4.83,3.65,4.03,3.7,3.48,3.88,3.79,3.13,2.87,2.84,1.96
"21","Guatemala",3.05,4.23,4.02,3.04067336681337,4.52,4.72,4.04,3.66346884641166,4.02,4.15436983443202,5.05
"22","Holanda",5.2,7.47,7.26,6.67,6.91,7.32,7.41,7.05,6.32,5.98,6.7
"23","Hungría",4.24,5.11,4.06,4.61,3.72,3.92,3.22,3.44,2.41,0.86,2.04
"24","India",2.99,3.01,3.22,3.36,2.94,3.3,3.42,3.55,2.98,2.97,2.49
"25","Irlanda",4.98,7,6.38,5.23,5.79,6.86,7.22,5.49,6.15,5.82,6.28
"26","Israel",5.21,7.15,6.09,5.84,5.58,5.78,5.49,5.86,4.28,5.17,6.33
"27","Italia",4.45,4.12,3.78,3.6,3.37,2.65,3.47,3.52,2.79,2.53,2.77
"28","Japón",4.58,7.75,7.48,7.26,7.23,7.58,6.77,7.09,7.09,6.99,7.31
"29","Malasia",4.13,6.42,6.25,5.37,4.17,5.28,5.78,5.25,4.57,5.44,5.3
"30","México",3.09,2.85,2.71,1.32,2.02,1.83,1.98,1.89,1.75,1.4,2.07
"31","Nicaragua",3.21,3.09,2.88,4.52,5.54,4.51,4.26,3.21,2.24,2.24,2.97
"32","Noruega",4.8,7.76,7.81,7.66,7.14,8.07,7.84,7.02,6.8,6.74,7.18
"33","Panamá",3.26,4.12,3.58,4.34,3.74,4.79,3.84,3.42,2.91,3.07,3.15
"34","Perú",3.14,4.27,3.72,3.65,4.04,3.69,3.32,1.8,1.52,1.89,2.11
"35","Polonia",3.08,3.38,3.16,3.64,2.3,2.79,3.3,3.51,3,3.9,4.55
"36","Portugal",4.58,5.31,4.61,4.33,4.33,3.96,4.13,4.75,4.48,3.43,4.21
"37","Reino Unido",4.12,6.47,6.05,5.66,4.96,5.66,5.85,5.72,5.42,4.8,5.33
"38","Rep. Checa",4.3,5.83,5.44,4.75,5.78,6.24,6,5.59,5.58,5.15,5.95
"39","Rep. Dominicana",3.51,4.36,3.66,5.39,4.58,5.13,5.08,3.09,4.82,4.7,3.24
"40","Rusia",2.22,3.22,2.75,3.02,2.44,2.45,3.11,2.38,3.31,3,3.03
"41","Sudáfrica",5.56,5.92,5.68,5.98,5.75,6.5,5.35,5.45,5.24,5.59,5.07
"42","Suecia",5.32,6.33,6.14,5.39,5.78,5.31,5.59,6.34,5.58,5.72,6.85
"43","Suiza",5.72,7.79,7.7,7.48,7.56,7.59,8.24,7.24,7.19,6.9,7.15
"44","Tailandia",4.31,5.16,4.45,4.74,4.83,5.12,4.54,4.58,4.12,4.91,4.78
"45","Turquía",4.14,3.63,3.6,2.09,2.83,2.98,2.39,3.07,3.07,2.74,3.29
"46","Venezuela",2.48,3.74,2.17,1.16,2.09,2.28,1.39,0.96,2,1.61,2.3
