"","Region","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"1","Alemania",2.46,2.49,2.52,2.49,2.49,2.53,2.53,2.68,2.82,2.1,2.6911033831782
"2","Argentina",0.42,0.39,0.41,0.44,0.46,0.49,0.51,0.52,0.94,0.866285630283639,1.14205600415357
"3","Australia",2.18,1.74,2.15,1.85,2.12,2.18,2.16,2.35,2.69,2.52,2.26582845447878
"4","Austria",2.07,2.14,2.26,2.26,2.45,2.46,2.52,2.67,2.75,2.75,2.75050313911433
"5","Bélgica",2.07,1.94,1.88,1.86,1.83,1.86,1.9,1.96,1.96,2.01770287218625,2.12849032406581
"6","Bolivia",0.29,0.28,0.237504970352758,0.509563238471473,0.629459266536094,0.33,0.667448666418315,0.636356396678392,0.642314567605912,0.711245223049098,1.00127957946543
"7","Brasil",1.04,0.98,0.96,0.9,0.97,1,1.07,1.08,0.890691738375553,0.721138051201815,0.556561095153059
"8","Canadá",2.09,2.04,2.04,2.07,2.05,1.97,1.91,1.84,1.95,2.42,2.14044182382907
"9","Chile",0.53,0.68,0.67,0.68,0.16,0.58,0.33,0.39,0.640593699306743,0.532770267124162,0.897998997178215
"10","China",0.95,1.07,1.13,1.23,1.32,1.39,1.4,1.47,2.16303996995958,2.34264471129801,2.36316960804609
"11","Colombia",0.12,0.12,0.15,0.15,0.16,0.16,0.16,0.15,0.16,0.361735112451352,0.292505035728743
"12","Corea del Sur",2.47,2.4,2.49,2.68,2.79,3.01,3.21,3.36,2.8697688622037,3.25869283131268,3.3059785222652
"13","Costa Rica",0.21,0.26,0.36,0.37,0.21,0.43,0.36,0.4,0.462027154187689,0.499778655563898,0.575784439795526
"14","Dinamarca",2.39,2.51,2.58,2.48,2.46,2.48,2.58,2.87,3.02,2.98,2.89309687630706
"15","El Salvador",-0.0695825302498694,0.022032476527851,0.338575048138496,0.748316091336175,0.00733997416256015,0.177622349591373,0.09,0.11,0.593469052439923,0.459040663093462,0.634858917600095
"16","España",0.91,0.99,1.05,1.06,1.12,1.2,1.27,1.35,1.38,1.58258639768753,1.72247579051751
"17","EUA",2.72,2.62,2.61,2.54,2.57,2.61,2.67,2.79,2.27,2.57544001708969,2.23252860734998
"18","Finlandia",3.32,3.37,3.44,3.45,3.48,3.48,3.47,3.72,3.96,3.84,3.67807657135981
"19","Francia",2.2,2.24,2.18,2.16,2.11,2.11,2.08,2.12,2.23,2.5295292003482,2.26464932116727
"20","Grecia",0.58,0.8,0.57,0.55,0.59,0.58,0.58,0.96,1.19,0.754435778326489,0.856955785491888
"21","Guatemala",0.00687763920218183,0.230792424487179,0.160309815974124,0.199559602339018,0.03,0.05,0.07,0.06,0.248093479847802,0.586647840511389,-0.04872606098286
"22","Holanda",1.8,1.72,1.92,1.93,1.9,1.88,1.81,1.76,1.84,2.09181377460702,2.44615829846395
"23","Hungría",0.92,1,0.93,0.88,0.94,1,0.97,1,1.15,1.24040283073876,1.55203316613631
"24","India",0.75,0.74,0.73,0.74,0.78,0.77,0.76,0.95,0.835896808767215,0.980691813485393,1.00153935602489
"25","Irlanda",1.1,1.1,1.17,1.23,1.25,1.25,1.29,1.45,1.77,1.46917509910081,1.13048116536534
"26","Israel",4.6,4.59,4.32,4.26,4.41,4.43,4.8,4.66,4.27,4.71549683680626,4.77250602214879
"27","Italia",1.09,1.13,1.11,1.1,1.09,1.13,1.18,1.23,1.27,1.46590751114924,1.64655329350802
"28","Japón",3.12,3.17,3.2,3.17,3.32,3.4,3.44,3.45,2.86937691525656,3.28344318373823,3.01146697907536
"29","Malasia",0.857353021504109,0.65,0.485021512898341,0.6,1.00813701643769,0.63,0.44,0.690217667199964,0.793789861705346,0.665279294432838,0.737042915751487
"30","México",0.39,0.44,0.4,0.4,0.41,0.39,0.37,0.73,0.502796198606228,0.535394941295415,0.512950663365664
"31","Nicaragua",0.229687040446014,0.05,0.147073383955535,-0.00260096057222925,0.11,0.602445975883853,0.386327329291261,0.519376867301797,0.400688164868759,0.626725725962102,0.73763820932261
"32","Noruega",1.59,1.66,1.71,1.59,1.52,1.52,1.65,1.64,1.8,2.06186672579178,1.65602484519102
"33","Panamá",0.38,0.36,0.34,0.24,0.25,0.25,0.2,0.21,0.21,0.229913704797575,0.555740049386589
"34","Perú",0.11,0.1,0.1,0.15,0.18,0.464248755281068,0.384428192030814,0.46,0.522012169142886,0.789696587894802,0.647319115008742
"35","Polonia",0.62,0.56,0.54,0.56,0.57,0.56,0.57,0.6,0.68,0.947672791745502,1.03516050523781
"36","Portugal",0.77,0.73,0.71,0.75,0.78,0.99,1.17,1.5,1.66,1.09928530614177,1.52587504217328
"37","Reino Unido",1.79,1.79,1.75,1.68,1.73,1.75,1.78,1.77,1.87,1.82,1.78166993978745
"38","Rep. Checa",1.2,1.2,1.25,1.25,1.41,1.55,1.54,1.47,1.53,1.59064907755776,1.8381611961399
"39","Rep. Dominicana",0.03,0.716321370774601,1.0745822476323,1.00010803922858,1.06162526183964,0.837997529496983,1.05433993174945,1.09556064148111,0.822526660244954,1.56298453485435,1.15010663340899
"40","Rusia",1.18,1.25,1.29,1.15,1.07,1.07,1.12,1.04,1.25,1.21052886451841,1.29992220137376
"41","Sudáfrica",0.73,0.955028698939238,0.79,0.85,0.9,0.93,0.92,0.93,1.32383060327327,0.699678368318782,0.94349159403796
"42","Suecia",4.13,1.6,3.8,3.58,3.56,3.68,3.4,3.7,3.62,3.02,3.57128356275237
"43","Suiza",1.95,2.04,2.19,2.9,2.11,1.98,2.07,3,2.66,2.61,2.47118681398624
"44","Tailandia",0.26,0.24,0.26,0.26,0.23,0.25,0.21,0.22,0.776082497701653,0.459481180535412,0.794234010873122
"45","Turquía",0.54,0.53,0.48,0.52,0.59,0.58,0.72,0.73,0.85,0.599882410728803,0.388394138431331
"46","Venezuela",0.2,0.29,0.25,0.25,0.34,0.41,0.45,0.39,0.64,0.456544049041359,0.823566195596307
