"","Region","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"1","Alemania",10267.86,6698.11,6179.78,7037.04,7250,8155.58,9726.03,10541.73,8472.22,7814.57,8344.92
"2","Argentina",869,-671.820407403246,-1903.28540074394,-977.806706356808,-3583.3111225619,-529.808910803497,632.55862964998,119.444891518762,-2970.99453740069,-1284.70792712543,-2205.362897443
"3","Australia",4663.21,6471.2,4166.23,5114.03332157799,4443.09,6896.13628609739,5848.19,5362.5991425861,5172.11977585357,6172.48,7512.9
"4","Austria",1352.68,904.72,867.08,844.44,944.03,941.03,1202.74,1043.92,719.44,922.9,712.24
"5","Bélgica",1260.8,1186.79,1180.9,1639.05,1284.75,1318.15,1599.03,1643.51,1502.83,1643.48,1896.7
"6","Bolivia",158.31,25.6,25.8,17.7,-321.58836148546,-1620.02225857469,1900.45746148209,180.04,268.22,261.35,-1798.86337097642
"7","Brasil",6525.42,5205.48,2922.08,4744.03,6380.96,5767.6,7775.46,14611.73,9536.1,8805.63,9949.89
"8","Canadá",5138.06,4154.14,3714.29,4384.62,4620.46,6084.66,7261.89,11246.49,6999.13,8155.34,9494.95
"9","Chile",827.72,562.26,349.16,1665.74887584921,3165.92862230773,1198.05,1393.18,1753.95,1387.43,1919.81,2406.06
"10","China",30835.87,25039.98,26782.49,26559.18,25601.48,27768.42,26439.99,33169.09,35469.77,34349.93,41092.7257240962
"11","Colombia",1530.25,-983.237274012308,-1785.45167083603,-1755.23734439473,2404.18714011899,538.251702602791,-1723.13455088399,1697.27460696885,1730.67,-1304.42759029332,-3063.8136444018
"12","Corea del Sur",6371.93,9223.88,5169.31,5395.61,5674.92,6650.67,6840.63,6253.44,5101.38,5537.08,6923.09
"13","Costa Rica",233.06,249.11,266.97,169.1,4717.34101576429,144.29,305.32,304.88,-563.753062175611,2198.79625861049,272.395247941487
"14","Dinamarca",1324.04,969.22,850.83,955.26,1146.24,1237.09,1679.19,1888.39,1554.37,1265.47,1216.06
"15","El Salvador",163.11,76.8,23.31,124.57,95,137.93,337.29,198.56,1193.25,574.674282582533,154.52
"16","España",7313.39,5241.75,5103.37,5820.8,6893.53,7133.73,7928.79,7007.4,5425.76,5271.09,5258.38
"17","EUA",71974,61442,60522,62715,70760,79884,79717,80651,67262,70149,75590.888438038
"18","Finlandia",811.61,730.19,135.785601081311,-1774.17309366737,396.352930115843,557.21,597.81,639.39,805.56,834.44,931.85
"19","Francia",6405.36,5471.7,8754.97435396569,6783.95,7888.06,8801.76,8410.96,9559.3,8193.06,8621.19,9702.36
"20","Grecia",1514.29,1290.57,1266.29,1343.21,901.25,1010.04,1772.6,2007.32,1870.83,1417.22,1325.45
"21","Guatemala",10999.306315292,11531.5873835577,9576.2221188668,12871.4113860606,11243.9432779041,10445.3454481961,9415.55735504367,14351.8210198541,11416.2778282826,10654.7014743332,8069.8713631223
"22","Holanda",2633.04,3157.14256906336,1733.35840547506,2263.53056731746,1539.62958837969,1945.68601591647,2235.89,2892.83,2339.17,2481.72,1296.93428446615
"23","Hungría",750.46,686.25,486.02,450.83,466.51,412.57,488.75,943.5,951.29,676.22,-112.231863706259
"24","India",3511.55,2056.35838010941,6622.06125822092,6455.1986376571,7818.19616934814,4410.94739087318,13111.1,13983.38,13613.03,13274.7,12492.3918082134
"25","Irlanda",1931.87368307515,-107.252216841323,288.76,2708.74513879178,-216.643623155971,953.161702721254,627.32,755.27,613.96,586.75,582.75
"26","Israel",442.76,1441.14,3982.02434648186,-1081.56692619926,417.071200584178,2253.4391961663,1203.00622058039,1565.27520699133,2564.85103303534,969.24,74.6473149032468
"27","Italia",7208.04,8935.85,8861.8,8745.68,10000,8578.7,9812.33,9793.56,8641.67,8145.7,8297.64
"28","Japón",24618.02,19257.46,20422.01,23198.6,18930.4,17542.44,20611.32,23549.16,25322.46,16935.91,14429.91
"29","Malasia",1180.26,1229.47,1159.74,1290.79,2103.07,3322.10074413818,1242.16,1343.82,1497.87,1733.8,448.927821549919
"30","México",5750.86,3129.92,2584.24,3614.89,3474.53,3747.96,3272.96,3648.12,2890.6,5674.83,4984.1
"31","Nicaragua",6.43,40.61,36.56,350.435240210533,556.948761816306,2654.68416709955,-2057.22410171926,3420.13094543759,1514.43080905565,3518.5628223029,1942.79889433277
"32","Noruega",2137.15400341861,2588.85,4590.68576499303,2905.16762400367,5398.25404627338,5041.90105475165,5952.05733484822,5799.32845618591,3048.26148356648,8063.66808097536,5878.62408757369
"33","Panamá",11315.9321024827,12953.2291202476,11987.4649415924,12377.0170122101,8811.58212382173,9518.14918148564,13203.1570682703,12505.216390051,9561.33367421995,9828.39986919027,9284.48870744166
"34","Perú",174.52,-180.925432877027,2419.90045887767,3516.61946059298,387.29,437.93,-743.93682507842,880.06,909.66,847.09,1068.88
"35","Polonia",-1119.70675514865,1526.0198120075,45.2827934213362,-257.70256649372,1844.2,2444.77,77.3450718630422,3059.99,2565.19,2391.4,2344.7
"36","Portugal",1228.61,946.52,645.48,837.74,915.88,1214.26,1801.2,1463.9,1464.49,1428.14,1228.7
"37","Reino Unido",15827.34,13432.84,12707.6219081354,10195.4413520925,10213.3128239708,12638.4280582998,13309.0517119409,10697.18,7995.33,5687.79,12674.0660132167
"38","Rep. Checa",1224.32,810.69,1507.44,474.93,573.36,627.15,795.96,871.53,763.05,783.85,815.89
"39","Rep. Dominicana",288.14,421.21,269.89,238.79,255.52,340.5,162.59,283.07,196.36,195.46,300.06
"40","Rusia",732.4,1012.38,3322.55344246203,2241.0010572106,5937.18069355499,7446.93224333646,12134.1,9421.69,4659.52,6324.63,8835.93
"41","Sudáfrica",1393.73,712.05,871.16,-744.480810659933,1329.56731048015,1983.8776504261,1971.37,1963.08,1728.35,1818.06,3967.05417800825
"42","Suecia",1481.7,1570.73168135386,1451.92,1577.14,1181.85,1381.84,1582.83,1470.03,1189.05,974.2,240.809780870563
"43","Suiza",1642.68,1653.21,1580,1661.29,1630.29,5173.02,2301.25,2103.81,2106.8,2067.29,2659.08
"44","Tailandia",1295.3,1513.04,400.88,508.23,656.91,769.13,963.87,2305.75085596379,678.79,735.45,-1967.96756547454
"45","Turquía",361.31,198.21,229.84,1015.24,1385.51,1750.9,1901.89,2888.83,4117.83,2502.2,3343.68
"46","Venezuela",1067.98,749.11,232.81,503.98,1395.77,1170.99,1684.12,1418.02,1579.87,1466.85,1062.36
