"","Region","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"1","Alemania",10,9.7,5,4.9,4.3,4.6,5,5,4.4,3.9,3.9
"2","Argentina",26.5,53,19.1,6.8,6.2,8.6,11.1,19.5,15.7,10.6,14.1
"3","Australia",8.7,8.2,8.4,8.9,9.1,9.4,8.2,8.9,6,7.3,7.7
"4","Austria",5.5,4.9,4.3,3.9,3.7,4.2,5.1,5.6,3.1,2.6,3
"5","Bélgica",8.5,7.7,4.9,4.4,4,4.1,4.8,5.2,4.6,4.2,3.9
"6","Bolivia",9.8,9.6,11.4,7.4,4.9,4,3.5,4.7,3.4,1,0.298852455913675
"7","Brasil",57.6,62.9,67.1,54.9,55.4,50.8,43.7,47.3,44.6,40,43.9
"8","Canadá",5.8,4.2,4.7,4,4.4,5.8,6.1,4.7,2.4,2.6,3
"9","Chile",11.9,7.8,6.2,5.1,6.7,8,8.7,13.3,7.2,4.8,9
"10","China",5.9,5.3,5.3,5.6,5.6,6.1,7.5,5.3,5.3,5.8,6.6
"11","Colombia",20.7,16.3,15.2,15.1,14.6,12.9,15.4,17.2,13,9.4,11.2
"12","Corea del Sur",7.7,6.8,6.2,5.9,5.6,6,6.6,7.2,5.7,5.5,5.8
"13","Costa Rica",11.8,11.5,10.4,9.5,10.1,9.8,6.4,4.2,7,5.3,2.40118914688318
"14","Dinamarca",8.2,7.1,6.2,5.6,5.2,5.4,6.3,6.9,5.3,4.3,4.5
"15","El Salvador",10.4847709866592,13.9626475648697,11.2057156982658,7.78592542795668,11.649425423788,-4.54256768391689,10.8111781085674,14.4466336103267,10.5694895963613,1.37021295318963,13.4346318885322
"16","España",5.2,4.3,7.5,6.6,5.8,5.8,6.6,7.4,7,7.2,8.1
"17","EUA",6.9,4.7,4.1,4.3,6.2,8,8.1,5.1,3.3,3.3,3.3
"18","Finlandia",5.4,4.5,3.9,3.6,3.4,4.1,5,5.3,2.6,2.3,2.7
"19","Francia",5,3.9,4.3,4,3.6,3.7,4.3,4.8,4.2,3.4,3.4
"20","Grecia",7.5,6.5,5.9,5.8,5.8,6.3,7,7.4,6.1,6,7.1
"21","Guatemala",8.8,6.9,4.8,4.2,4.3,4.5,4.8,5.1,5.6,5.5,4.85416161484725
"22","Holanda",5,4.6,4.3,4.3,4.2,4.7,5.5,5.8,3.4,3,3.2
"23","Hungría",12.1,10.2,9.6,12.8,8.5,8.1,9.1,10.2,11.1,7.6,8.3
"24","India",12.1,11.9,11.5,10.9,10.8,11.2,13.1,13.3,12.2,10.2,10.2
"25","Irlanda",4.8,3.8,5.5,4.9,4.7,5.3,6.4,6.7,3.6,3.2,3.8
"26","Israel",10,9.9,10.7,7.4,6.4,7.4,6.3,6.1,3.7,4.5,5.5
"27","Italia",7.3,6.5,5.8,5.5,5.3,5.6,6.3,6.8,4.8,4,4.6
"28","Japón",1.4,1.4,1.4,1.4,1.4,1.5,1.8,1.8,1.5,1.5,1.5
"29","Malasia",6.6,6.5,6.1,6,6.1,6.6,6.3,5.9,4.8,4.9,4.8
"30","México",12.8,8.2,7,7.4,9.7,7.5,7.6,8.7,7.1,5.3,4.9
"31","Nicaragua",11.6,7.8,5.6,4.7,4,4.9,6.1,6.6,6,3,2.27917830480923
"32","Noruega",8.9,8.5,6.1,4.2,4,4.2,5.9,7.4,4.5,4.2,4.4
"33","Panamá",6.8,5,4,2.2,2.7,3.8,4.8,3.5,3.5,3,3.75097893645034
"34","Perú",25,20.8,21,24.7,25.5,23.9,22.9,23.7,21,19,18.7
"35","Polonia",18.4,12.1,7.3,7.6,8.3,7.3,8.1,9.1,8.5,8.4,8.5
"36","Portugal",5.9,5.4,4.8,4.6,4.6,5.2,6.1,6.8,4.7,4.2,5.7
"37","Reino Unido",6.8,5.7,5.5,6.1,6.5,6.5,7.4,6.9,4,4,4.1
"38","Rep. Checa",7.2,6.7,5.9,6,5.8,5.6,5.8,6.3,6,5.9,5.7
"39","Rep. Dominicana",15.6,16.5,20.5,21.1,13.9,9.8,7,10.3,7.8,4.9,3.61847459369538
"40","Rusia",17.9,15.7,13,11.4,10.7,10.4,10,12.2,15.3,10.8,8.5
"41","Sudáfrica",13.8,15.8,15,11.3,10.6,11.2,13.2,15.1,11.7,9.8,9
"42","Suecia",5.6,5.6,4.8,4,3.3,4.4,5.2,4.4,2.4,3.4,4.3
"43","Suiza",4.3,3.9,3.3,3.2,3.1,3,3.2,3.3,2.8,2.7,2.7
"44","Tailandia",7.2,6.9,5.9,5.5,5.8,7.4,7,7,6,5.9,6.9
"45","Turquía",95,72,48,35,26,28,27,26.5,21,19,17
"46","Venezuela",22.5,36.6,25.2,18.5,16.8,15.5,17.1,22.4,19.9,18.3,17.1
