"","Region","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"1","Alemania",762178,796129,844881,937143,1023858,1084821,1126699,1154472,1080553,1086415,1317941.79846404
"2","Argentina",124493,113178,91657,90518,81298,74162,79465,74649,74546,100398,89788.7708203667
"3","Australia",388734,536867,529648,324939,342509,352909,353546,393363,403256,418400,335502.400472194
"4","Austria",133561,135516,128449,137049,141968,149512,151070,150738,138942,183898,211635.071555709
"5","Bélgica",178331,133682,132779,154218,151939,158016,173818,179019,249997,142726,173289.174452064
"6","Bolivia",20007,20560,28901,25764,25644,21978,24089,21088,19011,35589,-86234.6188735078
"7","Brasil",654106,627878,486777,486025,514700,560838,649738,647753,752225,884755,928746.867198338
"8","Canadá",982013,263906,1036092,988755,1018480,1042100,1188947,1200361,1198381,1235444,1523929.27671734
"9","Chile",82942,78187,82789,86140,93003,94770,101008,108565,97473,108840,76718.5501486075
"10","China",840911,932064,946354,1209900,1349269,1542564,1753550,1853088,2140124,2390793,3023212.00925747
"11","Colombia",190465,179994,171933,153204,162095,175006,185872,187382,196298,180228,149984.954444008
"12","Corea del Sur",228442,238649,240942,232077,221424,223735,243113,250260,256160,483006,560871.695482591
"13","Costa Rica",32270,32605,31219,33517,36045,36170,37284,36786,33285,49397,-83330.6281015373
"14","Dinamarca",110492,97713,90641,99598,118783.39412352,47081.3995259275,45241.6870747613,-20126.9723274867,86015,159443.887906518,5681.49137823131
"15","El Salvador",26059,19407,22063,23660,23964,24879,22465,21056,19339,19953,112745.779739886
"16","España",517481,493019,518836,549963,586438,602978,657606,616893,547971,605568,697029.858603201
"17","EUA",8535240,8038761,7789108,9566226,9969599,9738983,9815504,9054478,9182363,8934001,9272725.70524033
"18","Finlandia",128881,108923,107026,109209,107108,114699,118686,114371,104740,183476,229888.807070833
"19","Francia",777756,734679,695865,682263,728081,805731,825471,827851,771675,751127,884582.864694259
"20","Grecia",125269,113247,114100,137676,130515,133226,137697,128287,112671,148219,181740.905688423
"21","Guatemala",1272252.15176754,1205438.65060713,1312925.21871749,1203320.00198122,1323478.13275815,1260715.49700305,1270290.37958895,1177713.88444101,1386898.52997867,1243201.52226966,1090376.52448183
"22","Holanda",222539,250114,248246,254647,241084,250811,259827,262848,291713,242628,270384.288854857
"23","Hungría",31654,33290,40233,46837,47362,45781,51003,49795,45861,118034,124002.350225908
"24","India",206690,231413,263870,302790,330484,453921,569033,592292,601977,629991,725311.266764791
"25","Irlanda",156277,177032,231296,261345,303697,350204,416205,483741,528098,683441,782621.627610114
"26","Israel",47648,49404,46334,34152,34104,36257,47038,45309,47856,54347,85869.6124190023
"27","Italia",393484,350552,385911,382317,445968,447749,431647,382590,382897,364329,563748.39662772
"28","Japón",640328,647953,639866,638430,651858,670252,656917,655495,641913,650310,394789.667006388
"29","Malasia",169840,189382,166716,170054,176152,163665,185052,176549,182002,240468,228671.595117965
"30","México",292208,278456,287017,330441,331225,317856,309633,266244,222356,186289,180087.880352661
"31","Nicaragua",697511.607116363,506639.136263952,709682.246336347,499667.66091104,567917.73099907,630738.515891003,631464.868949224,574659.668270828,581527.901701106,726552.480701872,591114.23877625
"32","Noruega",306511,270045,248403,254045,60642.3460108856,112721.932485485,163714.491572483,244155.114693586,165847.100160443,254929.670221502,192790.618269569
"33","Panamá",24867,21883,25702,27434,30392,33003,40645,46292,66236,81287,-90463.5858416258
"34","Perú",44487,37482,36947,46917,60819,56072,61958,67840,65885,67941,177005.988063981
"35","Polonia",71799,69842,73137,77690,78992,83451,89289,90031,83053,91085,35125.7222268553
"36","Portugal",96049,112324,117404,127025,148604,119668,138093,159135,123551,170744,207035.566574893
"37","Reino Unido",925638,924944,891154,970036,1018118,1037032,1044883,1056206,1003893,1173434,1364547.37079433
"38","Rep. Checa",44164,46574,52127,66134,75295,75439,75830,78377,78153,94367,165266.620251628
"39","Rep. Dominicana",-142514.465002139,-185515.459285701,-139622.738876178,-71983.2613080368,-222164.074564515,-136420.631162153,-149055.906299233,-87609.1316962225,-70727.323255618,-287457.846260598,68118
"40","Rusia",329935,345262,350963,398958,390824,421170,467670,522577,475261,673113,853166.218023119
"41","Sudáfrica",122561,116985,130938,133222,148146,146648,152550,156567,151292,210296,290112.017234472
"42","Suecia",297623,271259,257840,266754,258317,254042,223776.874918198,256284,235091,237422,168027.705769773
"43","Suiza",284899,242800,189121,144703,134839,125126,139124,158788,168280,220272,350786.055928464
"44","Tailandia",102414,97750,93576,128178,124347,126845,129703,125907,123541,122066,126214.795504855
"45","Turquía",111342,105996,104377,121815,145952,177088,197132,215275,271835,399853,434249.51754044
"46","Venezuela",223075,166807,110062,123232,135574,139671,140774,137900,123646,125485,159931.675864357
