"","Region","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"1","Alemania",5,5,5,5,5,4,4,4,4,4,4
"2","Argentina",3,3,3,3,3,3,3,3,3,3,3
"3","Australia",4,4,4,4,4,4,4,4,4,4,4
"4","Austria",4,4,4,4,4,4,4,4,4,4,4
"5","Bélgica",5,5,5,5,5,5,5,5,5,5,5
"6","Bolivia",3.11709994554997,2.99999992774438,2.99999967225004,2.99999950029859,2.93806306511805,3.50392016183323,2.99999933258442,2.99999981796928,3.38100801537224,3.69159077467651,3.33733582839669
"7","Brasil",2,2,2,2,2,2,2,3,3,3,3
"8","Canadá",5,5,5,5,4,4,4,4,4,4,4
"9","Chile",4,4,4,4,4,4,4,4,4,4,4
"10","China",3,3,3,3,3,3,3,3,3,3,3
"11","Colombia",2,2,2,2,3,3,3,3,3,3,3
"12","Corea del Sur",3,3,3,3,3,3,3,3,3,3,3
"13","Costa Rica",2.71421075705774,3.67164291517756,3.71964391736026,3.13697695787193,2.9822009316569,3.31732755564351,3.40578133342375,3.25410002796316,3.53265814534174,3.54577870477201,3.17863084116113
"14","Dinamarca",5,5,5,5,5,5,5,5,5,5,5
"15","El Salvador",3.62258730990131,4.78453311128969,3.87326035788647,0,3.85447103070585,3.17631537356969,3.1309603800746,3.73400254133699,3.56942583803758,3.99999952757103,3.9999990901101
"16","España",4,4,4,4,4,4,4,4,4,4,4
"17","EUA",5,5,4,4,4,4,4,4,4,4,4
"18","Finlandia",5,5,5,5,5,5,5,5,5,5,5
"19","Francia",5,5,5,5,5,5,5,5,5,5,5
"20","Grecia",4,4,4,4,4,4,4,4,4,3,3
"21","Guatemala",3.00378905786568,3.29134279893598,2.80866730072409,2.83067886839152,2.93223682948326,2.97193483396813,2.87637231183499,3.13952159014569,3.09904341173555,3.16213626438306,3.28645690916809
"22","Holanda",5,5,5,5,5,5,5,5,5,5,5
"23","Hungría",3,3,3,3,3,3,3,3,3,3,3
"24","India",2,2,2,2,2,2,2,2,2,2,2
"25","Irlanda",4,4,4,4,4,4,4,4,4,4,4
"26","Israel",4,4,4,4,4,4,4,4,4,4,4
"27","Italia",3,3,3,3,3,3,3,3,3,3,3
"28","Japón",4,4,4,4,4,4,4,4,4,4,4
"29","Malasia",3,3,3,3,3,4,4,4,4,4,4
"30","México",3,3,3,3,3,3,3,3,3,3,3
"31","Nicaragua",0,3.99999820000081,0,1.99999957471273,1.99999956505757,1.99999968698418,1.99999960506337,2.99999960562691,1.99999956204555,1.99999966086962,3.96358178664261
"32","Noruega",5,5,5,5,5,5,5,5,5,5,5
"33","Panamá",3.86305196691031,3.92796253837778,3.90009384442552,3.79972223556908,3.94960118874522,3.58742739217754,3.85460474680774,3.99765614907755,3.72776474816019,3.26685721241648,3.96878232861207
"34","Perú",3,3,3,3,3,3,3,3,3,3,3
"35","Polonia",4,4,4,4,4,4,4,4,4,4,4
"36","Portugal",3,3,3,3,3,3,3,3,3,3,3
"37","Reino Unido",5,4,4,4,4,4,4,4,4,4,4
"38","Rep. Checa",3,3,3,3,3,3,3,3,3,3,3
"39","Rep. Dominicana",2.90906361399184,3.22954610610412,2.87777410297131,2.91683128059926,2.76794581993951,3.29069600827044,3.06779438303713,2.67340736410232,2.87221797274214,3.07347110524758,3.0829803594131
"40","Rusia",3,3,3,3,3,3,3,3,3,3,3
"41","Sudáfrica",4,4,4,4,4,4,4,4,4,4,4
"42","Suecia",5,5,5,5,5,5,5,5,5,5,5
"43","Suiza",5,5,5,5,5,5,5,5,5,5,5
"44","Tailandia",3,3,3,3,3,3,3,3,3,3,3
"45","Turquía",2,2,2,2,2,3,3,3,3,3,3
"46","Venezuela",3,3,3,3,3,3,3,3,3,3,3
