"","Region","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"1","Alemania",3209,3225,3261,3274,3297,3390,3525,3667,3780,3856,3442.27778479846
"2","Argentina",688,693,720,769,824,898,983,1046,1956,2387,2102.22070768855
"3","Australia",3451,3733,3591,4039,3396,4204,4144.11592460403,4259,3621,3554,4682.23017095802
"4","Austria",2339,2985,2324,3171,3419,3529,3812,4141,4122,3056,4030.86999348374
"5","Bélgica",3157,2991,3001,3128,3183,3330,3446,3517,3491,3183,4030.42453429759
"6","Bolivia",124,120,-65.3600277564172,34.4534522282813,194,185,778.010517206298,1451.29871140751,779.504467131243,719.233387646653,1059.3845532963
"7","Brasil",441,459,496,535,588,621,658,696,425.785888859003,579.870295628956,374.497694357222
"8","Canadá",3701,3709,3901,4082,4236,4260,4335,4531,4771,3432,4550.81823260099
"9","Chile",413,440,772,832,877,773.87140960528,334,355,1175.41361106184,834.856693254109,854.408595528614
"10","China",581,630,667,712,856,931,1077,1199,1457.68423331134,1820,523.14281979154
"11","Colombia",98,126,134,144,145,142,156,157,147.777959844098,551.35513795747,897.647154760481
"12","Corea del Sur",2950,3057,3244,3336,3822,4231,4672,4947,4734.90448591605,3902.89568479392,4071.03175193246
"13","Costa Rica",-347.674070864156,-478.661222196814,132,108,122,-230.748682234622,363.592801968821,257,38.6226321838377,216.823812740168,-106.32665858094
"14","Dinamarca",3632,4757,4621,4845,5200,5300,5517,6494,6390,5777.21843918615,5962.88664593554
"15","El Salvador",2378.43890403387,1804.77439302089,2197.12690501881,2499.7963842816,2250.31256205379,1683.16690647304,2585.69740450421,2173.72403980465,2800.30147715367,3326.1612675957,2395.73067131087
"16","España",1964,2014,2201,2363,2528,2631,2749,2901,2932,3083,3124.40175134627
"17","EUA",4624,4654,4911,4708,4633,4721,4673,4173,2830.3221689313,2533.5238279033,1073.62487652555
"18","Finlandia",7114,7433,8008,7846,7548,7674,7372,7689,7647,8210.86681398217,7802.66451035899
"19","Francia",2987,3119,3203,3340,3320,3431,3593,3690,2905,3733,3447.08272779231
"20","Grecia",1303,1447,1407,1690,1752,1774,1849,1955,2399,2722,1682.61927877194
"21","Guatemala",-640.974292099851,-431.059232676133,63.2707921144282,-432.782864174049,31,25,35,39,214.553065760418,463.157743329862,361.27152379561
"22","Holanda",2853,2378,2714,2983,2935,3245,3105,3074,2818,3284,3910.85982280168
"23","Hungría",1440,1473,1498,1474,1574,1743,1732,1846,2006,2365.50090759907,3074.72447402369
"24","India",-1162.27486753224,-1340.67979076962,-2009.23843687824,-1678.76569835196,136,-1403.84097042052,-905.236485439208,-474.100831319175,-1274.46654075852,-1658.38374192349,-527.141519270381
"25","Irlanda",2315,2382,2503,2695,2787,2883,2952,3342,3373,3051,2826.00181967544
"26","Israel",2018,2012,1747,2397,1865,1881,1730,2536,2093.06883374023,2867,2929.66410844732
"27","Italia",1166,1239,1215,1236,1406,1497,1563,1614,1690,2081.90709340392,2382.85490477922
"28","Japón",5187,4943,5170,5176,5385,5416,5409,5189,4447.25530330199,4572.24198103028,3680.10445662341
"29","Malasia",-84.3951003598604,292,-326.713623200817,495,146.880024980273,365,-296.627389855205,468,590,1145.04614435069,576.225021627578
"30","México",1.03710443914603,-186.149235923243,323,378,412,336,347,619.94437607688,1062.47631940681,502.032016619559,512.31064638935
"31","Nicaragua",2280.76160316209,2413.62384773297,1856.41935483376,2505.55192147476,2201.97841454625,2848.07304678908,2675.42898924713,3179.0612750615,3178.30256082664,3006.96799179474,2977.26032539716
"32","Noruega",4441,5112.27481699284,4604,4614,4683,4938,5245,5444,5504,5700.89938597112,5686.98637395034
"33","Panamá",92,97,97,96,106,91,142,111,475.96905603556,431.573647753799,486.773530560623
"34","Perú",-81.2801044691983,738.928348542949,426.769537311308,500.53769965461,509.844601993075,457.00362854951,554.108272019877,1126.05731388033,1115.97615762161,1791.76701735533,1641.84265481695
"35","Polonia",1467,1484,1534,1596,1629,1561,1608,1618,1598,2415.32397563766,2395.92134671365
"36","Portugal",1708,1821,1934,1969,2004,2330,2656,3800,4308,2634.42481401483,3551.07413835389
"37","Reino Unido",3082,3339,3635,3823,4129,4196,4149,4112,3947,3794,4445.26953400167
"38","Rep. Checa",1466,1467,1550,1598,2365,2560,2703,2870,2755,2841,3006.74597308119
"39","Rep. Dominicana",1829.71114081885,2525.66789277569,3075.83356028153,2940.97754821309,3489.72775198969,3068.40848296887,3031.84779756945,3107.35595872632,2992.87223039368,3612.42627262594,3439.04856372051
"40","Rusia",3460,3381,3365,3310,3230,3236,3274,3152,3091,2800,3692.80370257667
"41","Sudáfrica",312,537.849096449716,303,379,362,384,396,274.305812930064,876.643854400799,354.320955662935,454.206378982734
"42","Suecia",5181,3234.88868866746,5393,5434,6101,6130,4979,5220,5018,5346.54490547774,5586.43359325736
"43","Suiza",3105,3034,3315,3451,3458,3194,2899,3320,3207.63022637062,3428,3615.14628607592
"44","Tailandia",277,192.993829137625,277,461.329927003069,307,319.899319316735,316,278.380044579139,1185.21217486212,647.452471862698,653.857865399873
"45","Turquía",352,367,492,504,574,618,710,745,804,795.741744723538,1317.62464538499
"46","Venezuela",71,70,95,105,122,147,163,188,183,559.892036393255,1022.88612129007
