"","Region","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"1","Alemania",10267.86,6698.11,6179.78,7037.04,7250,8155.58,9726.03,10541.73,8472.22,7814.57,8344.92
"2","Argentina",869,2282.24230373732,2278.803257558,2754.45017393626,299.580904410043,3074.82537119026,2407.5364981008,469.821987884708,354.539604399432,2855.51473747134,5404.78040608831
"3","Australia",4663.21,6471.2,4166.23,3987.87167469549,4443.09,8480.76310010675,5848.19,6524.02757378793,4707.01747709826,6172.48,7512.9
"4","Austria",1352.68,904.72,867.08,844.44,944.03,941.03,1202.74,1043.92,719.44,922.9,712.24
"5","Bélgica",1260.8,1186.79,1180.9,1639.05,1284.75,1318.15,1599.03,1643.51,1502.83,1643.48,1896.7
"6","Bolivia",158.31,25.6,25.8,17.7,-1239.96574639251,1431.53851161298,-1737.02864491909,180.04,268.22,261.35,2989.57583452155
"7","Brasil",6525.42,5205.48,2922.08,4744.03,6380.96,5767.6,7775.46,14611.73,9536.1,8805.63,9949.89
"8","Canadá",5138.06,4154.14,3714.29,4384.62,4620.46,6084.66,7261.89,11246.49,6999.13,8155.34,9494.95
"9","Chile",827.72,562.26,349.16,290.846257443576,-867.138402758405,1198.05,1393.18,1753.95,1387.43,1919.81,2406.06
"10","China",30835.87,25039.98,26782.49,26559.18,25601.48,27768.42,26439.99,33169.09,35469.77,34349.93,35697.5397499716
"11","Colombia",1530.25,879.380866307668,1570.80798797542,5041.98133743536,3043.54702590737,2919.08782988942,5102.58609195878,6043.98880258161,1730.67,3438.63198078989,2975.83809202774
"12","Corea del Sur",6371.93,9223.88,5169.31,5395.61,5674.92,6650.67,6840.63,6253.44,5101.38,5537.08,6923.09
"13","Costa Rica",233.06,249.11,266.97,169.1,826.590193573792,144.29,305.32,304.88,664.712316113896,-972.863725993202,544.263481921744
"14","Dinamarca",1324.04,969.22,850.83,955.26,1146.24,1237.09,1679.19,1888.39,1554.37,1265.47,1216.06
"15","El Salvador",163.11,76.8,23.31,124.57,95,137.93,337.29,198.56,1193.25,-1407.31872354968,154.52
"16","España",7313.39,5241.75,5103.37,5820.8,6893.53,7133.73,7928.79,7007.4,5425.76,5271.09,5258.38
"17","EUA",71974,61442,60522,62715,70760,79884,79717,80651,67262,70149,66638.5373824897
"18","Finlandia",811.61,730.19,-1390.9194528167,1238.70448070922,5780.01996044447,557.21,597.81,639.39,805.56,834.44,931.85
"19","Francia",6405.36,5471.7,8129.05267095326,6783.95,7888.06,8801.76,8410.96,9559.3,8193.06,8621.19,9702.36
"20","Grecia",1514.29,1290.57,1266.29,1343.21,901.25,1010.04,1772.6,2007.32,1870.83,1417.22,1325.45
"21","Guatemala",9928.52628333413,12754.5021152332,15849.4586704338,16148.9468112493,12526.8374580781,11214.6919727597,11104.0744975491,9967.83076507374,11454.9408923424,12303.1959072739,11259.0696624422
"22","Holanda",2633.04,3027.21219241905,817.870226129637,3386.67890453176,2072.73391382393,2301.76923264384,2235.89,2892.83,2339.17,2481.72,2097.04745468029
"23","Hungría",750.46,686.25,486.02,450.83,466.51,412.57,488.75,943.5,951.29,676.22,2825.64195177529
"24","India",3511.55,7010.86026088191,5521.55899516281,7842.78331325527,8508.8198480503,9858.80728989329,13111.1,13983.38,13613.03,13274.7,16586.5511613006
"25","Irlanda",2969.60202110389,4023.77890672455,288.76,1656.47402726552,733.618533344005,3757.32442188636,627.32,755.27,613.96,586.75,582.75
"26","Israel",442.76,1441.14,1231.33254241233,1099.9503110098,3813.18599618403,1938.72412392465,1448.62048340422,2823.02917080677,5371.19320351305,969.24,-204.28737177116
"27","Italia",7208.04,8935.85,8861.8,8745.68,10000,8578.7,9812.33,9793.56,8641.67,8145.7,8297.64
"28","Japón",24618.02,19257.46,20422.01,23198.6,18930.4,17542.44,20611.32,23549.16,25322.46,16935.91,14429.91
"29","Malasia",1180.26,1229.47,1159.74,1290.79,2103.07,1383.93506294664,1242.16,1343.82,1497.87,1733.8,1029.76720073092
"30","México",5750.86,3129.92,2584.24,3614.89,3474.53,3747.96,3272.96,3648.12,2890.6,5674.83,4984.1
"31","Nicaragua",6.43,40.61,36.56,-1020.46770386754,305.724164561662,-113.697187558245,1725.23406186536,1118.58264827047,2188.91720849493,2290.5385700444,4804.42031158778
"32","Noruega",-25.8765842451458,2588.85,119.178300493962,-206.640880431824,860.494234709591,-1589.04234240241,-30.641719854955,730.691867232904,-1344.77393782844,-711.665955928915,1582.99841344523
"33","Panamá",2655.63828821793,4916.56048200427,5705.14590017947,1775.00759012718,3606.39811419461,4277.20297158085,5221.04034315912,3576.80117152735,1966.58725605464,984.745588985709,1382.45330630929
"34","Perú",174.52,1718.54975870777,1044.76199878739,-1501.38510941508,387.29,437.93,1121.46385139343,880.06,909.66,847.09,1068.88
"35","Polonia",-2356.90511034669,696.587390409124,707.903872001991,150.495019790693,1844.2,2444.77,-294.032495967423,3059.99,2565.19,2391.4,2344.7
"36","Portugal",1228.61,946.52,645.48,837.74,915.88,1214.26,1801.2,1463.9,1464.49,1428.14,1228.7
"37","Reino Unido",15827.34,13432.84,10218.5101173925,9382.43406285286,8210.74448002587,10433.7254477961,8214.40276746238,10697.18,7995.33,5687.79,11547.3489193265
"38","Rep. Checa",1224.32,810.69,1507.44,474.93,573.36,627.15,795.96,871.53,763.05,783.85,815.89
"39","Rep. Dominicana",288.14,421.21,269.89,238.79,255.52,340.5,162.59,283.07,196.36,195.46,300.06
"40","Rusia",732.4,1012.38,5736.90293297643,4012.86840824733,6651.69072373603,8726.11324722445,12134.1,9421.69,4659.52,6324.63,8835.93
"41","Sudáfrica",1393.73,712.05,871.16,2388.75122360398,1856.79912041345,2731.69954642503,1971.37,1963.08,1728.35,1818.06,1712.80420791578
"42","Suecia",1481.7,3845.21849796052,1451.92,1577.14,1181.85,1381.84,1582.83,1470.03,1189.05,974.2,1437.0508753526
"43","Suiza",1642.68,1653.21,1580,1661.29,1630.29,5173.02,2301.25,2103.81,2106.8,2067.29,2659.08
"44","Tailandia",1295.3,1513.04,400.88,508.23,656.91,769.13,963.87,529.946604959921,678.79,735.45,1664.37521770819
