"","Region","2001","2005","2010"
"1","Alemania",1.1,0.1,31.8015377148887
"2","Argentina",21.5,20.2269593648294,27.461335358152
"3","Australia",16.7,27.2781036922264,7.4
"4","Austria",0.1,6.36107122584051,9.2832472680166
"5","Bélgica",0,0,2.83848633215638
"6","Bolivia",125.38,65.8671579569944,33.5118680855045
"7","Brasil",36.6,31.7,40.1779996258184
"8","Canadá",61.3562338690324,2.3,4.7
"9","Chile",21.3,22.9,17.5067513133358
"10","China",274.951583618876,358,331.101009999301
"11","Colombia",4.9,12.8928413618038,5.9
"12","Corea del Sur",35.993601897071,20.2109019889272,34.3495664581812
"13","Costa Rica",4.9918480373382,4.1,4.44366373876334
"14","Dinamarca",0.2,0.1,0.2
"15","El Salvador",0.8,1.2,2.99817009276533
"16","España",23,20.1,19.6
"17","EUA",79.3749229391191,168.821750136522,256.564828605846
"18","Finlandia",0.1,0.1,4.22079864092133
"19","Francia",4.5,3.9,3.1
"20","Grecia",8.4,8.5,23.7375458595766
"21","Guatemala",1.5,1.9,6.32978849141749
"22","Holanda",0.1,0.1,0.1
"23","Hungría",0.7,0.3,7.77802783398131
"24","India",558.4,352.593534217775,688
"25","Irlanda",0,1.07,3.23089372012
"26","Israel",1,1.1,1
"27","Italia",20,12.9,40.770903870636
"28","Japón",56.8,54.6,95.1840458154545
"29","Malasia",2.5,2.5,8.39978121946064
"30","México",56.1,60.6,61.8
"31","Nicaragua",1.2,13.5034922044621,1.5
"32","Noruega",0.8,0.8,6.01890290171097
"33","Panamá",0.7,15.0750890478588,5.58507592706176
"34","Perú",16.4,20.8912553373888,24.44
"35","Polonia",1.1,1.1,1.2
"36","Portugal",6.2,5.91177530324056,11.3658103448018
"37","Reino Unido",1.3,1.3,1.1
"38","Rep. Checa",6.37160457063553,5.28495733955259,7.49645987429294
"39","Rep. Dominicana",12.2608259262305,16.02,10.4085820108031
"40","Rusia",66.9190915253646,123.349329144102,205.678999777447
"41","Sudáfrica",7.8,14.6218323484793,24.6760227438018
"42","Suecia",0.1,0.1,4.37943485047328
"43","Suiza",0.1,1.25061547351659,0.1
"44","Tailandia",21.89,51.8,38.19
"45","Turquía",31.5,29.6,34
"46","Venezuela",37.41,20.9378524062219,25.6051557007129
