"","Region","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"1","Alemania",2.46,2.49,2.52,2.49,2.49,2.53,2.53,2.68,2.82,2.1,2.50595403160686
"2","Argentina",0.42,0.39,0.41,0.44,0.46,0.49,0.51,0.52,0.94,0.810362427756402,0.925005244449295
"3","Australia",2.18,1.74,2.15,1.85,2.12,2.18,2.16,2.35,2.69,2.52,2.15099560892987
"4","Austria",2.07,2.14,2.26,2.26,2.45,2.46,2.52,2.67,2.75,2.75,2.36190565818804
"5","Bélgica",2.07,1.94,1.88,1.86,1.83,1.86,1.9,1.96,1.96,1.79547290056132,2.03306089563438
"6","Bolivia",0.29,0.28,0.285841169213304,0.28530947072262,0.293553902774061,0.33,0.294036134452401,0.257059298627879,0.301937601552378,0.257709326837238,0.206062678475753
"7","Brasil",1.04,0.98,0.96,0.9,0.97,1,1.07,1.08,1.09062690969497,1.01488715486397,1.11667410423979
"8","Canadá",2.09,2.04,2.04,2.07,2.05,1.97,1.91,1.84,1.95,2.42,2.09063360928598
"9","Chile",0.53,0.68,0.67,0.68,0.16,0.58,0.33,0.39,0.520617578710604,0.906618138524461,0.967032459274033
"10","China",0.95,1.07,1.13,1.23,1.32,1.39,1.4,1.47,1.44386213373546,1.49800279536919,1.68161744249441
"11","Colombia",0.12,0.12,0.15,0.15,0.16,0.16,0.16,0.15,0.16,0.305099585797504,0.391471657208474
"12","Corea del Sur",2.47,2.4,2.49,2.68,2.79,3.01,3.21,3.36,2.70417911730846,2.61585455757091,2.72733020034795
"13","Costa Rica",0.21,0.26,0.36,0.37,0.21,0.43,0.36,0.4,0.350293373758297,0.36098116662185,0.410645070730867
"14","Dinamarca",2.39,2.51,2.58,2.48,2.46,2.48,2.58,2.87,3.02,2.98,2.64075523476702
"15","El Salvador",0.209286682216781,0.178758896198753,0.176979258090869,0.173810692782945,0.160749477284423,0.152073605213022,0.09,0.11,0.168159510581536,0.151496503729527,0.198560716671577
"16","España",0.91,0.99,1.05,1.06,1.12,1.2,1.27,1.35,1.38,1.31547433459586,1.21345144255517
"17","EUA",2.72,2.62,2.61,2.54,2.57,2.61,2.67,2.79,2.27,2.60032139800313,2.59432455395663
"18","Finlandia",3.32,3.37,3.44,3.45,3.48,3.48,3.47,3.72,3.96,3.84,2.75833940733454
"19","Francia",2.2,2.24,2.18,2.16,2.11,2.11,2.08,2.12,2.23,2.11954174855448,2.13281166712752
"20","Grecia",0.58,0.8,0.57,0.55,0.59,0.58,0.58,0.96,1.19,0.873240850944458,0.874469493877533
"21","Guatemala",0.142572876522904,0.0779133444169307,0.0731502444375445,0.0825434810294581,0.03,0.05,0.07,0.06,0.081581865631948,0.0979819261148329,0.184099216768962
"22","Holanda",1.8,1.72,1.92,1.93,1.9,1.88,1.81,1.76,1.84,1.8769130373917,1.88667446050343
"23","Hungría",0.92,1,0.93,0.88,0.94,1,0.97,1,1.15,1.09114226036543,1.06595349996892
"24","India",0.75,0.74,0.73,0.74,0.78,0.77,0.76,0.95,0.841912854105934,0.826575135361726,0.956712321189759
"25","Irlanda",1.1,1.1,1.17,1.23,1.25,1.25,1.29,1.45,1.77,1.5838860376996,1.40328198953481
"26","Israel",4.6,4.59,4.32,4.26,4.41,4.43,4.8,4.66,4.27,3.72934042594643,3.35811956969642
"27","Italia",1.09,1.13,1.11,1.1,1.09,1.13,1.18,1.23,1.27,1.18990651293652,1.1844150041546
"28","Japón",3.12,3.17,3.2,3.17,3.32,3.4,3.44,3.45,3.25933613818872,3.21072707325105,3.18862494167536
"29","Malasia",0.626081542598833,0.65,0.628116218168725,0.6,0.641080574372717,0.63,0.44,0.71067858603275,0.69828080498944,0.62106540014197,0.661982339001589
"30","México",0.39,0.44,0.4,0.4,0.41,0.39,0.37,0.73,0.531710192224584,0.576154027539078,0.675528840426516
"31","Nicaragua",0.132956588917072,0.05,0.11833751798953,0.139893346331789,0.11,0.119365751591236,0.15333756697104,0.169705179554518,0.112632402957852,0.110138367841002,0.114522607521104
"32","Noruega",1.59,1.66,1.71,1.59,1.52,1.52,1.65,1.64,1.8,1.99696942460042,2.40110027009677
"33","Panamá",0.38,0.36,0.34,0.24,0.25,0.25,0.2,0.21,0.21,0.245948343109609,0.246897192806241
"34","Perú",0.11,0.1,0.1,0.15,0.18,0.271196613091272,0.279216421422719,0.46,0.274363404800613,0.492265583759888,0.420206754077938
"35","Polonia",0.62,0.56,0.54,0.56,0.57,0.56,0.57,0.6,0.68,0.739180028393616,0.833846025227063
"36","Portugal",0.77,0.73,0.71,0.75,0.78,0.99,1.17,1.5,1.66,0.972734794178037,0.990183413811739
"37","Reino Unido",1.79,1.79,1.75,1.68,1.73,1.75,1.78,1.77,1.87,1.82,1.97536755628717
"38","Rep. Checa",1.2,1.2,1.25,1.25,1.41,1.55,1.54,1.47,1.53,1.41614076878451,1.41097099210311
"39","Rep. Dominicana",0.03,0.125924876311083,0.142111049616303,0.11035303177303,0.189004871448302,0.151400069630645,0.808488543623189,0.212225769670803,0.141252445173611,0.438336756125208,0.637614013808389
"40","Rusia",1.18,1.25,1.29,1.15,1.07,1.07,1.12,1.04,1.25,1.27448757937652,1.32207275094179
"41","Sudáfrica",0.73,0.583656246897903,0.79,0.85,0.9,0.93,0.92,0.93,0.884428347574233,0.871767428610903,0.926376306191593
"42","Suecia",4.13,1.6,3.8,3.58,3.56,3.68,3.4,3.7,3.62,3.02,2.59918990362741
"43","Suiza",1.95,2.04,2.19,2.9,2.11,1.98,2.07,3,2.66,2.61,2.40674312038488
"44","Tailandia",0.26,0.24,0.26,0.26,0.23,0.25,0.21,0.22,0.301418431912298,0.430435819459639,0.394820470207628
"45","Turquía",0.54,0.53,0.48,0.52,0.59,0.58,0.72,0.73,0.85,0.655875606689308,0.748034822242216
"46","Venezuela",0.2,0.29,0.25,0.25,0.34,0.41,0.45,0.39,0.64,0.443744010523112,0.525375803986504
