"","Region","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"1","Alemania",2.46,2.49,2.52,2.49,2.49,2.53,2.53,2.68,2.82,2.1,NA
"2","Argentina",0.42,0.39,0.41,0.44,0.46,0.49,0.51,0.52,0.94,NA,NA
"3","Australia",2.18,1.74,2.15,1.85,2.12,2.18,2.16,2.35,2.69,2.52,NA
"4","Austria",2.07,2.14,2.26,2.26,2.45,2.46,2.52,2.67,2.75,2.75,NA
"5","Bélgica",2.07,1.94,1.88,1.86,1.83,1.86,1.9,1.96,1.96,NA,NA
"6","Bolivia",0.29,0.28,NA,NA,NA,0.33,NA,NA,NA,NA,NA
"7","Brasil",1.04,0.98,0.96,0.9,0.97,1,1.07,1.08,NA,NA,NA
"8","Canadá",2.09,2.04,2.04,2.07,2.05,1.97,1.91,1.84,1.95,2.42,NA
"9","Chile",0.53,0.68,0.67,0.68,0.16,0.58,0.33,0.39,NA,NA,NA
"10","China",0.95,1.07,1.13,1.23,1.32,1.39,1.4,1.47,NA,NA,NA
"11","Colombia",0.12,0.12,0.15,0.15,0.16,0.16,0.16,0.15,0.16,NA,NA
"12","Corea del Sur",2.47,2.4,2.49,2.68,2.79,3.01,3.21,3.36,NA,NA,NA
"13","Costa Rica",0.21,0.26,0.36,0.37,0.21,0.43,0.36,0.4,NA,NA,NA
"14","Dinamarca",2.39,2.51,2.58,2.48,2.46,2.48,2.58,2.87,3.02,2.98,NA
"15","El Salvador",NA,NA,NA,NA,NA,NA,0.09,0.11,NA,NA,NA
"16","España",0.91,0.99,1.05,1.06,1.12,1.2,1.27,1.35,1.38,NA,NA
"17","EUA",2.72,2.62,2.61,2.54,2.57,2.61,2.67,2.79,2.27,NA,NA
"18","Finlandia",3.32,3.37,3.44,3.45,3.48,3.48,3.47,3.72,3.96,3.84,NA
"19","Francia",2.2,2.24,2.18,2.16,2.11,2.11,2.08,2.12,2.23,NA,NA
"20","Grecia",0.58,0.8,0.57,0.55,0.59,0.58,0.58,0.96,1.19,NA,NA
"21","Guatemala",NA,NA,NA,NA,0.03,0.05,0.07,0.06,NA,NA,NA
"22","Holanda",1.8,1.72,1.92,1.93,1.9,1.88,1.81,1.76,1.84,NA,NA
"23","Hungría",0.92,1,0.93,0.88,0.94,1,0.97,1,1.15,NA,NA
"24","India",0.75,0.74,0.73,0.74,0.78,0.77,0.76,0.95,NA,NA,NA
"25","Irlanda",1.1,1.1,1.17,1.23,1.25,1.25,1.29,1.45,1.77,NA,NA
"26","Israel",4.6,4.59,4.32,4.26,4.41,4.43,4.8,4.66,4.27,NA,NA
"27","Italia",1.09,1.13,1.11,1.1,1.09,1.13,1.18,1.23,1.27,NA,NA
"28","Japón",3.12,3.17,3.2,3.17,3.32,3.4,3.44,3.45,NA,NA,NA
"29","Malasia",NA,0.65,NA,0.6,NA,0.63,0.44,NA,NA,NA,NA
"30","México",0.39,0.44,0.4,0.4,0.41,0.39,0.37,0.73,NA,NA,NA
"31","Nicaragua",NA,0.05,NA,NA,0.11,NA,NA,NA,NA,NA,NA
"32","Noruega",1.59,1.66,1.71,1.59,1.52,1.52,1.65,1.64,1.8,NA,NA
"33","Panamá",0.38,0.36,0.34,0.24,0.25,0.25,0.2,0.21,0.21,NA,NA
"34","Perú",0.11,0.1,0.1,0.15,0.18,NA,NA,0.46,NA,NA,NA
"35","Polonia",0.62,0.56,0.54,0.56,0.57,0.56,0.57,0.6,0.68,NA,NA
"36","Portugal",0.77,0.73,0.71,0.75,0.78,0.99,1.17,1.5,1.66,NA,NA
"37","Reino Unido",1.79,1.79,1.75,1.68,1.73,1.75,1.78,1.77,1.87,1.82,NA
"38","Rep. Checa",1.2,1.2,1.25,1.25,1.41,1.55,1.54,1.47,1.53,NA,NA
"39","Rep. Dominicana",0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Rusia",1.18,1.25,1.29,1.15,1.07,1.07,1.12,1.04,1.25,NA,NA
"41","Sudáfrica",0.73,NA,0.79,0.85,0.9,0.93,0.92,0.93,NA,NA,NA
"42","Suecia",4.13,1.6,3.8,3.58,3.56,3.68,3.4,3.7,3.62,3.02,NA
"43","Suiza",1.95,2.04,2.19,2.9,2.11,1.98,2.07,3,2.66,2.61,NA
"44","Tailandia",0.26,0.24,0.26,0.26,0.23,0.25,0.21,0.22,NA,NA,NA
"45","Turquía",0.54,0.53,0.48,0.52,0.59,0.58,0.72,0.73,0.85,NA,NA
"46","Venezuela",0.2,0.29,0.25,0.25,0.34,0.41,0.45,0.39,0.64,NA,NA
