"","Region","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"1","Alemania",5,5,5,5,5,4,4,4,4,4,4
"2","Argentina",3,3,3,3,3,3,3,3,3,3,3
"3","Australia",4,4,4,4,4,4,4,4,4,4,4
"4","Austria",4,4,4,4,4,4,4,4,4,4,4
"5","Bélgica",5,5,5,5,5,5,5,5,5,5,5
"6","Bolivia",3.71911701581085,3.90233058338675,3.42548524762662,3.69196499473767,3.04538417151641,3.68939435502894,3.54894454846776,3.34595940599829,3.6576173870975,3.89771807904883,3.64778497746047
"7","Brasil",2,2,2,2,2,2,2,3,3,3,3
"8","Canadá",5,5,5,5,4,4,4,4,4,4,4
"9","Chile",4,4,4,4,4,4,4,4,4,4,4
"10","China",3,3,3,3,3,3,3,3,3,3,3
"11","Colombia",2,2,2,2,3,3,3,3,3,3,3
"12","Corea del Sur",3,3,3,3,3,3,3,3,3,3,3
"13","Costa Rica",2.70042413565538,3.22160910464876,3.40204014499394,4.76560621893701,3.34062520607214,3.36662012063325,3.58262527963107,3.26542587445467,3.331260053193,3.10182196346634,3.7289234566841
"14","Dinamarca",5,5,5,5,5,5,5,5,5,5,5
"15","El Salvador",2.99999940987353,3.34256011852211,0,0,0,0,3.49999937000011,3.22891819312446,3.58609686168979,4.20600862807984,3.083746557109
"16","España",4,4,4,4,4,4,4,4,4,4,4
"17","EUA",5,5,4,4,4,4,4,4,4,4,4
"18","Finlandia",5,5,5,5,5,5,5,5,5,5,5
"19","Francia",5,5,5,5,5,5,5,5,5,5,5
"20","Grecia",4,4,4,4,4,4,4,4,4,3,3
"21","Guatemala",2.93324345362626,2.94853222862528,2.82907328703512,2.90679961966993,2.98682614241874,2.87529928217957,3.10367403705356,2.6887198860513,3.24453434155909,3.01767184822822,3.17759360061339
"22","Holanda",5,5,5,5,5,5,5,5,5,5,5
"23","Hungría",3,3,3,3,3,3,3,3,3,3,3
"24","India",2,2,2,2,2,2,2,2,2,2,2
"25","Irlanda",4,4,4,4,4,4,4,4,4,4,4
"26","Israel",4,4,4,4,4,4,4,4,4,4,4
"27","Italia",3,3,3,3,3,3,3,3,3,3,3
"28","Japón",4,4,4,4,4,4,4,4,4,4,4
"29","Malasia",3,3,3,3,3,4,4,4,4,4,4
"30","México",3,3,3,3,3,3,3,3,3,3,3
"31","Nicaragua",2.48416705789544,2.36865126558729,2.45569572133962,2.47190956409556,2.43678108766823,1.9999991000004,2.52631519113588,0,0,2.48192719651629,2.99999952681645
"32","Noruega",5,5,5,5,5,5,5,5,5,5,5
"33","Panamá",4.13070308614501,3.68071990975371,3.99999893009374,3.75883385371443,3.47105564400787,4.8964486857497,3.65349842167628,3.78088211863633,3.69208672175339,3.44732025059076,3.94378724297963
"34","Perú",3,3,3,3,3,3,3,3,3,3,3
"35","Polonia",4,4,4,4,4,4,4,4,4,4,4
"36","Portugal",3,3,3,3,3,3,3,3,3,3,3
"37","Reino Unido",5,4,4,4,4,4,4,4,4,4,4
"38","Rep. Checa",3,3,3,3,3,3,3,3,3,3,3
"39","Rep. Dominicana",3.33998500709438,3.01135267137311,3.08651972429034,3.0519934184065,3.05960005144846,3.24231454635029,3.16670218838228,3.2346919477858,3.16027982903896,3.26346111609502,3.06545532816147
"40","Rusia",3,3,3,3,3,3,3,3,3,3,3
"41","Sudáfrica",4,4,4,4,4,4,4,4,4,4,4
"42","Suecia",5,5,5,5,5,5,5,5,5,5,5
"43","Suiza",5,5,5,5,5,5,5,5,5,5,5
"44","Tailandia",3,3,3,3,3,3,3,3,3,3,3
"45","Turquía",2,2,2,2,2,3,3,3,3,3,3
"46","Venezuela",3,3,3,3,3,3,3,3,3,3,3
