"","Region","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"1","Alemania",3209,3225,3261,3274,3297,3390,3525,3667,3780,3856,3524.51534717515
"2","Argentina",688,693,720,769,824,898,983,1046,1956,2387,1792.53323965974
"3","Australia",3451,3733,3591,4039,3396,4204,3738.20452275844,4259,3621,3554,3563.84418196487
"4","Austria",2339,2985,2324,3171,3419,3529,3812,4141,4122,3056,3373.03664802588
"5","Bélgica",3157,2991,3001,3128,3183,3330,3446,3517,3491,3183,3294.0925028566
"6","Bolivia",124,120,153.879527522692,155.747302265443,194,185,150.463483644755,147.318503337143,169.158752080617,189.034031549442,187.870194204207
"7","Brasil",441,459,496,535,588,621,658,696,957.551402106671,724.711910862385,958.258715178451
"8","Canadá",3701,3709,3901,4082,4236,4260,4335,4531,4771,3432,3889.27283596321
"9","Chile",413,440,772,832,877,585.469468692623,334,355,556.912371450775,1803.94495509875,1721.06360465619
"10","China",581,630,667,712,856,931,1077,1199,1313.70685284086,1820,1870.08526948449
"11","Colombia",98,126,134,144,145,142,156,157,283.847067794124,365.365168678536,543.50883658909
"12","Corea del Sur",2950,3057,3244,3336,3822,4231,4672,4947,3716.2140785248,3736.69430497491,3794.54007869834
"13","Costa Rica",201.733042373681,162.005659142119,132,108,122,289.532369585337,185.353629346391,257,268.984918274177,326.06474211049,531.678071164108
"14","Dinamarca",3632,4757,4621,4845,5200,5300,5517,6494,6390,4988.66046008852,5083.72198115041
"15","El Salvador",114.902588107824,101.642122607215,283.773833846252,111.314790138026,107.823297434511,107.494087168872,91.2172987362677,102.567279338926,101.299881111246,105.715412458959,234.699166659772
"16","España",1964,2014,2201,2363,2528,2631,2749,2901,2932,3083,2449.60821582492
"17","EUA",4624,4654,4911,4708,4633,4721,4673,4173,4617.48591020825,4630.6471416519,4610.05519115056
"18","Finlandia",7114,7433,8008,7846,7548,7674,7372,7689,7647,6272.8814723274,5095.01793749243
"19","Francia",2987,3119,3203,3340,3320,3431,3593,3690,2905,3733,3352.69981056071
"20","Grecia",1303,1447,1407,1690,1752,1774,1849,1955,2399,2722,2066.62413807625
"21","Guatemala",89.8375841429858,41.7467689986382,39.9529068301674,50.7702327897356,31,25,35,39,59.1430101110899,69.6957062756184,210.626892446691
"22","Holanda",2853,2378,2714,2983,2935,3245,3105,3074,2818,3284,3038.5841120774
"23","Hungría",1440,1473,1498,1474,1574,1743,1732,1846,2006,1870.80632909137,1755.47644090958
"24","India",480.018371241401,659.771906794712,597.661020615061,396.096529012392,136,519.627042231947,509.164287437066,804.81111340926,705.12007394731,586.328810128851,1317.76886318727
"25","Irlanda",2315,2382,2503,2695,2787,2883,2952,3342,3373,3051,2718.15620005419
"26","Israel",2018,2012,1747,2397,1865,1881,1730,2536,2565.93145882571,2867,3462.88162892846
"27","Italia",1166,1239,1215,1236,1406,1497,1563,1614,1690,1594.94560960361,1580.22746743166
"28","Japón",5187,4943,5170,5176,5385,5416,5409,5189,5175.10675237524,5044.50785874225,4990.91539058964
"29","Malasia",624.649115948816,292,632.67559943477,495,676.676138474029,365,704.729690537221,468,590,658.386919560467,729.138591342822
"30","México",656.133191839747,567.377690742135,323,378,412,336,347,886.92986621552,596.921310789216,646.634773008384,852.886019277675
"31","Nicaragua",107.003395304553,97.0880985646402,97.4653513618419,122.528748983408,104.050796194542,126.303805134696,121.337431680583,117.35890345894,143.390625782344,107.38040976664,85.7987679070248
"32","Noruega",4441,4244.42552517651,4604,4614,4683,4938,5245,5444,5504,4858.26930761324,4869.59910077181
"33","Panamá",92,97,97,96,106,91,142,111,110.192890459189,108.495428197531,157.883615831376
"34","Perú",544.022894578607,771.52141187841,553.188887093456,659.507594568945,631.90340524623,627.640413794736,754.457653568902,573.004413382268,833.33073638413,1569.71166691781,912.942142759122
"35","Polonia",1467,1484,1534,1596,1629,1561,1608,1618,1598,1466.30405700344,1756.47558020055
"36","Portugal",1708,1821,1934,1969,2004,2330,2656,3800,4308,2321.31381322728,2244.60536762202
"37","Reino Unido",3082,3339,3635,3823,4129,4196,4149,4112,3947,3794,3687.08351486701
"38","Rep. Checa",1466,1467,1550,1598,2365,2560,2703,2870,2755,2841,2357.2196654216
"39","Rep. Dominicana",151.43732335114,249.081887764944,208.415749274827,124.080723912185,302.745405293223,285.66851900314,1601.58418095279,495.460777019314,162.184874859382,975.115897260932,1280.18213301575
"40","Rusia",3460,3381,3365,3310,3230,3236,3274,3152,3091,2800,3166.60525214951
"41","Sudáfrica",312,528.826555210813,303,379,362,384,396,682.320221017485,706.15207532773,800.209796729792,1115.32489733127
"42","Suecia",5181,3804.94454131267,5393,5434,6101,6130,4979,5220,5018,4843.83125833467,3794.64802200411
"43","Suiza",3105,3034,3315,3451,3458,3194,2899,3320,3286.23454296908,3428,3423.71129131435
"44","Tailandia",277,423.678116444864,277,383.220679662259,307,470.376618629654,316,463.874084821661,457.161457151262,715.124519571,622.394445643692
"45","Turquía",352,367,492,504,574,618,710,745,804,750.111621757045,969.40098719697
"46","Venezuela",71,70,95,105,122,147,163,188,183,361.926123397065,531.003777188124
