"","Region","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"1","Alemania",10267.86,6698.11,6179.78,7037.04,7250,8155.58,9726.03,10541.73,8472.22,7814.57,8344.92
"2","Argentina",869,1552.8276908013,2022.74345431921,2763.44433394617,2975.28687956178,2574.36128944914,2014.76467752167,1872.34177620688,1949.31426419196,2486.72020253312,4005.34065647935
"3","Australia",4663.21,6471.2,4166.23,5373.67337206777,4443.09,5683.32428833643,5848.19,5612.72218645721,5629.69527980064,6172.48,7512.9
"4","Austria",1352.68,904.72,867.08,844.44,944.03,941.03,1202.74,1043.92,719.44,922.9,712.24
"5","Bélgica",1260.8,1186.79,1180.9,1639.05,1284.75,1318.15,1599.03,1643.51,1502.83,1643.48,1896.7
"6","Bolivia",158.31,25.6,25.8,17.7,179.009594136098,214.123231786153,197.722978566347,180.04,268.22,261.35,202.909961661564
"7","Brasil",6525.42,5205.48,2922.08,4744.03,6380.96,5767.6,7775.46,14611.73,9536.1,8805.63,9949.89
"8","Canadá",5138.06,4154.14,3714.29,4384.62,4620.46,6084.66,7261.89,11246.49,6999.13,8155.34,9494.95
"9","Chile",827.72,562.26,349.16,1359.67732262687,1361.66275660299,1198.05,1393.18,1753.95,1387.43,1919.81,2406.06
"10","China",30835.87,25039.98,26782.49,26559.18,25601.48,27768.42,26439.99,33169.09,35469.77,34349.93,29259.3194837366
"11","Colombia",1530.25,1340.07991664121,1422.32070622091,1437.67259893013,2136.3130790034,1617.40665699736,1798.51884482603,1649.22995473718,1730.67,1728.93849198039,2300.93454992426
"12","Corea del Sur",6371.93,9223.88,5169.31,5395.61,5674.92,6650.67,6840.63,6253.44,5101.38,5537.08,6923.09
"13","Costa Rica",233.06,249.11,266.97,169.1,252.535352393335,144.29,305.32,304.88,261.422858548086,271.098962311788,279.756486149216
"14","Dinamarca",1324.04,969.22,850.83,955.26,1146.24,1237.09,1679.19,1888.39,1554.37,1265.47,1216.06
"15","El Salvador",163.11,76.8,23.31,124.57,95,137.93,337.29,198.56,1193.25,460.763451404136,154.52
"16","España",7313.39,5241.75,5103.37,5820.8,6893.53,7133.73,7928.79,7007.4,5425.76,5271.09,5258.38
"17","EUA",71974,61442,60522,62715,70760,79884,79717,80651,67262,70149,69744.5708295637
"18","Finlandia",811.61,730.19,868.312968640559,806.094812675768,829.810742010621,557.21,597.81,639.39,805.56,834.44,931.85
"19","Francia",6405.36,5471.7,7912.83315094107,6783.95,7888.06,8801.76,8410.96,9559.3,8193.06,8621.19,9702.36
"20","Grecia",1514.29,1290.57,1266.29,1343.21,901.25,1010.04,1772.6,2007.32,1870.83,1417.22,1325.45
"21","Guatemala",449.274618206148,523.565311550932,514.244921378136,494.286197011174,283.640007748324,344.079119479326,371.390560083377,444.72372893573,436.542506450078,502.349574451564,488.228405619033
"22","Holanda",2633.04,2563.6104288792,2665.24951740528,2490.47569149782,2594.98090417619,2572.62754127759,2235.89,2892.83,2339.17,2481.72,3018.47953671091
