"","Region","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"1","Alemania",762178,796129,844881,937143,1023858,1084821,1126699,1154472,1080553,1086415,987623.520596222
"2","Argentina",124493,113178,91657,90518,81298,74162,79465,74649,74546,100398,215524.389959603
"3","Australia",388734,536867,529648,324939,342509,352909,353546,393363,403256,418400,407719.890010539
"4","Austria",133561,135516,128449,137049,141968,149512,151070,150738,138942,183898,168792.738448608
"5","Bélgica",178331,133682,132779,154218,151939,158016,173818,179019,249997,142726,201082.729113799
"6","Bolivia",20007,20560,28901,25764,25644,21978,24089,21088,19011,35589,30485.0177156373
"7","Brasil",654106,627878,486777,486025,514700,560838,649738,647753,752225,884755,600697.91266211
"8","Canadá",982013,263906,1036092,988755,1018480,1042100,1188947,1200361,1198381,1235444,1043231.02808786
"9","Chile",82942,78187,82789,86140,93003,94770,101008,108565,97473,108840,106462.030582027
"10","China",840911,932064,946354,1209900,1349269,1542564,1753550,1853088,2140124,2390793,1699476.11116582
"11","Colombia",190465,179994,171933,153204,162095,175006,185872,187382,196298,180228,191588.902256906
"12","Corea del Sur",228442,238649,240942,232077,221424,223735,243113,250260,256160,483006,284940.546441083
"13","Costa Rica",32270,32605,31219,33517,36045,36170,37284,36786,33285,49397,40536.7373198562
"14","Dinamarca",110492,97713,90641,99598,108888.464258921,112952.715730796,112205.505276481,112564.428964922,86015,114641.252228071,112399.944736239
"15","El Salvador",26059,19407,22063,23660,23964,24879,22465,21056,19339,19953,26467.1626218966
"16","España",517481,493019,518836,549963,586438,602978,657606,616893,547971,605568,536826.472860425
"17","EUA",8535240,8038761,7789108,9566226,9969599,9738983,9815504,9054478,9182363,8934001,8973028.84505374
"18","Finlandia",128881,108923,107026,109209,107108,114699,118686,114371,104740,183476,133315.108219479
"19","Francia",777756,734679,695865,682263,728081,805731,825471,827851,771675,751127,800350.4442892
"20","Grecia",125269,113247,114100,137676,130515,133226,137697,128287,112671,148219,139090.741344351
"21","Guatemala",54618.5740050905,61079.3908790808,59345.4953482488,54003.7188355429,33800.0878152155,43573.3821531802,39056.9592609365,47028.4353606804,45006.0355497271,56147.70823529,46305.1081548443
"22","Holanda",222539,250114,248246,254647,241084,250811,259827,262848,291713,242628,264663.317366699
"23","Hungría",31654,33290,40233,46837,47362,45781,51003,49795,45861,118034,75000.1855999409
"24","India",206690,231413,263870,302790,330484,453921,569033,592292,601977,629991,560577.243436329
"25","Irlanda",156277,177032,231296,261345,303697,350204,416205,483741,528098,683441,346912.644366736
"26","Israel",47648,49404,46334,34152,34104,36257,47038,45309,47856,54347,58372.2609399792
"27","Italia",393484,350552,385911,382317,445968,447749,431647,382590,382897,364329,462685.940030172
"28","Japón",640328,647953,639866,638430,651858,670252,656917,655495,641913,650310,663241.327486728
"29","Malasia",169840,189382,166716,170054,176152,163665,185052,176549,182002,240468,190742.800561554
"30","México",292208,278456,287017,330441,331225,317856,309633,266244,222356,186289,327844.462758329
"31","Nicaragua",39330.4583261601,36772.9584176832,31874.5668989166,33371.0570311911,37976.2180182127,29307.6337185689,34579.9223291697,24689.5315872038,24619.4888265666,35720.4533826569,32666.1205255274
"32","Noruega",306511,270045,248403,254045,241579.446541385,238604.007266318,245117.482114177,251288.97078834,240275.52526441,239394.193782512,205152.000342709
"33","Panamá",24867,21883,25702,27434,30392,33003,40645,46292,66236,81287,94430.0092656254
"34","Perú",44487,37482,36947,46917,60819,56072,61958,67840,65885,67941,98585.1151021153
"35","Polonia",71799,69842,73137,77690,78992,83451,89289,90031,83053,91085,179726.209781802
"36","Portugal",96049,112324,117404,127025,148604,119668,138093,159135,123551,170744,162773.268672602
"37","Reino Unido",925638,924944,891154,970036,1018118,1037032,1044883,1056206,1003893,1173434,986046.780491221
"38","Rep. Checa",44164,46574,52127,66134,75295,75439,75830,78377,78153,94367,81717.3212468479
"39","Rep. Dominicana",62332.3988918975,77970.3993844411,62502.1729362685,69474.4380910902,79771.3483788819,67412.8993420685,101313.145671185,71135.6541770166,102320.232644586,110337.927583235,68118
"40","Rusia",329935,345262,350963,398958,390824,421170,467670,522577,475261,673113,421367.661463988
"41","Sudáfrica",122561,116985,130938,133222,148146,146648,152550,156567,151292,210296,227632.980634685
"42","Suecia",297623,271259,257840,266754,258317,254042,263276.860482523,256284,235091,237422,263670.246589424
"43","Suiza",284899,242800,189121,144703,134839,125126,139124,158788,168280,220272,198982.754744497
"44","Tailandia",102414,97750,93576,128178,124347,126845,129703,125907,123541,122066,142623.318982283
"45","Turquía",111342,105996,104377,121815,145952,177088,197132,215275,271835,399853,250054.235320999
"46","Venezuela",223075,166807,110062,123232,135574,139671,140774,137900,123646,125485,142369.535064402
