"","Region","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"1","Alemania",3.6,2.7,2.2,1.9,1.9,2.6,3.8,4.1,1.4,1.1,1.4
"2","Argentina",16.2,39.3,10.2,2.6,3.8,6.4,8,11,11.6,9.2,10.7
"3","Australia",3.9,3.7,3.5,3.9,3.9,4.1,4.5,4.7,3.1,4.2,4.3
"4","Austria",3,2.6,2.1,1.9,2,2.7,3.8,4.3,1.9,1.1,1.5
"5","Bélgica",3.4,2.6,2.3,2,2,2.7,3.8,3.9,0.6,0.4,0.9
"6","Bolivia",20.1,20.6,17.7,14.5,16.6,11.9,12.9,13.9,12.4,9.9,10.9
"7","Brasil",17.9,19.1,22,15.4,17.6,13.9,10.6,11.7,9.3,8.9,11
"8","Canadá",2.3,0.8,1.1,0.8,0.8,1.8,2.1,1.5,0.1,0.2,0.5
"9","Chile",6.2,3.8,2.7,1.9,3.9,5.1,5.6,7.5,2,1.7,5.3
"10","China",2.3,2,2,2.3,2.3,2.5,4.1,2.3,2.3,2.8,3.5
"11","Colombia",12.4,8.9,7.8,7.8,7,6.3,8,9.7,6.2,3.7,4.3
"12","Corea del Sur",5.8,5,4.3,3.9,3.7,4.5,5.2,5.9,3.5,3.9,4.2
"13","Costa Rica",23.8,26.4,25.6,23.4,24.7,22.2,12.8,15.8,19.7,17.1,16.1
"14","Dinamarca",3.3,2.4,1.7,1.5,1.5,2.2,3.1,3.8,2.1,1,1.1
"15","El Salvador",14.2695029188658,9.41171209957376,7.78304937518226,17.8092829323893,13.3612826646552,11.937740476157,9.44321699920127,9.52656148909569,9.37573047084811,10.9730858737532,5.93856566371891
"16","España",3.1,2.5,2.1,2,2.1,2.8,3.9,4.6,2.5,2.4,2.6
"17","EUA",3.7,1.7,1.2,1.6,3.5,5.2,5.3,3,0.6,0.3,0.3
"18","Finlandia",3.5,2.7,2.2,1.9,2,2.8,3.9,4.5,1.7,1.1,1.6
"19","Francia",4.9,4.7,2.8,2.5,2.5,2.8,3.7,4.3,3.5,2.8,2.8
"20","Grecia",3.3,2.7,2.4,2.2,2.1,2.9,4,4.8,2.6,3,3.9
"21","Guatemala",19,16.9,15,13.8,13,12.8,12.8,13.4,13.8,13.3,13.4
"22","Holanda",3.1,2.8,2.6,2.3,2.2,2.9,3.9,4.4,2.8,1,1.4
"23","Hungría",9,7.3,7.1,10.5,6.4,6.1,7.2,8.1,8.1,4.9,5.5
"24","India",8.5,6.9,5.4,5.4,5.9,7.3,8.5,9,7,7.7,9.3
"25","Irlanda",0.1,0.1,2.3,2,2.1,2.8,4,4.5,2.4,2.1,2.7
"26","Israel",6.2,6,6.7,3.6,3.2,4.3,3.5,3.3,1.1,1.6,2.5
"27","Italia",3.2,2.6,2,1.5,1.5,1.6,2.2,2.8,2,1.3,2
"28","Japón",0.1,0,0,0.1,0.1,0.4,0.6,0.6,0.4,0.3,0.3
"29","Malasia",3.2,3.2,3,3,3,3.2,3.2,3,2,2.7,3
"30","México",6.2,3.8,3.1,2.7,3.5,3.3,3.2,3,2,1.2,1
"31","Nicaragua",18.6,18.3,15.5,13.5,12.1,11.6,13,13.2,14,13.3,10.5
"32","Noruega",6.4,6.5,2.1,1.5,1.8,2.5,4.9,5.5,2.3,2.3,2.5
"33","Panamá",11,10.6,9.9,8.8,8.7,8.4,8.3,8.2,8.2,7.7,6.9
"34","Perú",7.6,3.6,3.1,2.4,2.6,3.2,3.2,3.5,2.8,1.5,2.3
"35","Polonia",11.8,6.2,3.7,3.8,4.1,3.1,3.4,4.7,5.1,4.1,4.2
"36","Portugal",3.8,3,2.4,2.2,2.2,2.9,4.1,4.6,2.1,1.9,3.8
"37","Reino Unido",5.1,3.9,3.5,3.8,4.2,4.2,4.9,4.9,2.8,2.6,2.7
"38","Rep. Checa",2.9,2,1.3,1.3,1.2,1.2,1.3,1.6,1.3,1.1,1
"39","Rep. Dominicana",24.3,26.1,31.4,32.6,24.1,19.5,15.8,19.9,18.1,12.1,15.6
"40","Rusia",4.9,5,4.5,3.8,4,4.1,5.1,5.8,8.6,6,4.4
"41","Sudáfrica",9.4,10.8,9.8,6.6,6,7.1,9.2,11.6,8.5,6.5,5.7
"42","Suecia",2.1,2.3,1.5,1,0.8,1.9,2.8,1.7,0.3,1,1.6
"43","Suiza",2.5,0.9,0.2,0.1,0.3,1,1.9,1.8,0.1,0.1,0.1
"44","Tailandia",2.5,2,1.3,1,1.9,4.4,2.9,2.5,1,1,2.3
"45","Turquía",74.7,50.5,37.7,24.3,20.4,21.6,22.6,22.9,17.6,15.3,14.2
"46","Venezuela",15.5,29,17.2,12.6,11.6,10.3,10.7,16.2,16.4,14.8,14.6
