"","Region","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"1","Alemania",762178,796129,844881,937143,1023858,1084821,1126699,1154472,1080553,1086415,1242912.93832665
"2","Argentina",124493,113178,91657,90518,81298,74162,79465,74649,74546,100398,10016.5695075786
"3","Australia",388734,536867,529648,324939,342509,352909,353546,393363,403256,418400,329243.534490106
"4","Austria",133561,135516,128449,137049,141968,149512,151070,150738,138942,183898,85860.9870650541
"5","Bélgica",178331,133682,132779,154218,151939,158016,173818,179019,249997,142726,181768.809419405
"6","Bolivia",20007,20560,28901,25764,25644,21978,24089,21088,19011,35589,48062.3983314922
"7","Brasil",654106,627878,486777,486025,514700,560838,649738,647753,752225,884755,806443.34451803
"8","Canadá",982013,263906,1036092,988755,1018480,1042100,1188947,1200361,1198381,1235444,1292279.22527568
"9","Chile",82942,78187,82789,86140,93003,94770,101008,108565,97473,108840,100438.415319546
"10","China",840911,932064,946354,1209900,1349269,1542564,1753550,1853088,2140124,2390793,3105236.74558406
"11","Colombia",190465,179994,171933,153204,162095,175006,185872,187382,196298,180228,171708.81350981
"12","Corea del Sur",228442,238649,240942,232077,221424,223735,243113,250260,256160,483006,502351.399705159
"13","Costa Rica",32270,32605,31219,33517,36045,36170,37284,36786,33285,49397,58944.7409565578
"14","Dinamarca",110492,97713,90641,99598,132898.535328316,29909.7114256999,132059.614150535,92281.8931481138,86015,-3465.22081844677,159451.92955652
"15","El Salvador",26059,19407,22063,23660,23964,24879,22465,21056,19339,19953,79539.9367968162
"16","España",517481,493019,518836,549963,586438,602978,657606,616893,547971,605568,526320.683520029
"17","EUA",8535240,8038761,7789108,9566226,9969599,9738983,9815504,9054478,9182363,8934001,9340524.66546426
"18","Finlandia",128881,108923,107026,109209,107108,114699,118686,114371,104740,183476,154418.982295469
"19","Francia",777756,734679,695865,682263,728081,805731,825471,827851,771675,751127,884795.704652947
"20","Grecia",125269,113247,114100,137676,130515,133226,137697,128287,112671,148219,251256.531159196
"21","Guatemala",529675.432355876,458759.50462879,467207.704133085,459116.926778226,512669.158341761,567700.411512009,322216.648241316,451359.268440663,402406.448897521,512858.166321451,345936.455882721
"22","Holanda",222539,250114,248246,254647,241084,250811,259827,262848,291713,242628,264385.514987341
"23","Hungría",31654,33290,40233,46837,47362,45781,51003,49795,45861,118034,257628.17723487
"24","India",206690,231413,263870,302790,330484,453921,569033,592292,601977,629991,510306.39341346
"25","Irlanda",156277,177032,231296,261345,303697,350204,416205,483741,528098,683441,742338.639385269
"26","Israel",47648,49404,46334,34152,34104,36257,47038,45309,47856,54347,78075.0112215511
"27","Italia",393484,350552,385911,382317,445968,447749,431647,382590,382897,364329,515579.552625466
"28","Japón",640328,647953,639866,638430,651858,670252,656917,655495,641913,650310,462968.641135747
"29","Malasia",169840,189382,166716,170054,176152,163665,185052,176549,182002,240468,192299.020760146
"30","México",292208,278456,287017,330441,331225,317856,309633,266244,222356,186289,238082.638072686
"31","Nicaragua",1838924.4246196,1820157.03227598,1834298.71502475,1919742.68620873,1979775.65500469,1915980.21731144,2006429.37287441,1787442.39658038,2035988.17355309,1844424.53391053,2018569.80880059
"32","Noruega",306511,270045,248403,254045,217220.80179023,216468.574624746,239295.32103395,298507.135865744,160282.581950034,261523.818892155,229938.149239566
"33","Panamá",24867,21883,25702,27434,30392,33003,40645,46292,66236,81287,-72992.8630214032
"34","Perú",44487,37482,36947,46917,60819,56072,61958,67840,65885,67941,94318.9579672179
"35","Polonia",71799,69842,73137,77690,78992,83451,89289,90031,83053,91085,5184.85250657451
"36","Portugal",96049,112324,117404,127025,148604,119668,138093,159135,123551,170744,24823.3397622534
"37","Reino Unido",925638,924944,891154,970036,1018118,1037032,1044883,1056206,1003893,1173434,1351520.51622268
"38","Rep. Checa",44164,46574,52127,66134,75295,75439,75830,78377,78153,94367,107466.358059018
"39","Rep. Dominicana",321433.516297561,519539.650050075,314327.389810553,336553.52803921,442155.242080973,377127.154085159,395830.97027898,482249.341866602,451710.749027728,422923.100432348,68118
"40","Rusia",329935,345262,350963,398958,390824,421170,467670,522577,475261,673113,750836.062686615
"41","Sudáfrica",122561,116985,130938,133222,148146,146648,152550,156567,151292,210296,195161.147673455
"42","Suecia",297623,271259,257840,266754,258317,254042,424756.47356676,256284,235091,237422,393930.67352157
"43","Suiza",284899,242800,189121,144703,134839,125126,139124,158788,168280,220272,422646.789327428
"44","Tailandia",102414,97750,93576,128178,124347,126845,129703,125907,123541,122066,145407.964049193
"45","Turquía",111342,105996,104377,121815,145952,177088,197132,215275,271835,399853,564163.400934659
"46","Venezuela",223075,166807,110062,123232,135574,139671,140774,137900,123646,125485,217758.422620871
