Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Alemania,0.33,0.32,0.30,0.29,0.27,0.28,0.27,0.27,0.28,0.27,0.26
Argentina,0.65,0.68,0.71,0.75,0.77,0.75,0.74,0.73,0.71,0.70,0.69
Australia,0.31,0.31,0.31,0.32,0.31,0.29,0.28,0.26,0.25,0.24,0.23
Austria,0.27,0.27,0.27,0.25,0.26,0.26,0.25,0.24,0.25,0.24,0.23
Bélgica,0.30,0.30,0.29,0.29,0.28,0.27,0.25,0.25,0.25,0.25,0.24
Bolivia,0.73,0.75,0.78,0.80,0.83,0.82,0.82,0.81,0.80,0.80,0.79
Brasil,0.58,0.60,0.61,0.64,0.64,0.60,0.59,0.58,0.56,0.54,0.53
Canadá,0.38,0.37,0.35,0.36,0.33,0.34,0.33,0.32,0.29,0.28,0.27
Chile,0.60,0.61,0.63,0.64,0.66,0.68,0.66,0.67,0.64,0.62,0.61
China,0.98,0.95,0.92,0.90,0.86,0.82,0.82,0.80,0.79,0.78,0.77
Colombia,0.49,0.51,0.53,0.55,0.57,0.59,0.58,0.56,0.55,0.54,0.53
Corea del Sur,0.50,0.49,0.48,0.46,0.46,0.45,0.43,0.43,0.41,0.40,0.40
Costa Rica,0.70,0.69,0.68,0.67,0.66,0.64,0.61,0.60,0.59,0.58,0.58
Dinamarca,0.25,0.26,0.26,0.27,0.27,0.25,0.25,0.25,0.26,0.26,0.24
El Salvador,0.77,0.78,0.79,0.80,0.81,0.82,0.81,0.80,0.80,0.80,0.80
España,0.41,0.42,0.44,0.43,0.46,0.46,0.43,0.42,0.42,0.43,0.44
EUA,0.23,0.22,0.22,0.21,0.21,0.21,0.20,0.20,0.20,0.20,0.19
Finlandia,0.36,0.34,0.31,0.29,0.26,0.27,0.25,0.26,0.25,0.25,0.25
Francia,0.43,0.44,0.45,0.45,0.47,0.45,0.42,0.41,0.40,0.39,0.37
Grecia,0.62,0.62,0.63,0.62,0.64,0.61,0.58,0.57,0.58,0.59,0.61
Guatemala,0.73,0.75,0.77,0.78,0.81,0.81,0.80,0.81,0.80,0.80,0.79
Holanda,0.36,0.34,0.33,0.30,0.30,0.29,0.28,0.28,0.28,0.28,0.27
Hungría,0.43,0.43,0.42,0.44,0.42,0.42,0.42,0.42,0.41,0.41,0.41
India,0.75,0.74,0.73,0.74,0.72,0.71,0.69,0.68,0.65,0.64,0.63
Irlanda,0.45,0.43,0.41,0.38,0.37,0.36,0.34,0.34,0.35,0.35,0.34
Israel,0.38,0.36,0.35,0.33,0.32,0.32,0.32,0.32,0.33,0.31,0.31
Italia,0.45,0.47,0.49,0.50,0.53,0.51,0.49,0.48,0.49,0.49,0.48
Japón,0.30,0.29,0.29,0.28,0.28,0.25,0.23,0.21,0.21,0.20,0.21
Malasia,0.66,0.64,0.63,0.61,0.60,0.60,0.59,0.59,0.58,0.56,0.55
México,0.61,0.62,0.63,0.65,0.65,0.63,0.61,0.59,0.60,0.58,0.57
Nicaragua,0.78,0.79,0.79,0.80,0.80,0.80,0.80,0.79,0.79,0.79,0.79
Noruega,0.34,0.33,0.32,0.31,0.30,0.29,0.29,0.28,0.29,0.29,0.27
Panamá,0.67,0.68,0.69,0.70,0.71,0.74,0.74,0.73,0.73,0.72,0.72
Perú,0.64,0.66,0.68,0.73,0.73,0.71,0.71,0.71,0.70,0.68,0.67
Polonia,0.59,0.59,0.59,0.58,0.59,0.57,0.57,0.56,0.54,0.54,0.53
Portugal,0.38,0.39,0.41,0.40,0.43,0.43,0.43,0.42,0.40,0.40,0.40
Reino Unido,0.31,0.30,0.29,0.27,0.27,0.27,0.23,0.27,0.27,0.27,0.26
Rep. Checa,0.40,0.40,0.40,0.41,0.40,0.39,0.39,0.38,0.37,0.36,0.35
Rep. Dominicana,0.75,0.76,0.76,0.77,0.77,0.79,0.79,0.79,0.77,0.76,0.76
Rusia,0.92,0.90,0.87,0.87,0.83,0.80,0.73,0.68,0.67,0.65,0.63
Sudáfrica,0.36,0.36,0.36,0.37,0.36,0.35,0.34,0.35,0.35,0.35,0.35
Suecia,0.27,0.27,0.27,0.26,0.27,0.26,0.25,0.25,0.25,0.25,0.24
Suiza,0.35,0.33,0.31,0.28,0.27,0.26,0.25,0.25,0.25,0.26,0.25
Tailandia,0.80,0.80,0.80,0.79,0.80,0.80,0.78,0.76,0.75,0.73,0.72
Turquía,0.67,0.67,0.66,0.66,0.65,0.64,0.65,0.64,0.63,0.62,0.62
Venezuela,0.63,0.68,0.72,0.79,0.82,0.86,0.87,0.86,0.87,0.88,0.88
