Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Alemania,403,403,403,403,403,394,394,394,394,394,394
Argentina,590,590,590,590,590,590,590,590,590,590,590
Australia,262,262,395,395,395,395,395,395,395,395,395
Austria,397,397,397,397,397,397,397,397,397,397,397
Bélgica,505,505,505,505,505,505,505,505,505,505,505
Bolivia,591,591,591,591,591,591,591,591,591,591,591
Brasil,636,636,636,751,751,731,731,731,731,731,731
Canadá,570,570,570,570,570,570,570,570,570,570,570
Chile,480,480,480,480,480,480,480,480,480,480,480
China,406,406,406,406,406,406,406,406,406,406,406
Colombia,1510,1510,1510,1510,1346,1346,1346,1346,1346,1346,1346
Corea del Sur,230,230,230,230,230,230,230,230,230,230,230
Costa Rica,877,877,877,877,877,877,877,877,877,852,852
Dinamarca,380,380,380,380,380,380,380,380,380,380,410
El Salvador,786,786,786,786,786,786,786,786,786,786,786
España,515,515,515,515,515,515,515,515,515,515,515
EUA,300,300,300,300,300,300,300,300,300,300,300
Finlandia,277,277,277,277,235,235,235,235,235,375,375
Francia,331,331,331,390,390,390,390,390,390,390,390
Grecia,819,819,819,819,819,819,819,819,819,819,819
Guatemala,1459,1459,1459,1459,1459,1459,1459,1459,1459,1459,1459
Holanda,514,514,514,514,514,514,514,514,514,514,514
Hungría,335,335,335,335,335,335,335,335,335,395,395
India,1440,1440,1440,1420,1420,1420,1420,1420,1420,1420,1420
Irlanda,515,515,515,515,515,515,515,515,515,515,515
Israel,890,890,890,890,890,890,890,890,890,890,890
Italia,1390,1390,1390,1390,1390,1390,1210,1210,1210,1210,1210
Japón,316,316,316,360,360,360,360,360,360,360,360
Malasia,600,600,600,600,600,600,600,600,600,585,585
México,415,415,415,415,415,415,415,415,415,415,415
Nicaragua,590,590,590,590,540,540,540,540,540,540,540
Noruega,310,310,310,310,310,310,310,310,310,280,280
Panamá,686,686,686,686,686,686,686,686,686,686,686
Perú,549,549,549,549,549,549,468,468,468,428,428
Polonia,1000,1000,1000,1000,1000,980,980,830,830,830,830
Portugal,577,577,577,577,577,577,577,577,577,547,547
Reino Unido,404,404,404,404,404,404,404,404,404,399,399
Rep. Checa,830,830,830,663,663,653,653,653,653,611,611
Rep. Dominicana,580,580,580,580,580,580,460,460,460,460,460
Rusia,281,281,281,281,281,281,281,281,281,281,281
Sudáfrica,600,600,600,600,600,600,600,600,600,600,600
Suecia,508,508,508,508,508,508,508,508,508,314,314
Suiza,417,417,417,417,417,417,417,417,417,417,417
Tailandia,479,479,479,479,479,479,479,479,479,479,479
Turquía,420,420,420,420,420,420,420,420,420,420,420
Venezuela,510,510,510,510,510,510,510,510,510,510,510
