Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Alemania,74,73,77,82,82,80,78,79,80,79,79
Argentina,35,28,25,25,28,29,29,29,29,29,35
Australia,85,86,88,88,88,87,86,87,87,87,85
Austria,78,78,80,84,87,86,81,81,79,79,69
Bélgica,66,71,76,75,74,73,71,73,71,71,75
Bolivia,20,22,23,22,25,27,29,30,27,28,34
Brasil,40,40,39,39,37,33,35,35,37,37,43
Canadá,89,90,87,85,84,85,87,87,87,89,84
Chile,75,75,74,74,73,73,70,69,67,72,72
China,35,35,34,34,32,33,35,36,36,35,39
Colombia,38,36,37,38,40,39,38,38,37,35,36
Corea del Sur,42,45,43,45,50,51,51,56,55,54,56
Costa Rica,45,45,43,49,42,41,50,51,53,53,54
Dinamarca,95,95,95,95,95,95,94,93,93,93,90
El Salvador,36,34,37,42,42,40,40,39,34,36,38
España,70,71,69,71,70,68,67,65,61,61,65
EUA,76,77,75,75,76,73,72,73,75,71,73
Finlandia,99,97,97,97,96,96,94,90,89,92,90
Francia,67,63,69,71,75,74,73,69,69,68,71
Grecia,42,42,43,43,43,44,46,47,38,35,36
Guatemala,29,25,24,22,25,26,28,31,34,32,33
Holanda,88,90,89,87,86,87,90,89,89,88,84
Hungría,53,49,48,48,50,52,53,51,51,47,55
India,27,27,28,28,29,33,35,34,34,33,36
Irlanda,75,69,75,75,74,74,75,77,80,80,69
Israel,76,73,70,64,63,59,61,60,61,61,60
Italia,55,52,53,48,50,49,52,48,43,39,42
Japón,71,71,70,69,73,76,75,73,77,78,74
Malasia,50,49,52,50,51,50,51,51,45,44,49
México,37,36,36,36,35,33,35,36,33,31,34
Nicaragua,24,25,26,27,26,26,26,25,25,25,29
Noruega,86,85,88,89,89,88,87,79,86,86,85
Panamá,37,30,34,37,35,31,32,34,34,36,38
Perú,41,40,37,35,35,33,35,36,37,35,38
Polonia,41,40,36,35,34,37,42,46,50,53,58
Portugal,63,63,66,63,65,66,65,61,58,60,63
Reino Unido,83,87,87,86,86,86,84,77,77,76,74
Rep. Checa,39,37,39,42,43,48,52,52,49,46,49
Rep. Dominicana,31,35,33,29,30,28,30,30,30,30,32
Rusia,23,27,27,28,24,25,23,21,22,21,28
Sudáfrica,48,48,44,46,45,46,51,49,47,45,43
Suecia,90,93,93,92,92,92,93,93,92,92,88
Suiza,84,85,88,91,91,91,90,90,90,87,86
Tailandia,32,32,33,36,38,36,33,35,34,35,37
Turquía,36,32,31,32,35,38,41,46,44,44,49
Venezuela,28,25,24,23,23,23,20,19,19,20,19
