Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Alemania,6.0,5.8,6.0,6.2,6.2,6.5,6.5,6.2,5.7,6.3,5.9
Argentina,4.5,3.9,3.4,3.6,4.2,4.0,4.4,4.6,3.7,4.2,3.5
Australia,5.9,6.2,6.6,6.0,5.9,5.9,6.1,6.3,5.3,6.2,6.4
Austria,6.5,6.4,6.1,5.9,6.2,6.5,6.6,6.6,6.1,6.7,6.4
Bélgica,5.7,5.6,5.5,5.7,5.9,5.8,6.1,6.2,5.8,6.4,6.3
Bolivia,4.7,4.0,4.6,4.3,4.7,4.4,4.8,4.4,3.7,4.2,4.0
Brasil,3.7,3.8,3.4,3.9,3.5,3.3,3.3,4.1,3.3,3.9,4.0
Canadá,5.3,5.6,5.4,5.4,5.4,5.6,5.6,5.9,5.5,5.8,5.7
Chile,6.2,5.7,5.7,5.8,5.9,6.2,6.1,6.2,4.5,5.8,5.6
China,4.3,4.6,4.3,4.5,4.5,3.8,4.2,4.9,5.4,5.2,4.9
Colombia,1.9,2.0,2.1,2.5,2.6,3.2,3.3,3.3,2.6,2.5,2.7
Corea del Sur,4.5,5.5,5.4,5.1,4.9,5.0,5.4,5.8,5.2,5.1,5.2
Costa Rica,4.4,4.7,4.5,5.0,4.1,4.8,5.0,5.2,3.9,4.7,4.1
Dinamarca,6.7,6.7,6.7,6.7,6.6,6.7,6.7,6.8,6.3,6.6,6.8
El Salvador,1.8,3.1,3.2,3.7,3.5,2.6,2.3,2.1,1.9,2.2,1.9
España,5.7,5.1,5.1,5.4,5.0,5.0,5.3,5.6,4.9,5.6,5.7
EUA,5.7,5.7,5.5,5.6,5.6,5.0,5.0,5.2,4.6,5.1,4.9
Finlandia,6.6,6.8,6.7,6.7,6.7,6.7,6.7,6.7,6.5,6.7,6.6
Francia,6.6,5.1,5.7,5.6,6.0,5.9,5.9,5.9,5.3,5.8,5.7
Grecia,5.5,5.5,5.8,5.9,5.8,6.2,6.2,6.0,4.9,5.6,5.5
Guatemala,1.9,2.1,2.1,2.3,2.0,2.8,2.9,2.7,1.9,2.2,2.0
Holanda,6.2,5.3,5.5,5.5,5.2,5.6,5.7,5.9,5.0,6.0,6.1
Hungría,5.0,5.6,5.1,5.0,5.1,5.2,5.5,5.6,5.2,5.3,5.4
India,4.7,4.8,5.1,5.0,5.3,5.4,5.1,5.2,5.2,5.3,5.0
Irlanda,5.7,5.5,5.3,5.8,5.7,5.7,6.0,6.3,5.5,6.6,6.5
Israel,6.4,6.6,6.4,6.0,5.6,5.6,5.8,5.7,5.7,5.6,5.4
Italia,4.3,3.4,3.7,3.4,3.3,3.0,3.6,3.6,4.4,3.7,3.5
Japón,5.1,4.4,4.8,5.3,5.3,5.4,5.1,4.9,4.9,5.3,5.6
Malasia,4.6,5.3,6.1,5.4,5.7,5.6,5.7,5.2,4.3,5.2,5.5
México,3.0,2.7,3.3,3.3,2.8,3.1,3.4,3.5,2.7,2.9,2.7
Nicaragua,4.1,4.4,4.4,4.8,4.8,4.6,5.1,5.1,4.0,4.4,4.4
Noruega,6.0,6.2,5.9,6.4,6.4,6.5,6.6,6.8,6.4,6.6,6.4
Panamá,3.6,4.9,4.4,5.0,4.1,4.8,5.0,5.2,4.4,4.5,4.5
Perú,3.6,4.3,3.9,3.8,4.0,3.6,3.9,4.5,3.7,4.4,4.1
Polonia,4.5,3.8,3.7,3.1,4.4,3.7,4.1,4.6,4.5,5.7,5.7
Portugal,6.1,6.3,6.3,6.4,6.5,6.4,6.5,6.5,5.7,6.2,6.2
Reino Unido,5.8,6.0,5.8,6.2,5.7,5.7,5.7,5.3,4.7,6.0,5.9
Rep. Checa,4.0,4.4,4.2,4.6,4.7,5.1,5.5,5.9,5.7,5.8,5.5
Rep. Dominicana,4.7,4.2,5.3,4.9,3.9,4.3,4.4,4.4,3.2,4.1,4.1
Rusia,3.0,2.9,3.3,3.5,3.5,3.8,4.0,4.3,4.8,4.3,4.0
Sudáfrica,2.5,3.9,3.5,3.8,3.5,3.8,3.9,3.6,1.7,4.3,4.2
Suecia,6.2,5.9,6.6,6.2,6.1,6.1,6.3,6.3,5.6,6.7,6.6
Suiza,6.4,6.2,6.4,6.4,6.2,6.4,6.4,6.4,6.1,6.5,6.4
Tailandia,4.9,5.3,5.5,4.8,5.1,4.8,5.1,5.4,4.9,5.2,5.2
Turquía,4.8,5.0,5.2,4.8,4.4,4.6,4.9,4.7,4.5,4.4,4.5
Venezuela,3.0,3.0,3.1,3.3,3.3,2.8,3.2,3.6,2.4,3.0,2.5
