Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Alemania,90,90,90,90,90,90,90,90,90,90,90
Argentina,50,50,30,30,30,30,30,30,20,20,20
Australia,90,90,90,90,90,90,90,90,90,90,90
Austria,90,90,90,90,90,90,90,90,90,90,90
Bélgica,90,90,90,90,90,90,80,80,80,80,80
Bolivia,50,30,30,30,30,30,30,25,20,10,10
Brasil,50,50,50,50,50,50,50,50,50,50,50
Canadá,90,90,90,90,90,90,90,90,90,90,90
Chile,90,90,90,90,90,90,90,90,90,85,90
China,30,30,30,30,30,30,20,20,20,20,20
Colombia,50,30,30,30,30,30,30,40,40,50,50
Corea del Sur,90,90,70,70,70,70,70,70,70,70,70
Costa Rica,50,50,50,50,50,50,50,50,50,55,55
Dinamarca,90,90,90,90,90,90,90,90,95,90,90
El Salvador,50,50,50,50,50,50,50,50,50,40,40
España,70,70,70,70,70,70,70,70,70,70,70
EUA,90,90,90,90,90,90,90,90,90,85,85
Finlandia,90,90,90,90,90,90,90,90,95,90,90
Francia,70,70,70,70,70,70,70,70,70,80,80
Grecia,70,50,50,50,50,50,50,50,50,50,50
Guatemala,50,30,30,30,30,30,30,30,30,35,30
Holanda,90,90,90,90,90,90,90,90,90,90,90
Hungría,70,70,70,70,70,70,70,70,70,65,70
India,50,50,50,50,50,50,50,50,50,50,50
Irlanda,90,90,90,90,90,90,90,90,90,90,90
Israel,70,70,70,70,70,70,70,70,70,70,70
Italia,70,70,70,70,70,50,50,50,50,50,50
Japón,90,70,70,70,70,70,70,70,70,80,80
Malasia,50,50,50,50,50,50,50,50,50,50,50
México,50,50,50,50,50,50,50,50,50,50,50
Nicaragua,30,30,30,30,30,30,30,25,25,20,15
Noruega,90,90,90,90,90,90,90,90,90,90,90
Panamá,50,30,30,30,30,30,30,30,30,40,40
Perú,50,30,30,30,30,30,40,40,40,40,40
Polonia,70,70,70,50,50,50,50,50,50,60,60
Portugal,70,70,70,70,70,70,70,70,70,70,70
Reino Unido,90,90,90,90,90,90,90,90,90,85,90
Rep. Checa,70,70,70,70,70,70,70,70,70,65,70
Rep. Dominicana,30,30,30,30,30,30,30,30,30,30,30
Rusia,50,30,30,30,30,30,30,30,25,25,25
Sudáfrica,50,50,50,50,50,50,50,50,50,50,50
Suecia,90,90,90,90,90,90,90,90,90,90,90
Suiza,90,90,90,90,90,90,90,90,90,90,90
Tailandia,70,70,70,50,50,50,50,50,50,45,45
Turquía,70,50,50,50,50,50,50,50,50,50,50
Venezuela,30,30,30,30,30,30,30,10,5,5,5
