Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Alemania,8.4,8.3,8.7,8.2,9.0,8.8,8.4,6.9,7.1,6.6,6.5
Argentina,1.4,1.7,2.0,2.6,2.6,2.3,2.1,2.2,2.4,2.6,2.8
Australia,8.5,8.2,7.7,7.6,8.3,8.2,7.9,6.8,7.0,6.6,6.5
Austria,7.9,8.0,8.3,7.8,8.6,8.4,8.2,7.2,7.0,6.5,6.4
Bélgica,6.6,6.2,6.2,6.0,6.3,6.2,6.1,4.9,5.1,5.2,5.1
Bolivia,2.1,1.8,2.0,2.4,2.5,2.3,1.7,2.0,2.3,3.2,3.3
Brasil,4.6,4.8,4.7,3.6,3.4,3.1,3.3,3.7,4.1,4.3,4.3
Canadá,8.0,6.5,7.3,6.9,7.4,7.6,7.8,6.7,6.8,7.1,7.0
Chile,5.4,5.7,6.2,5.6,6.0,6.3,6.3,6.1,6.2,6.2,6.3
China,5.7,4.8,4.5,4.3,4.0,4.3,4.9,5.0,5.2,5.2,5.2
Colombia,4.0,4.2,3.8,4.2,4.6,4.5,4.5,4.0,4.0,3.9,3.9
Corea del Sur,5.5,5.2,4.5,5.3,5.3,6.6,5.9,4.4,3.9,3.7,3.6
Costa Rica,5.5,4.8,5.3,5.5,6.5,6.0,5.3,5.1,5.2,4.7,4.7
Dinamarca,8.6,8.7,9.2,8.9,9.3,9.1,8.8,7.6,7.1,7.2,7.1
El Salvador,3.9,4.0,3.5,3.5,3.4,3.4,3.4,3.9,3.5,3.1,3.1
España,5.3,5.0,5.0,5.3,5.3,5.3,5.6,4.4,4.4,4.4,4.4
EUA,8.0,7.7,7.2,7.4,6.8,6.5,6.5,5.8,5.7,5.6,5.4
Finlandia,8.7,8.8,8.7,8.1,8.6,8.5,8.3,7.0,7.5,7.9,7.8
Francia,5.8,6.5,6.8,6.9,6.8,7.1,7.4,6.3,6.5,6.4,6.4
Grecia,5.0,5.2,5.3,4.8,5.4,5.1,4.2,3.7,3.6,3.0,2.8
Guatemala,1.9,2.0,2.2,2.1,3.8,3.4,3.3,3.5,3.4,3.1,3.3
Holanda,8.2,8.3,8.3,8.2,8.9,8.4,7.9,7.1,7.2,7.3,7.2
Hungría,5.3,5.2,4.8,4.7,5.4,4.7,3.8,3.3,3.4,3.4,3.3
India,5.9,5.7,5.8,6.2,6.9,6.3,5.7,5.9,5.2,4.7,4.6
Irlanda,7.2,6.3,6.7,7.7,7.1,7.1,7.0,6.0,5.9,5.8,5.7
Israel,8.5,8.0,6.3,6.6,7.1,6.6,5.2,5.6,5.3,5.2,4.9
Italia,4.6,5.3,3.7,3.6,3.7,3.3,3.0,2.6,2.8,2.7,2.6
Japón,5.3,4.8,6.3,6.4,7.3,7.7,7.2,5.7,5.9,5.9,6.0
Malasia,6.4,7.2,6.7,7.5,7.3,7.3,7.0,5.5,5.9,6.6,6.6
México,3.4,4.0,3.3,4.1,3.8,3.4,3.1,3.7,3.7,3.7,3.8
Nicaragua,2.2,1.8,1.5,1.4,1.9,2.0,2.0,2.8,2.4,2.3,2.3
Noruega,7.2,7.2,8.8,7.7,8.8,8.4,8.3,7.4,7.5,7.3,7.4
Panamá,3.2,2.7,2.7,3.2,3.1,3.2,3.4,3.8,3.8,4.1,4.2
Perú,3.0,2.3,2.3,2.3,2.6,2.3,3.0,3.4,3.4,3.5,3.5
Polonia,3.8,3.8,3.0,3.9,4.4,3.5,3.1,3.0,3.5,3.7,3.7
Portugal,5.4,5.5,5.2,5.1,5.3,4.9,4.4,3.3,3.1,2.9,2.7
Reino Unido,8.5,8.3,8.8,7.8,8.4,8.0,7.2,7.0,7.0,6.8,6.6
Rep. Checa,3.8,3.8,3.7,4.4,4.1,3.9,3.7,4.1,3.7,3.2,3.1
Rep. Dominicana,3.3,4.0,3.2,2.4,3.8,3.2,2.7,3.5,3.5,3.4,3.4
Rusia,2.6,2.5,3.0,2.7,2.8,3.1,3.2,3.0,3.1,2.9,2.9
Sudáfrica,7.3,7.0,7.3,7.4,7.6,7.4,7.0,6.5,6.5,6.5,6.4
Suecia,7.9,7.8,9.0,7.2,8.7,8.5,8.3,8.3,8.3,8.0,8.0
Suiza,8.4,8.3,8.5,8.2,8.6,8.6,8.4,7.1,7.3,7.5,7.4
Tailandia,4.9,5.8,5.8,5.6,5.9,5.7,5.2,5.1,5.1,4.9,4.9
Turquía,2.8,3.5,3.8,3.9,4.7,4.5,3.8,4.0,4.2,4.4,4.6
Venezuela,0.9,0.5,0.7,1.1,0.9,0.9,0.8,1.3,1.2,1.2,1.3
