Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Alemania,4,4,4,4,4,4,4,4,4,4,4
Argentina,3,3,3,3,3,3,3,3,3,3,3
Australia,5,5,5,5,5,5,5,5,5,5,5
Austria,4,4,4,4,4,4,4,4,4,4,4
Bélgica,4,4,4,4,4,4,4,4,4,4,4
Bolivia,4,4,4,3,3,3,4,4,4,3,4
Brasil,4,4,4,4,4,4,4,4,4,4,4
Canadá,4,4,4,4,4,4,4,4,4,4,4
Chile,5,5,5,5,5,5,5,5,5,5,5
China,3,3,3,3,3,3,3,3,3,3,3
Colombia,4,4,4,4,4,4,4,4,4,4,4
Corea del Sur,4,4,4,4,4,4,4,4,4,4,4
Costa Rica,4,3,4,4,4,4,4,4,4,4,4
Dinamarca,4,4,4,4,4,4,4,4,4,4,4
El Salvador,4,4,3,3,3,3,3,3,3,3,3
España,4,4,4,4,4,4,4,4,4,4,4
EUA,5,5,5,5,5,5,5,5,5,5,5
Finlandia,4,4,4,4,4,5,5,5,5,5,5
Francia,4,4,4,4,4,4,4,4,4,4,4
Grecia,4,4,4,4,4,4,4,4,4,4,4
Guatemala,4,4,4,4,4,3,3,3,3,3,3
Holanda,4,4,4,4,4,4,4,4,4,4,4
Hungría,4,4,4,4,4,4,4,4,4,4,4
India,3,3,3,3,3,3,3,3,3,3,3
Irlanda,4,4,4,4,4,4,4,4,4,4,4
Israel,4,4,4,4,4,4,4,4,3,3,3
Italia,4,4,4,4,4,4,4,4,4,3,3
Japón,4,4,4,4,4,4,4,4,4,4,4
Malasia,3,3,3,3,3,3,3,3,3,3,3
México,3,3,3,3,3,3,3,3,3,3,3
Nicaragua,3,3,3,3,4,4,4,4,3,3,3
Noruega,4,4,4,4,4,4,4,4,4,4,4
Panamá,4,4,3,4,4,3,4,4,3,3,3
Perú,3,3,3,3,3,3,3,3,3,3,3
Polonia,4,4,4,4,4,4,4,4,4,4,4
Portugal,4,4,4,4,4,4,4,4,4,4,4
Reino Unido,5,5,5,5,5,5,5,5,5,5,5
Rep. Checa,4,4,4,4,4,4,4,4,4,4,4
Rep. Dominicana,4,4,4,4,4,4,4,4,4,4,4
Rusia,2,2,2,2,2,2,2,2,2,2,2
Sudáfrica,2,2,2,2,2,2,2,2,2,2,2
Suecia,5,5,5,4,4,4,4,4,4,4,4
Suiza,4,4,4,4,4,4,4,4,4,4,4
Tailandia,3,3,3,3,3,3,3,4,4,4,4
Turquía,4,4,4,4,4,4,4,4,4,4,4
Venezuela,3,3,3,3,3,3,3,3,3,3,3
