Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Alemania,2,1,1,1,1,1,1,1,1,1,1
Argentina,3,3,2,2,2,2,2,2,2,2,2
Australia,1,1,1,1,1,1,1,1,1,1,1
Austria,1,1,1,1,1,1,1,1,1,1,1
Bélgica,2,1,1,1,1,1,1,1,1,1,1
Bolivia,3,3,3,3,3,3,3,3,3,3,3
Brasil,3,3,3,3,2,2,2,2,2,2,2
Canadá,1,1,1,1,1,1,1,1,1,1,1
Chile,2,1,1,1,1,1,1,1,1,1,1
China,6,6,6,6,6,6,6,6,6,6,6
Colombia,4,4,4,4,3,3,3,4,4,4,4
Corea del Sur,2,2,2,2,2,2,2,2,2,2,2
Costa Rica,2,2,2,1,1,1,1,1,1,1,1
Dinamarca,1,1,1,1,1,1,1,1,1,1,1
El Salvador,3,3,3,3,3,3,3,3,3,3,3
España,2,1,1,1,1,1,1,1,1,1,1
EUA,1,1,1,1,1,1,1,1,1,1,1
Finlandia,1,1,1,1,1,1,1,1,1,1,1
Francia,2,1,1,1,1,1,1,1,1,1,1
Grecia,3,2,2,2,2,2,2,2,2,2,2
Guatemala,4,4,4,4,4,4,4,4,4,4,4
Holanda,1,1,1,1,1,1,1,1,1,1,1
Hungría,2,2,2,1,1,1,1,1,1,1,2
India,3,3,3,3,3,3,3,3,3,3,3
Irlanda,1,1,1,1,1,1,1,1,1,1,1
Israel,3,3,3,3,2,2,2,2,2,2,2
Italia,2,1,1,1,1,1,1,2,2,2,1
Japón,2,2,2,2,2,2,2,2,2,2,2
Malasia,5,5,4,4,4,4,4,4,4,4,4
México,3,2,2,2,2,3,3,3,3,3,3
Nicaragua,3,3,3,3,3,3,3,3,4,4,4
Noruega,1,1,1,1,1,1,1,1,1,1,1
Panamá,2,2,2,2,2,2,2,2,2,2,2
Perú,3,3,3,3,3,3,3,3,3,3,3
Polonia,2,2,2,1,1,1,1,1,1,1,1
Portugal,1,1,1,1,1,1,1,1,1,1,1
Reino Unido,2,1,1,1,1,1,1,1,1,1,1
Rep. Checa,2,2,2,1,1,1,1,1,1,1,1
Rep. Dominicana,2,2,2,2,2,2,2,2,2,2,2
Rusia,5,5,5,5,5,5,5,5,5,5,5
Sudáfrica,2,2,2,2,2,2,2,2,2,2,2
Suecia,1,1,1,1,1,1,1,1,1,1,1
Suiza,1,1,1,1,1,1,1,1,1,1,1
Tailandia,3,3,3,3,3,4,4,4,4,4,4
Turquía,5,4,4,3,3,3,3,3,3,3,3
Venezuela,5,4,4,4,4,4,4,4,4,5,5
