Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Alemania,8,8,8,8,8,8,8,7,7,7,7
Argentina,4,4,4,4,4,4,4,4,4,4,4
Australia,9,9,9,9,9,9,9,9,9,9,9
Austria,7,7,7,7,7,7,7,7,7,7,7
Bélgica,6,6,6,6,6,6,6,6,6,6,6
Bolivia,1,1,1,1,1,1,1,1,1,1,1
Brasil,3,3,3,3,3,3,3,3,3,3,3
Canadá,7,7,7,7,7,7,7,7,7,7,7
Chile,4,4,4,4,4,4,4,4,4,4,6
China,4,4,4,4,4,4,5,6,6,6,6
Colombia,5,5,5,5,5,5,5,5,5,5,5
Corea del Sur,8,8,8,8,8,8,8,8,8,8,8
Costa Rica,3,3,3,3,3,3,3,3,3,3,3
Dinamarca,8,8,8,8,8,9,9,9,9,9,9
El Salvador,5,5,5,5,5,5,5,5,5,5,5
España,6,6,6,6,6,6,6,6,6,6,6
EUA,9,9,9,9,9,9,9,9,9,9,9
Finlandia,8,8,8,8,8,8,8,8,8,8,8
Francia,4,4,4,4,4,6,7,7,7,7,7
Grecia,4,4,4,4,4,4,4,4,4,4,4
Guatemala,3,3,3,3,3,3,3,7,8,8,8
Holanda,6,6,6,6,6,6,6,6,6,6,6
Hungría,7,7,7,7,7,7,7,7,7,7,7
India,6,6,6,6,6,7,8,8,8,8,8
Irlanda,9,9,9,9,9,9,9,9,9,9,9
Israel,9,9,9,9,9,9,9,9,9,9,9
Italia,3,3,3,3,3,3,3,3,3,3,3
Japón,6,6,6,6,7,7,7,7,7,7,7
Malasia,10,10,10,10,10,10,10,10,10,10,10
México,5,5,5,5,5,5,5,5,5,5,6
Nicaragua,3,3,3,3,3,3,3,3,3,3,3
Noruega,6,6,6,6,6,6,6,6,6,6,6
Panamá,5,5,5,5,5,5,5,5,5,5,5
Perú,3,3,3,3,3,7,7,7,7,7,7
Polonia,8,8,8,8,8,8,8,8,9,9,9
Portugal,3,3,3,3,3,3,3,3,3,3,3
Reino Unido,10,10,10,10,10,10,10,10,10,10,10
Rep. Checa,7,7,7,7,7,7,7,6,6,6,6
Rep. Dominicana,3,3,3,3,3,3,3,3,3,3,3
Rusia,3,3,3,3,3,3,3,3,3,3,3
Sudáfrica,10,10,10,10,10,10,10,10,10,10,10
Suecia,6,6,6,6,7,7,7,7,8,8,8
Suiza,8,8,8,8,8,8,8,8,8,8,8
Tailandia,5,5,5,5,5,5,5,5,5,5,5
Turquía,4,4,4,4,4,4,4,4,4,4,4
Venezuela,1,1,1,1,1,1,1,1,1,1,1
