Region	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011
Alemania	2180262	2749856	3326742	3775700	3578198	4219206	5115536	5125663	5114139	5221167	5338151
Argentina	170958	167953	165000	171115	113805	108763	123989	124362	116415	128913	140654
Australia	326524	369886	419006	506062	532343	639634	820413	799838	1035746	1168982	1287036
Austria	353521	380160	408806	492980	510795	646036	801400	832753	831601	822045	786102
Bélgica	680696	727619	777777	961460	984755	1155691	1535057	1613417	1484072	1356699	1417143
Bolivia	6861	6970	7734	7562	7666	6278	5403	5930	5801	5875	5936
Brasil	208777	221696	235414	220182	187987	199372	240495	262910	277563	351941	404117
Canadá	480580	521908	579614	605532	633907	696612	831729	839608	997474	1106998	1190897
Chile	35759	39212	42999	43211	45629	48303	53419	63720	71931	84142	98579
China	183761	184874	206183	245543	282955	322761	373083	379800	432197	548551	611946
Colombia	32653	35256	38066	39455	38555	40154	44553	46374	53719	64738	75903
Corea del Sur	121346	132757	141650	150625	161413	225200	333428	317370	345677	359757	398724
Costa Rica	2973	3340	3753	3884	6546	6992	8416	9235	8174	8558	10714
Dinamarca	256892	276256	297079	351858	358288	450127	569078	584906	605826	597575	571375
El Salvador	3148	3987	4717	4778	4976	5692	5444	5837	6550	6831	7142
España	630024	708055	979794	1235322	1350105	1804654	2301967	2326952	2531670	2296047	2275975
EUA	5810856	6353258	6946289	8353479	9476403	11204108	13427103	13749570	13661791	14516454	15508155
Finlandia	132130	150128	185709	227518	220318	266592	320600	354493	420836	467298	538365
Francia	1552377	1726658	2300666	2851561	3052297	3817630	4841930	4879481	5164310	5119132	5003783
Grecia	169362	186138	204577	253287	262954	329782	454200	504612	587562	543706	478678
Guatemala	2925	3119	3467	3844	3723	3958	4226	4382	4928	5562	5531
Holanda	1239794	1320025	1405449	1671049	1669067	2097648	2599752	2406769	2424141	2413463	2471208
Hungría	34290	40399	58067	81552	84925	132246	176903	222767	239946	206823	208143
India	87482	98740	111445	125786	141973	160242	206005	229799	252398	295862	331287
Irlanda	438543	508068	734333	1052149	1336187	1763130	2267387	2355639	2531162	2305728	2213173
Israel	70175	71040	74059	78423	78151	87418	90116	86948	92109	106018	103583
Italia	1036904	1116957	1452122	1647918	1675759	2108044	2549297	2395317	2551151	2435220	2349707
Japón	1125539	1234677	1354398	1557069	1521073	1512871	1767807	2230634	2086400	2588607	3115170
Malasia	45656	48643	51825	57238	56109	56450	62326	75326	76376	82320	91662
México	153093	162009	162666	166238	173124	171422	196796	205346	199434	251980	285351
Nicaragua	6374	6363	6596	5391	5348	4527	3385	3512	3661	3876	3989
Noruega	193296	214147	237249	282528	281007	415571	553678	582343	553571	590615	596511
Panamá	6263	6349	6504	7219	7580	7788	8276	8477	10150	10439	10618
Perú	27154	28343	29585	31244	28666	28897	32894	34838	35731	40574	43515
Polonia	71971	84875	107274	129943	132869	169765	233343	245496	280187	317132	320637
Portugal	237840	253623	270454	310627	302220	381453	483916	484710	549149	528597	482200
Reino Unido	4719940	5051529	5406413	6729485	7385985	9239287	11260597	9106737	9409468	9482996	9960629
Rep. Checa	22374	26983	34893	45241	46453	57180	76043	83088	89245	95396	93914
Rep. Dominicana	4176	4536	5987	6380	5847	6296	6556	7219	8215	9947	10304
Rusia	146491	164952	185741	214503	257402	313176	463915	480541	467245	488940	540555
Sudáfrica	28910	32728	37138	43334	46157	59396	75275	71811	78561	104381	113134
Suecia	303334	361669	467900	565795	555237	682429	860863	821864	918933	947509	992502
Suiza	599023	722129	807631	906949	886947	1041639	1452517	1252731	1259304	1308585	1423907
Tailandia	44293	47892	51783	51312	52040	59643	61738	65225	75307	100561	104592
Turquía	113592	129592	144087	161008	170570	208402	250409	281226	269355	292009	305153
Venezuela	35398	35460	40456	43679	46427	44735	53855	53757	69494	80831	91228
