Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Alemania,1.70,1.66,1.28,0.83,0.46,0.29,1.02,1.75,1.74,0.53,0.62
Argentina,1.48,-0.99,-3.97,-1.66,0.21,2.91,7.04,7.00,6.56,4.88,5.01
Australia,3.43,3.03,2.91,2.55,2.61,2.87,2.69,2.82,2.75,2.38,2.24
Austria,2.65,2.36,1.94,1.41,1.20,1.51,1.90,2.46,2.23,0.97,0.65
Bélgica,2.56,1.98,1.86,1.32,1.24,1.43,1.69,2.11,1.65,0.73,0.68
Bolivia,2.56,1.91,1.42,1.87,2.20,2.75,3.21,3.58,3.97,3.75,3.62
Brasil,1.58,1.17,1.69,1.87,2.15,2.52,2.77,3.76,3.65,2.94,3.64
Canadá,3.80,3.31,3.07,2.35,1.94,2.18,2.16,2.23,1.74,0.57,0.65
Chile,3.78,3.13,2.92,2.78,3.08,3.52,4.01,4.14,3.66,2.33,2.63
China,6.57,6.37,6.62,7.10,7.43,8.02,8.72,9.54,9.44,9.02,8.58
Colombia,0.70,0.36,0.74,2.39,2.67,3.27,4.11,4.70,4.34,3.72,3.19
Corea del Sur,2.97,2.84,5.76,4.44,3.68,3.68,3.30,3.75,3.29,2.56,2.78
Costa Rica,4.74,3.84,2.76,2.41,2.90,3.86,5.02,5.33,5.01,3.61,2.82
Dinamarca,2.28,1.78,1.44,1.01,0.77,1.11,1.70,1.94,1.32,-0.34,-0.69
El Salvador,2.71,2.20,1.92,1.70,1.64,2.00,2.32,2.62,2.51,1.14,0.64
España,3.61,3.57,3.22,2.89,2.54,2.52,2.79,2.87,2.39,0.90,0.03
EUA,3.57,2.89,2.38,1.92,1.78,2.18,2.35,2.22,1.45,0.11,0.18
Finlandia,4.07,3.29,2.65,2.28,2.04,2.17,2.68,3.34,2.57,0.18,-0.03
Francia,2.50,2.43,1.94,1.46,1.24,1.24,1.54,1.82,1.29,0.28,0.13
Grecia,2.97,3.08,3.09,3.59,3.57,3.19,3.60,3.12,2.20,1.09,-0.99
Guatemala,3.35,2.94,2.72,2.46,2.37,2.55,2.85,3.60,3.62,3.07,2.58
Holanda,3.35,2.88,2.11,1.24,0.91,0.93,1.59,2.31,2.22,1.05,0.71
Hungría,2.91,3.03,3.12,3.25,3.36,3.41,3.29,2.53,1.76,-0.44,-0.95
India,4.50,4.68,4.22,4.12,4.89,5.74,6.81,7.17,6.38,6.17,6.23
Irlanda,7.51,6.30,5.91,4.78,3.85,3.95,3.84,4.05,2.51,-0.01,-1.12
Israel,3.98,3.24,2.30,1.93,1.09,2.12,3.35,4.15,3.99,3.16,3.02
Italia,1.68,1.68,1.48,1.17,0.80,0.61,0.96,1.31,0.72,-0.59,-0.67
Japón,0.32,0.07,0.54,0.91,0.93,1.12,1.41,1.51,0.82,-0.58,-0.04
Malasia,2.81,1.47,4.13,4.06,3.66,4.63,4.67,4.77,4.38,2.99,3.30
México,4.40,3.01,2.20,1.69,1.20,1.88,2.74,3.12,2.55,0.66,0.73
Nicaragua,3.74,3.54,2.94,2.06,2.29,2.55,3.24,3.74,3.26,2.10,1.90
Noruega,2.66,1.98,1.75,1.54,1.68,1.80,1.99,2.32,1.54,0.68,0.33
Panamá,4.05,2.88,1.88,1.93,2.87,4.19,5.44,7.00,7.51,6.83,6.65
Perú,1.98,0.68,1.80,2.42,2.82,4.15,4.68,5.64,6.60,5.37,5.58
Polonia,4.14,2.97,2.27,2.14,2.35,2.84,3.79,4.37,4.32,3.92,3.46
Portugal,3.49,3.00,2.13,1.13,0.67,0.43,0.57,1.23,0.91,0.16,0.15
Reino Unido,2.83,2.75,2.53,2.66,2.40,2.38,2.41,2.38,1.59,0.22,0.06
Rep. Checa,0.94,1.73,2.21,2.63,2.74,3.46,4.43,4.82,4.49,2.18,1.30
Rep. Dominicana,5.44,4.20,3.96,2.57,1.71,3.16,4.09,5.85,6.66,5.50,4.94
Rusia,2.36,3.10,5.20,5.37,4.83,5.08,5.76,6.00,5.62,2.63,1.90
Sudáfrica,1.92,1.94,2.57,2.69,2.77,3.27,3.66,4.17,3.99,2.60,2.07
Suecia,3.19,2.90,2.56,2.10,2.05,2.43,2.79,2.99,2.01,0.34,0.77
Suiza,1.96,1.80,1.29,1.01,0.77,1.06,1.77,2.53,2.48,1.54,1.40
Tailandia,-0.70,0.01,3.32,3.84,4.16,4.65,4.61,4.19,3.43,2.02,2.54
Turquía,2.58,-0.09,0.65,2.39,2.88,5.79,5.93,5.81,4.07,1.40,1.82
Venezuela,0.79,0.22,-1.68,-2.06,0.56,1.87,5.75,9.29,6.77,4.02,1.77
