Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Alemania,59,61,64,66,69,68,65,67,74,82,81
Argentina,54,146,138,126,73,64,56,49,49,45,42
Australia,22,20,19,17,16,16,15,14,19,23,27
Austria,69,69,68,69,69,66,66,62,69,71,72
Bélgica,107,103,98,94,92,88,84,89,96,96,98
Bolivia,60,69,74,77,80,55,41,37,41,37,32
Brasil,68,77,72,69,68,56,58,57,61,53,54
Canadá,81,79,75,71,70,69,65,69,82,83,83
Chile,15,15,13,10,7,5,4,5,6,9,11
China,27,27,27,25,23,21,17,15,16,16,15
Colombia,52,59,57,52,50,47,44,43,45,46,43
Corea del Sur,19,19,20,23,26,29,29,30,34,34,36
Costa Rica,39,41,40,41,37,33,28,25,27,30,33
Dinamarca,50,50,47,45,38,32,28,33,41,43,46
El Salvador,,,,,,,,,,,
España,56,53,49,46,43,40,36,40,54,61,69
EUA,32,34,36,37,37,37,36,40,54,63,68
Finlandia,42,41,45,44,42,40,35,34,44,49,49
Francia,57,59,63,65,67,64,64,68,79,82,86
Grecia,104,102,97,99,101,107,107,113,130,148,171
Guatemala,,,,,,,,,,,
Holanda,51,50,52,52,52,47,45,58,61,63,65
Hungría,53,56,59,60,62,66,67,73,80,82,81
India,58,62,61,62,61,59,57,56,55,51,50
Irlanda,35,32,31,29,27,25,25,45,65,92,106
Israel,90,97,102,96,92,83,77,76,78,74,73
Italia,108,105,104,103,105,106,103,106,116,119,120
Japón,145,153,158,166,170,167,162,171,189,193,205
Malasia,41,43,45,46,42,41,40,40,51,51,52
México,36,39,40,37,35,32,31,36,37,37,35
Nicaragua,,,,,,,,,,,
Noruega,28,34,42,44,42,54,51,48,43,43,33
Panamá,65,64,60,62,59,53,46,39,41,39,36
Perú,46,47,47,44,38,33,27,23,25,22,20
Polonia,38,42,47,46,47,47,45,47,49,53,54
Portugal,54,57,59,62,68,69,68,72,83,94,108
Reino Unido,38,38,39,41,42,43,44,52,68,79,85
Rep. Checa,17,27,29,29,29,29,28,29,35,38,41
Rep. Dominicana,16,20,37,24,25,22,20,25,28,29,28
Rusia,48,42,30,23,14,9,7,7,8,9,8
Sudáfrica,44,37,37,36,35,33,28,27,31,35,39
Suecia,55,53,52,50,50,45,40,39,43,39,38
Suiza,50,53,53,53,51,45,42,39,38,36,35
Tailandia,58,55,51,49,48,41,38,38,45,43,40
Turquía,74,70,62,57,51,46,40,40,46,43,40
Venezuela,32,44,47,39,33,24,19,14,18,18,25
