Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Alemania,"82,132","89,143","96,835","97,170","101,676","111,637","135,932","138,564","179,040","215,978","234,104"
Argentina,"14,556","10,492","14,157","19,660","28,082","32,022","46,149","46,385","48,007","52,208","46,266"
Australia,"18,664","21,567","33,258","36,926","43,257","55,079","26,908","32,924","41,742","42,268","46,714"
Austria,"15,598","13,182","12,729","12,188","11,828","12,911","18,194","16,741","17,904","22,242","24,769"
Bélgica,"13,560","14,698","14,449","13,991","11,996","13,437","16,485","15,681","23,862","26,779","29,114"
Bolivia,"1,146",893,"1,097","1,271","1,795","3,194","5,314","7,720","8,575","9,731","11,995"
Brasil,"35,866","37,832","49,297","52,935","53,799","85,843","180,334","193,783","238,539","288,575","352,010"
Canadá,"34,253","37,189","36,268","34,476","33,018","35,063","41,082","43,872","54,356","57,151","65,819"
Chile,"14,399","15,344","15,843","15,997","16,933","19,397","16,843","23,079","25,292","27,827","41,944"
China,"220,057","297,739","416,199","622,949","831,410","1,080,756","1,546,365","1,966,037","2,452,899","2,913,712","3,254,674"
Colombia,"10,244","10,844","10,920","13,537","14,955","15,437","20,951","23,671","24,987","28,076","31,896"
Corea del Sur,"102,875","121,498","155,472","199,195","210,552","239,148","262,533","201,545","270,437","292,143","306,935"
Costa Rica,"1,330","1,502","1,840","1,923","2,314","3,117","4,115","3,801","4,068","4,630","4,758"
Dinamarca,"17,702","27,719","37,998","40,021","34,028","31,084","34,318","42,327","76,618","76,510","84,955"
El Salvador,"1,723","1,634","1,988","1,938","1,890","1,963","2,304","2,646","3,122","2,897","2,510"
España,"34,236","40,303","26,809","19,759","17,227","19,340","19,029","20,288","28,051","31,872","46,705"
EUA,"130,077","157,763","184,024","190,465","188,259","221,089","277,549","294,046","404,099","488,928","537,267"
Finlandia,"8,419","9,825","11,173","12,914","11,332","7,499","8,380","8,354","11,429","9,547","10,276"
Francia,"58,637","61,697","70,762","77,353","74,360","98,239","115,487","103,306","131,786","165,852","168,490"
Grecia,"6,244","9,432","5,801","2,708","2,287","2,850","3,648","3,490","5,486","6,352","6,743"
Guatemala,"2,352","2,373","2,925","3,522","3,777","4,055","4,315","4,654","5,205","5,949","6,174"
Holanda,"16,897","18,948","21,597","21,603","20,448","23,902","26,928","28,603","39,284","46,147","50,411"
Hungría,"10,755","10,383","12,794","15,965","18,603","21,590","24,052","33,874","44,181","44,988","48,832"
India,"49,051","71,608","103,737","131,631","137,825","178,050","276,578","257,423","284,683","300,480","298,739"
Irlanda,"5,635","5,475","4,152","2,908",869,832,925,"1,039","2,151","2,114","1,695"
Israel,"23,379","24,083","26,315","27,094","28,059","29,153","28,519","42,513","60,611","70,907","74,874"
Italia,"46,216","55,622","63,264","62,386","65,954","75,773","94,109","105,649","131,497","158,478","169,872"
Japón,"401,958","469,618","673,554","844,667","846,896","895,321","973,297","1,030,763","1,048,991","1,096,069","1,295,839"
Malasia,"29,846","33,762","44,310","66,394","70,458","82,876","101,995","92,166","96,704","106,528","133,572"
México,"44,805","50,671","59,027","64,202","74,110","76,329","87,208","95,300","99,889","120,584","149,208"
Nicaragua,384,453,508,668,728,922,"1,103","1,141","1,573","1,799","1,892"
Noruega,"23,605","32,405","37,712","44,308","46,986","56,842","60,840","50,950","48,859","52,798","49,397"
Panamá,"1,092","1,183","1,011",631,"1,211","1,335","1,935","2,424","3,028","2,714","2,304"
Perú,"8,980","9,721","10,242","12,665","14,171","17,442","27,786","31,241","33,225","44,215","48,913"
Polonia,"26,563","29,784","33,959","36,773","42,561","48,474","65,725","62,184","79,522","93,472","97,712"
Portugal,"15,060","17,701","12,813","11,684","10,364","9,883","11,512","12,006","15,829","20,937","20,801"
Reino Unido,"37,347","41,009","39,550","44,339","43,593","47,039","57,275","53,024","66,550","82,365","94,544"
Rep. Checa,"14,464","23,707","26,955","28,451","29,554","31,457","34,907","37,022","41,608","42,483","40,283"
Rep. Dominicana,"1,105",475,261,806,"1,943","2,275","3,045","2,698","3,583","3,883","4,117"
Rusia,"36,303","48,326","78,409","126,258","182,272","303,773","478,822","426,279","439,342","479,222","497,410"
Sudáfrica,"7,627","7,817","8,154","14,886","20,624","25,593","32,919","34,070","39,603","43,820","48,748"
Suecia,"15,625","19,171","22,169","24,769","24,868","28,017","31,033","29,727","47,255","48,246","50,214"
Suiza,"51,550","61,276","69,563","74,568","57,575","64,461","75,172","74,146","134,566","270,480","330,586"
Tailandia,"33,041","38,903","42,162","49,847","52,076","67,008","87,472","111,009","138,419","172,028","174,891"
Turquía,"19,911","28,348","35,549","37,304","52,494","63,265","76,496","73,675","74,933","85,959","87,937"
Venezuela,"12,264","12,107","20,821","23,408","29,803","36,715","33,759","43,065","34,318","29,665","27,935"
