Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Alemania,24,22,22,22,22,12,22,23,33,30,26
Argentina,58,74,76,75,66,52,52,52,60,60,58
Australia,26,26,25,28,28,25,27,36,33,36,32
Austria,19,20,17,18,18,15,19,22,30,31,28
Bélgica,23,25,22,22,22,16,17,21,35,27,28
Bolivia,,,,,,,,,,,
Brasil,55,52,51,49,50,42,40,41,41,40,38
Canadá,17,17,17,16,13,12,20,18,21,19,19
Chile,29,25,24,24,25,27,31,31,33,31,26
China,52,53,54,53,56,54,55,54,55,54,54
Colombia,56,56,52,52,52,45,45,45,43,42,41
Corea del Sur,42,39,36,36,35,32,33,39,45,42,38
Costa Rica,,,,,,,,,,,
Dinamarca,20,18,18,17,16,13,19,21,31,30,29
El Salvador,,,,,,,,,,,
España,32,27,30,29,27,26,28,30,37,36,39
EUA,16,15,18,16,17,19,27,30,32,32,34
Finlandia,19,15,16,14,13,15,16,19,22,25,22
Francia,15,15,15,16,16,14,16,19,35,34,30
Grecia,37,34,35,33,38,24,24,28,29,44,49
Guatemala,,,,,,,,,,,
Holanda,23,21,22,22,23,19,26,22,29,32,27
Hungría,42,44,43,43,40,50,51,53,53,53,49
India,53,52,48,49,48,44,44,44,46,46,43
Irlanda,26,24,26,25,30,21,22,30,43,42,45
Israel,37,40,35,33,35,32,35,34,41,38,37
Italia,25,22,24,25,31,26,31,31,37,32,32
Japón,26,25,24,22,21,17,21,23,29,30,29
Malasia,43,39,43,43,42,40,36,36,37,32,31
México,44,40,39,42,39,38,35,35,39,36,33
Nicaragua,,,,,,,,,,,
Noruega,20,19,16,15,16,11,12,19,24,23,21
Panamá,,,,,,,,,,,
Perú,49,48,50,46,46,36,40,37,41,36,37
Polonia,46,44,38,39,36,31,31,35,44,36,35
Portugal,23,24,25,22,22,22,21,28,36,40,46
Reino Unido,16,15,13,16,19,20,22,31,42,41,37
Rep. Checa,50,45,42,42,40,38,39,37,41,40,39
Rep. Dominicana,,,,,,,,,,,
Rusia,67,65,62,57,59,48,47,51,56,53,52
Sudáfrica,41,46,38,36,40,34,34,39,41,41,40
Suecia,14,17,20,17,13,12,14,19,30,25,22
Suiza,19,18,18,16,16,11,10,17,24,20,17
Tailandia,44,46,47,46,44,49,46,51,53,44,44
Turquía,60,60,64,53,55,52,48,48,49,46,48
Venezuela,64,67,67,64,62,61,70,69,72,74,76
