Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Alemania,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.03
Argentina,0.05,0.04,0.05,0.06,0.07,0.07,0.07,0.08,0.08,0.08,0.07
Australia,0.01,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Austria,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02
Bélgica,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02
Bolivia,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01
Brasil,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02
Canadá,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02
Chile,0.03,0.02,0.02,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.02
China,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02
Colombia,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02
Corea del Sur,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.02,0.02,0.02,0.02
Costa Rica,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
Dinamarca,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03
El Salvador,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02
España,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03
EUA,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02
Finlandia,0.03,0.02,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.02,0.04
Francia,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02
Grecia,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.03
Guatemala,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02
Holanda,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.02
Hungría,0.02,0.02,0.01,0.02,0.01,0.01,0.00,0.00,0.01,0.02,0.04
India,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Irlanda,0.03,0.03,0.02,0.02,0.03,0.03,0.02,0.02,0.02,0.03,0.05
Israel,0.01,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02
Italia,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02
Japón,0.01,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.03
Malasia,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.02,0.02,0.02,0.03
México,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.02,0.02,0.02,0.03
Nicaragua,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.02
Noruega,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02
Panamá,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.04,0.04,0.03
Perú,0.05,0.04,0.05,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
Polonia,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Portugal,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.02,0.01,0.01,0.02
Reino Unido,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03
Rep. Checa,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.04
Rep. Dominicana,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.04,0.04,0.04,0.04
Rusia,0.07,0.08,0.07,0.06,0.05,0.05,0.05,0.02,0.02,0.01,0.05
Sudáfrica,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02
Suecia,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.03
Suiza,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02
Tailandia,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.01,0.01,0.02,0.03
Turquía,0.05,0.05,0.06,0.05,0.05,0.05,0.06,0.06,0.05,0.05,0.05
Venezuela,0.04,0.04,0.04,0.05,0.06,0.09,0.09,0.10,0.09,0.09,0.10
