Region	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011
Alemania	1.6	1.5	1.1	0.6	0.4	0.4	0.4	0.5	0.6	0.6	0.7
Argentina	53.4	8.1	8.4	8.7	8.7	8.8	8.8	8.6	8.3	7.7	7
Australia	1.5	1.6	1.6	1.5	1.5	1.4	1.4	1.2	1	1	0.8
Austria	1.2	1.1	0.9	0.8	0.7	0.7	0.7	0.7	0.7	0.8	0.7
Bélgica	0.7	0.6	0.6	0.6	0.5	0.6	0.6	0.6	0.9	1.1	1.1
Bolivia	5.4	3.8	3.9	3.9	3.8	3.4	2	2.5	3.9	3.8	3.9
Brasil	823.8	841.3	838.7	652	18.7	4	3.1	3.3	3.1	3.1	3.2
Canadá	1.4	0.7	0.7	0.8	0.6	0.6	0.5	0.5	0.3	0.7	0.7
Chile	4.9	3.5	3.1	2.4	2	1.6	1.3	0.9	1.9	2	2.1
China	8.6	8.8	9.1	8.8	5.6	2.9	1.7	2	2.4	2.3	2.2
Colombia	6.5	6.4	6.5	6.6	6.3	6	5.2	4.2	2	1.6	1.7
Corea del Sur	2.4	2	1.9	1.9	1.8	1.8	1.8	1.8	1.1	0.8	0.8
Costa Rica	6.5	4.9	4.3	4.3	4.3	2.5	1.5	1.5	1.7	1.9	2.6
Dinamarca	0.4	0.4	0.4	0.3	0.5	0.5	0.5	0.5	0.6	0.7	0.6
El Salvador	5.8	5.6	5.6	3.8	3.3	2.6	1.4	1.4	1.8	1.7	1.8
España	1.5	1.3	1.1	1	0.9	0.7	0.6	0.6	0.5	1.2	1.2
EUA	0.7	0.5	0.6	0.6	0.6	0.6	0.7	0.7	0.7	1.2	1.2
Finlandia	1.2	0.9	0.8	0.8	0.9	0.9	0.9	1	1.2	1.3	1.2
Francia	0.8	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.7	0.7
Grecia	5.7	4.7	3.9	2.9	2.2	1.7	0.9	0.6	0.4	0.8	0.9
Guatemala	8	2.3	2.3	2.1	1.8	1.8	1.4	1.2	1.8	2.5	2.7
Holanda	0.5	0.7	0.7	0.7	0.8	0.8	0.9	0.9	0.9	1	1
Hungría	7.7	6.7	7.5	7.9	8	6.4	4.8	3.4	2.4	2.2	1.8
India	3.4	3.4	3.3	3.4	3.4	3.1	2.9	2.9	1.5	2.4	3.1
Irlanda	1.2	1.4	1.6	1.5	1.5	1.5	1.4	1.4	1.3	2.9	3
Israel	4.9	4.3	4.1	4.3	4.2	3.9	3	2.3	2.2	1.9	1.9
Italia	1.6	1.3	1.2	1.1	1.1	0.6	0.4	0.4	0.5	0.7	0.7
Japón	1.2	0.9	0.9	0.8	0.8	0.8	0.8	0.5	0.7	0.8	0.8
Malasia	1.1	1.2	1.2	1.3	1.3	1.3	1.3	1.3	1.3	1.4	1.4
México	9.8	10.4	11	11.5	11.7	9.8	6.3	5	4	1.7	0.8
Nicaragua	927.2	5.7	4.7	5	3.5	3.5	3.3	3.2	4.8	4.7	4.8
Noruega	0.7	0.6	0.7	0.7	0.8	0.9	0.8	0.9	1.1	1.1	1
Panamá	0.4	0.5	0.4	0.4	0.5	0.9	0.9	1.3	2.6	2.6	2.6
Perú	124.9	23.6	14.5	7	4	3.6	2.6	1.9	1.6	1.5	1.5
Polonia	21.2	13.8	12.1	10.8	8.6	6.3	5	3.9	3	2.7	1.5
Portugal	3	2.2	1.4	1	0.8	0.7	0.7	0.7	0.7	1.4	1.4
Reino Unido	1.9	1	0.6	0.6	0.6	0.5	0.4	0.5	0.8	0.8	0.8
Rep. Checa	4.5	4.6	4.9	3.9	3.7	3.6	3.3	2.8	1.7	1.8	1.8
Rep. Dominicana	12.9	2.5	2.4	6.7	14.8	15.1	15	15.1	14.9	15.2	15.3
Rusia	271	269.7	268.7	99.4	58	23.3	22.6	22.9	23	4.3	4.1
Sudáfrica	3.3	2.6	1.7	1.6	2.3	2.3	2.3	2.1	2.8	2.9	2.9
Suecia	2.8	1.4	1.4	1	1	0.9	0.9	0.9	1	1.2	1.2
Suiza	1.9	1.3	0.9	0.5	0.5	0.4	0.4	0.4	0.5	0.7	0.7
Tailandia	2.3	2.4	2.6	2.7	2.7	2.6	2.5	2.3	1.7	1.9	1.9
Turquía	15.1	16.4	19	24.3	26.7	28.7	29.4	27.5	22.8	20	17.1
Venezuela	26.8	28.4	28.4	28.6	27	26.5	8.9	7.3	7.4	7.6	7.3
