Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Alemania,"1,880,895","2,006,588","2,423,815","2,726,341","2,766,254","2,902,749","3,323,807","3,623,686","3,298,636","3,284,474","3,600,833"
Argentina,"268,697","102,040","129,597","153,129","183,193","214,066","260,769","326,583","307,155","368,736","446,044"
Australia,"379,358","395,013","466,460","611,386","692,301","744,836","850,326","1,052,818","921,972","1,139,201","1,379,382"
Austria,"191,679","207,537","253,946","291,430","304,984","324,954","375,042","414,171","383,627","376,838","417,656"
Bélgica,"232,486","252,795","311,690","361,683","377,350","399,966","459,619","507,379","473,405","468,586","513,661"
Bolivia,"8,142","7,905","8,082","8,773","9,549","11,451","13,121","16,675","17,340","19,650","23,949"
Brasil,"553,582","504,221","552,469","663,760","882,186","1,088,917","1,365,982","1,652,818","1,621,662","2,143,035","2,476,652"
Canadá,"715,424","734,662","865,873","992,226","1,133,760","1,278,611","1,424,066","1,502,678","1,337,578","1,577,040","1,736,051"
Chile,"72,337","70,985","77,840","100,631","124,404","154,412","172,868","179,627","172,591","216,309","248,585"
China,"1,324,807","1,453,828","1,640,959","1,931,644","2,256,903","2,712,951","3,494,056","4,521,827","4,991,256","5,930,529","7,318,499"
Colombia,"98,204","97,933","94,685","117,075","146,520","162,774","207,520","244,078","234,360","286,381","333,372"
Corea del Sur,"504,586","575,929","643,762","721,975","844,863","951,773","1,049,236","931,402","834,060","1,014,890","1,116,247"
Costa Rica,"16,404","16,844","17,518","18,596","19,965","22,526","26,322","29,831","29,397","36,218","40,870"
Dinamarca,"160,476","173,881","212,622","244,728","257,676","274,377","311,418","343,881","310,545","313,366","333,616"
El Salvador,"13,813","14,307","15,047","15,798","17,094","18,551","20,105","21,431","20,661","21,428","23,054"
España,"608,856","686,296","883,840","1,044,612","1,130,799","1,236,352","1,441,427","1,593,420","1,455,956","1,380,109","1,476,882"
EUA,"10,233,900","10,590,200","11,089,300","11,797,800","12,564,300","13,314,500","13,961,800","14,219,300","13,898,300","14,419,400","14,991,300"
Finlandia,"124,643","135,184","164,256","189,065","195,778","207,949","246,127","271,974","239,383","235,258","263,011"
Francia,"1,338,303","1,452,030","1,792,214","2,055,679","2,136,555","2,255,705","2,582,390","2,831,794","2,619,685","2,549,027","2,773,032"
Grecia,"129,842","146,050","192,850","227,950","240,076","261,713","305,432","341,594","321,016","292,305","289,627"
Guatemala,"18,703","20,777","21,918","23,965","27,211","30,231","34,113","39,136","37,734","41,341","46,900"
Holanda,"400,654","437,807","538,313","609,890","638,471","677,692","782,567","870,811","796,333","774,658","836,074"
Hungría,"52,721","66,389","83,538","101,926","110,322","112,533","136,102","154,234","126,632","128,632","140,029"
India,"492,379","522,798","617,573","721,585","834,215","949,117","1,238,700","1,224,095","1,361,057","1,684,315","1,847,977"
Irlanda,"105,702","123,599","159,121","186,947","203,280","223,671","259,955","263,654","223,099","205,253","217,275"
Israel,"122,941","112,974","118,673","126,571","133,959","145,480","167,112","201,662","194,866","217,443","242,929"
Italia,"1,123,703","1,225,177","1,514,504","1,735,522","1,786,275","1,872,983","2,127,180","2,307,311","2,111,148","2,043,531","2,193,971"
Japón,"4,159,860","3,980,820","4,302,939","4,655,803","4,571,876","4,356,761","4,356,329","4,849,208","5,035,142","5,488,416","5,867,154"
Malasia,"92,784","100,846","110,202","124,749","143,533","162,693","193,551","230,988","202,252","246,821","287,937"
México,"622,093","649,076","700,325","759,777","848,947","952,276","1,035,930","1,094,480","879,703","1,035,274","1,153,343"
Nicaragua,"5,323","5,224","5,322","5,796","6,323","6,786","7,447","8,222","8,062","8,427","9,317"
Noruega,"170,923","191,927","224,881","260,029","304,060","340,042","393,479","453,885","374,758","417,753","485,803"
Panamá,"11,808","12,272","12,933","14,179","15,465","17,137","19,794","23,002","24,080","26,777","26,778"
Perú,"53,936","56,772","61,347","69,725","79,385","92,304","107,513","126,888","126,923","153,618","176,925"
Polonia,"190,421","198,179","216,801","252,769","303,912","341,670","425,322","529,401","430,878","469,782","514,496"
Portugal,"120,332","132,286","161,932","185,397","191,848","201,790","231,742","251,925","234,084","227,197","237,374"
Reino Unido,"1,468,026","1,601,617","1,855,667","2,196,860","2,295,845","2,452,969","2,825,526","2,648,936","2,183,863","2,256,260","2,445,408"
Rep. Checa,"64,375","78,425","95,293","113,977","130,053","148,345","180,511","225,449","197,218","198,929","217,027"
Rep. Dominicana,"24,895","26,570","21,268","22,039","34,004","35,953","41,315","45,805","46,788","51,576","55,611"
Rusia,"306,603","345,110","430,348","591,017","764,001","989,931","1,299,706","1,660,846","1,222,648","1,487,516","1,857,770"
Sudáfrica,"118,479","111,101","168,219","219,093","247,052","261,007","286,172","273,870","283,012","363,523","408,237"
Suecia,"227,359","250,961","314,713","362,090","370,580","399,076","462,513","486,159","405,783","462,903","539,682"
Suiza,"262,647","286,658","334,575","374,224","384,754","405,184","450,528","524,289","509,467","552,225","659,308"
Tailandia,"115,536","126,877","142,640","161,340","176,352","207,089","246,977","272,578","263,711","318,908","345,672"
Turquía,"196,005","232,535","303,005","392,166","482,980","530,900","647,155","730,337","614,554","731,144","774,983"
Venezuela,"122,910","92,890","83,622","112,451","145,513","183,478","230,364","315,600","329,419","393,808","316,482"
