Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Alemania,"391,600","367,643","363,224","362,384","365,196","395,215","413,986","419,318","370,711","392,622","416,835"
Argentina,"38,813","24,667","34,081","45,813","56,206","66,413","75,477","82,324","73,933","89,628","104,462"
Australia,"98,473","107,372","121,060","131,945","141,021","154,164","161,979","177,552","180,021","184,134","191,317"
Austria,"46,017","44,186","46,289","46,562","46,826","47,075","48,760","49,091","45,271","45,645","48,956"
Bélgica,"49,763","47,544","47,576","51,301","54,603","55,999","59,513","60,674","55,599","54,846","57,120"
Bolivia,"1,180","1,398","1,247","1,233","1,315","1,437","1,619","1,921","1,977","2,124","2,628"
Brasil,"108,781","103,090","98,356","107,325","111,216","122,085","138,994","157,859","147,246","178,659","187,082"
Canadá,"144,415","146,669","155,769","167,863","183,505","196,454","203,409","207,568","180,632","198,772","211,923"
Chile,"16,753","17,012","17,980","19,779","24,500","25,075","27,889","33,073","29,073","33,216","39,067"
China,"446,054","504,996","589,119","660,907","739,555","833,478","945,997","1,036,813","1,274,243","1,422,056","1,557,151"
Colombia,"15,485","17,207","19,183","21,319","24,135","28,496","32,609","35,823","35,363","36,979","43,140"
Corea del Sur,"160,359","171,692","179,203","182,976","186,456","192,810","200,936","197,029","195,076","206,379","204,028"
Costa Rica,"2,909","3,100","3,323","3,306","3,446","3,818","4,507","5,005","4,448","4,633","5,017"
Dinamarca,"31,857","31,875","31,824","33,068","34,610","39,561","39,721","38,072","32,028","31,249","32,157"
El Salvador,"2,257","2,331","2,390","2,270","2,313","2,599","2,799","2,646","2,137","2,190","2,435"
España,"157,191","162,607","172,230","180,946","193,750","207,540","216,805","206,582","169,424","158,929","150,521"
EUA,"1,960,711","1,901,795","1,962,412","2,084,632","2,195,928","2,247,323","2,212,314","2,084,363","1,749,042","1,740,805","1,810,018"
Finlandia,"25,103","24,166","24,884","26,095","27,036","27,554","30,495","30,299","26,288","26,781","28,589"
Francia,"256,046","251,055","256,640","265,254","276,942","287,899","306,117","307,072","274,613","277,986","287,695"
Grecia,"29,285","32,059","35,854","35,981","33,702","38,729","47,554","40,745","35,158","29,873","24,017"
Guatemala,"3,168","3,462","3,357","3,330","3,471","4,016","4,200","3,953","3,434","3,363","3,481"
Holanda,"84,578","80,731","79,482","78,231","81,127","87,197","92,014","96,134","84,582","78,526","83,039"
Hungría,"11,511","12,366","12,557","13,460","14,066","13,693","14,219","14,634","13,028","11,768","11,794"
India,"124,980","124,435","137,584","170,579","198,202","225,588","262,139","271,333","289,654","311,355","328,419"
Irlanda,"22,570","23,120","24,595","26,940","30,958","32,465","33,236","29,923","21,635","16,714","14,679"
Israel,"22,690","21,161","20,283","20,289","20,993","23,740","27,196","28,346","27,183","30,876","35,867"
Italia,"232,421","240,336","237,292","242,011","245,119","253,373","257,999","248,358","219,216","223,905","219,817"
Japón,"1,167,466","1,110,233","1,112,202","1,116,595","1,126,036","1,143,025","1,146,616","1,099,524","983,074","981,231","988,600"
Malasia,"23,232","23,366","24,031","24,885","26,123","27,759","30,634","31,356","30,506","33,687","35,872"
México,"117,190","116,441","116,871","126,232","134,376","149,054","159,403","168,746","148,317","157,586","171,547"
Nicaragua,"1,241","1,144","1,135","1,260","1,398","1,388","1,627","1,468","1,167","1,172","1,368"
Noruega,"30,649","30,302","30,534","33,939","38,522","42,306","47,126","47,207","43,648","41,387","44,018"
Panamá,"1,829","1,726","2,128","2,328","2,478","2,890","4,074","5,104","4,773","5,977","5,977"
Perú,"9,880","9,771","10,401","11,212","12,562","14,923","18,553","23,576","21,417","26,389","27,724"
Polonia,"36,711","34,406","34,379","36,573","38,938","44,747","52,601","57,648","56,941","56,849","59,391"
Portugal,"32,669","31,636","29,395","29,390","29,256","28,871","29,627","29,535","26,991","25,881","22,961"
Reino Unido,"259,440","269,049","272,156","285,753","292,612","311,165","336,529","320,943","276,986","286,690","282,766"
Rep. Checa,"17,654","18,333","18,442","18,990","20,135","21,304","24,123","25,113","22,338","22,552","22,384"
Rep. Dominicana,"4,710","4,948","3,949","3,877","4,393","5,330","5,996","6,548","5,558","6,559","6,385"
Rusia,"48,287","49,615","56,512","63,632","70,377","83,045","100,485","111,136","95,133","100,650","108,702"
Sudáfrica,"20,761","21,661","23,879","26,953","29,914","33,547","38,298","42,791","43,791","41,056","43,055"
Suecia,"44,629","44,037","44,757","47,310","51,142","55,851","60,814","61,658","52,123","55,851","59,573"
Suiza,"57,484","56,913","55,753","58,114","60,491","63,695","67,132","67,597","62,199","65,161","67,749"
Tailandia,"27,266","29,051","32,554","36,839","40,723","42,295","42,938","43,442","39,428","43,115","44,517"
Turquía,"38,069","43,659","49,844","63,981","75,107","85,064","87,701","82,303","66,628","86,978","103,031"
Venezuela,"28,012","22,870","14,402","21,566","29,850","38,590","48,477","49,655","45,512","42,647","44,510"
