Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Alemania,45,45,45,45,45,24,24,18,18,18,15
Argentina,66,66,66,66,30,30,30,30,31,26,26
Australia,2,2,2,2,2,2,2,2,2,2,2
Austria,25,25,25,25,25,25,25,25,25,25,25
Bélgica,56,56,56,56,34,34,27,4,4,4,4
Bolivia,60,60,60,60,60,50,50,50,50,50,50
Brasil,152,152,152,152,152,152,149,149,149,119,119
Canadá,3,3,3,3,3,3,3,3,5,5,5
Chile,27,27,27,27,27,27,27,27,27,27,22
China,48,48,48,48,48,48,35,35,41,38,38
Colombia,60,60,60,60,42,42,43,42,36,20,14
Corea del Sur,17,17,17,17,17,17,17,17,17,14,14
Costa Rica,77,77,77,77,77,77,77,77,60,60,60
Dinamarca,7,7,7,7,7,6,6,6,6,6,6
El Salvador,115,115,115,115,115,40,26,26,17,17,17
España,114,114,114,114,114,47,47,47,47,47,47
EUA,6,6,6,6,6,6,6,6,6,6,6
Finlandia,31,31,31,31,14,14,14,14,14,14,14
Francia,41,41,41,41,7,7,7,7,7,7,7
Grecia,38,38,38,38,38,38,38,38,19,19,19
Guatemala,39,39,39,39,39,39,30,34,34,37,37
Holanda,9,9,9,9,9,9,8,8,8,8,8
Hungría,52,52,52,52,52,38,38,16,5,4,4
India,89,89,89,89,89,71,35,33,30,30,29
Irlanda,18,18,18,18,18,18,13,13,13,13,13
Israel,20,20,20,20,20,20,20,20,20,20,20
Italia,23,23,23,23,13,13,13,13,10,10,6
Japón,31,31,31,31,31,31,23,23,23,23,23
Malasia,37,37,37,37,37,37,37,31,20,18,17
México,58,58,58,58,58,58,27,27,28,13,9
Nicaragua,46,46,46,46,39,39,39,39,39,39,39
Noruega,18,18,18,18,18,8,7,7,7,7,7
Panamá,18,18,18,18,18,18,18,18,12,12,9
Perú,98,98,98,98,98,102,72,72,65,41,27
Polonia,31,31,31,31,31,31,31,31,31,32,32
Portugal,78,78,78,78,78,54,8,7,6,6,6
Reino Unido,13,13,13,13,13,13,13,13,13,13,13
Rep. Checa,40,40,40,40,40,40,24,17,20,20,20
Rep. Dominicana,77,77,77,77,77,74,72,22,19,19,19
Rusia,43,43,43,43,34,29,29,29,29,29,29
Sudáfrica,38,38,38,38,38,35,35,31,22,22,22
Suecia,16,16,16,16,16,16,16,16,16,16,16
Suiza,20,20,20,20,18,18,18,18,18,18,18
Tailandia,33,33,33,33,33,33,33,33,33,32,32
Turquía,38,38,38,38,6,6,6,6,6,6,6
Venezuela,141,141,141,141,141,141,141,141,141,141,141
