Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Alemania,5.6,5.6,5.5,5.5,5.5,5.5,5.5,5.6,5.5,5.3,5.3
Argentina,23.0,11.3,11.7,11.5,18.5,21.2,22.9,23.6,24.1,19.7,21.4
Australia,9.8,9.7,10.3,10.4,10.2,10.3,10.5,10.5,9.8,10.3,10.6
Austria,12.9,12.7,12.7,11.5,12.7,13.0,12.8,13.0,13.5,13.3,13.3
Bélgica,7.0,7.2,7.0,6.9,6.5,6.9,6.8,6.7,6.6,6.5,6.5
Bolivia,27.9,25.3,24.3,24.3,23.3,20.8,22.2,21.7,21.3,20.8,20.4
Brasil,21.0,21.1,17.9,18.8,16.7,16.4,16.3,16.1,17.8,16.6,16.2
Canadá,10.8,11.8,11.8,11.7,11.5,12.0,11.9,12.0,12.7,12.2,12.3
Chile,20.8,20.7,20.8,20.9,21.0,20.9,21.0,20.3,20.3,20.4,20.4
China,20.1,19.6,16.3,23.2,22.9,23.0,27.1,26.7,27.0,24.4,24.9
Colombia,21.4,24.2,18.9,21.1,19.1,18.8,18.6,15.7,16.2,11.4,10.7
Corea del Sur,10.7,11.4,10.5,11.7,11.5,11.1,11.1,10.8,10.1,10.3,10.2
Costa Rica,23.2,19.5,21.1,22.1,22.0,19.2,22.2,44.0,45.6,48.0,51.6
Dinamarca,14.0,14.3,13.9,13.8,13.9,13.9,13.5,13.4,13.1,12.8,12.7
El Salvador,23.6,43.2,48.0,41.5,39.2,36.5,39.9,36.9,36.0,38.3,40.2
España,10.6,10.0,9.3,9.1,9.2,9.1,9.1,8.9,8.4,8.3,8.2
EUA,12.1,12.3,12.7,13.0,12.8,12.7,12.6,12.2,11.7,11.9,11.8
Finlandia,10.4,10.3,10.4,10.3,10.2,10.0,10.0,10.0,9.8,9.6,9.5
Francia,23.0,22.7,22.5,22.2,22.0,21.8,21.5,21.0,20.6,19.8,19.5
Grecia,21.9,23.5,23.3,24.4,24.7,23.5,22.8,22.5,23.1,22.4,22.5
Guatemala,30.7,30.9,27.0,28.1,25.5,25.4,25.1,26.6,29.0,29.6,29.5
Holanda,8.4,8.5,8.4,8.4,8.4,7.8,7.7,7.6,7.4,7.4,7.4
Hungría,13.3,14.1,14.8,14.4,14.3,13.4,13.4,13.1,12.5,12.3,12.2
India,9.2,9.7,9.0,8.9,8.4,7.6,7.1,8.6,10.2,8.9,8.9
Irlanda,13.3,13.3,13.6,13.8,26.2,26.3,25.9,25.1,22.8,15.8,16.0
Israel,23.2,22.9,22.8,23.4,23.1,23.4,23.6,24.1,23.9,24.2,24.3
Italia,15.3,15.7,16.3,16.1,16.3,15.8,16.0,15.4,14.9,15.1,15.1
Japón,9.0,10.8,8.7,8.7,7.7,7.8,8.2,7.6,6.7,6.9,6.7
Malasia,26.4,29.9,29.4,26.6,26.6,27.0,27.0,27.2,27.7,31.2,31.7
México,12.3,12.8,13.6,12.0,11.0,11.4,15.3,14.2,16.2,16.3,16.2
Nicaragua,21.8,37.9,36.3,35.0,34.5,34.1,36.0,36.2,38.9,38.0,40.2
Noruega,10.8,15.3,15.7,16.1,16.2,16.4,17.5,17.5,16.8,16.9,17.1
Panamá,37.1,23.8,21.5,25.3,23.4,20.7,20.6,13.7,23.9,25.6,24.6
Perú,22.4,22.7,22.9,21.1,20.1,19.6,17.6,17.6,18.2,17.8,17.4
Polonia,11.1,12.6,12.4,11.8,12.1,12.0,12.0,12.2,12.4,11.8,11.9
Portugal,31.6,32.0,29.7,29.1,28.9,27.3,25.7,24.6,23.6,22.4,21.6
Reino Unido,14.5,14.5,14.9,15.2,14.8,15.2,14.9,13.7,13.6,13.5,13.5
Rep. Checa,10.0,9.8,8.6,8.5,8.5,8.4,8.6,8.4,8.0,7.9,7.2
Rep. Dominicana,26.4,28.5,28.5,28.2,34.4,33.0,34.5,31.3,35.7,36.9,38.1
Rusia,18.4,16.9,18.0,17.7,19.2,19.7,16.7,18.2,16.4,16.2,16.0
Sudáfrica,15.7,15.0,14.6,14.2,14.3,13.8,13.8,13.4,13.6,14.1,13.9
Suecia,10.5,10.6,10.9,11.0,10.6,10.6,10.8,10.8,10.4,10.4,10.4
Suiza,5.9,7.3,7.4,7.3,7.1,6.9,7.0,6.4,11.1,14.0,15.3
Tailandia,20.6,16.5,35.2,33.2,34.6,40.0,37.2,35.3,36.0,40.1,33.6
Turquía,17.6,22.7,21.3,23.7,23.7,22.1,24.0,25.5,23.5,25.3,26.3
Venezuela,20.9,19.9,19.3,18.0,15.9,24.5,23.4,23.5,26.1,19.0,18.8
