Region	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011
Alemania	9	9	9.1	9.1	8.4	8.2	8.2	8	8.2	8.3	8.3
Argentina	7.7	7	6.5	6.8	6.5	6.4	6.4	6.5	6.3	6.3	6.2
Australia	8.4	8.4	8.4	8.4	8.4	8.6	8.6	8.5	8.8	8.8	8.9
Austria	9	9	9.1	9.1	8.4	8.2	8.2	8	8.2	8.3	8.3
Bélgica	9	9	9	9.1	8.4	8.2	8.2	8	8.2	8.3	8.3
Bolivia	8.7	8.8	8.8	9	8.8	8.8	8.5	8.8	8.3	7.9	7.9
Brasil	7.3	7.1	7.1	7.2	7.2	7.8	7.8	7.2	7.1	7.1	7.1
Canadá	8.7	8.7	8.8	8.8	6.6	6.6	6.6	7	7.2	7.3	7.1
Chile	9.1	9.2	9.4	9.5	9.5	9.4	9.4	9.4	9.5	9.4	9.5
China	7.3	7.3	7.3	7.6	8	8.1	8.1	8.1	8.2	8.2	8.2
Colombia	7.7	7.8	7.9	8	7.7	7	7.3	7.4	7.5	7.2	7.2
Corea del Sur	8.3	8.3	8.3	8.4	5.9	5.6	5.7	5.7	5.6	5.6	5.4
Costa Rica	8.3	8.3	8.3	8.4	8.1	8.2	8.2	7.9	8	8	7.9
Dinamarca	9	9	9.1	9.1	8.4	8.2	8.2	8	8.2	8.3	8.3
El Salvador	8	8	8	8.2	8.3	8.3	8.1	8.2	8.1	8.2	8.2
España	9	9	9.1	9.1	8.4	8.2	8.2	8	8.2	8.3	8.3
EUA	8.1	8.1	8.1	8.1	8.4	8.4	8.4	8.4	8.5	8.4	8.5
Finlandia	9	9	9.1	9.1	8.4	8.2	8.2	8	8.2	8.3	8.3
Francia	9	9	9.1	9.1	8.4	8.2	8.2	8	8.2	8.3	8.3
Grecia	9	9	9.1	9.1	8.4	8.2	8.2	8	8.2	8.3	8.3
Guatemala	8	8	8	8.2	6.7	8.4	8.5	8.5	8.5	8.5	8.5
Holanda	9	9	9.1	9.1	8.4	8.2	8.2	8	8.2	8.3	8.3
Hungría	7.4	7.3	7.3	7.8	8.4	8.2	8.2	8	8.2	8.3	8.4
India	4.8	4.9	5	5.4	5.6	5.5	5.4	6.1	6.3	6.2	6.3
Irlanda	9	9	9.1	9.1	8.4	8.2	8.2	8	8.2	8.3	8.3
Israel	9.7	9.7	9.7	9.4	7.9	7.6	7.6	7.2	7.4	7.4	7.2
Italia	9	9	9.1	9.1	8.4	8.2	8.2	8	8.2	8.3	8.3
Japón	8.3	8.5	8.5	8.5	6.1	6.2	6.7	6.3	6.8	7.1	7
Malasia	6	6	6	6	6.6	6.6	6.8	6.1	6.1	6.1	6.1
México	7.5	7.5	7.5	7.6	7.6	7.2	6.6	6.6	6.7	6.6	6.5
Nicaragua	8.5	8.6	8.6	8.6	8.3	8.4	8.4	8.4	8.4	8.4	8.4
Noruega	7.9	8	7.9	7.9	6.1	6.1	6.1	6.1	6.2	6.2	6
Panamá	8.2	8.2	8.2	8.2	7.9	8	8	7.9	7.9	7.9	7.9
Perú	7.8	8	8.1	8.4	8.1	8.2	8.3	8.4	8.5	8.5	8.6
Polonia	7.8	7.9	8.2	8.4	8.4	8.2	8.2	8	8.2	8.3	8.3
Portugal	9	9	9.1	9.1	8.4	8.2	8.2	8	8.2	8.3	8.3
Reino Unido	9	9	9.1	9.1	8.4	8.2	8.2	8	8.2	8.3	8.3
Rep. Checa	8.3	8.3	8.3	8.5	8.4	8.2	8.2	8	8.2	8.3	8.3
Rep. Dominicana	6.8	6.8	7.5	7.2	7	7.6	7.8	7.6	7.5	7.5	7.6
Rusia	7.2	7.5	7.3	6.6	5.1	4.6	4.5	4.3	4	4.6	4.4
Sudáfrica	7.6	7.6	7.6	7.5	6.8	6.9	6.9	7	7.1	6.9	6.8
Suecia	9	9	9.1	9.1	8.4	8.2	8.2	8	8.2	8.3	8.3
Suiza	9.7	9.7	9.7	9.7	6.4	6.1	6.1	5.9	6	6.3	6
Tailandia	6.8	6.8	6.9	6.9	6.8	6.9	7.4	7.2	7.4	7.4	7.4
Turquía	7.5	7.5	7.8	7.8	6.9	6.4	6.2	6.2	6.2	6.2	6
Venezuela	7.5	7.7	7.9	7.9	7.6	7.6	7.6	7.5	7.8	7.8	7.8
