Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Alemania,26.53,22.41,22.10,23.57,26.19,25.06,23.52,23.88,27.27,26.18,26.47
Argentina,11.00,14.22,14.23,14.54,14.55,12.99,13.00,17.00,16.94,17.00,17.03
Australia,17.50,15.33,13.79,16.48,19.02,21.54,16.34,14.88,17.79,14.44,19.63
Austria,28.93,26.35,26.23,29.50,24.37,28.62,27.47,28.67,30.32,29.84,29.96
Bélgica,29.95,25.39,22.04,23.96,25.94,26.11,23.75,24.87,28.04,26.91,26.64
Bolivia,25.39,,25.27,21.09,23.77,20.56,22.37,23.95,,,25.79
Brasil,11.01,11.00,8.99,7.65,7.64,7.63,7.65,8.64,9.00,9.00,9.01
Canadá,20.53,14.93,16.55,18.57,20.26,19.66,13.19,13.61,17.15,12.64,15.63
Chile,19.55,19.54,19.55,19.56,19.56,19.50,20.10,20.10,20.10,20.10,20.12
China,23.68,,24.54,22.41,,,11.00,20.71,22.36,22.34,22.51
Colombia,7.39,7.35,7.40,5.33,5.44,5.49,5.61,5.59,5.59,5.60,5.67
Corea del Sur,6.83,6.73,6.47,7.04,7.23,7.34,7.93,8.00,8.53,7.95,9.05
Costa Rica,18.74,,15.36,14.61,15.13,15.24,13.90,15.46,11.29,16.35,
Dinamarca,34.08,31.19,30.79,31.56,32.10,31.58,31.48,31.02,32.74,31.00,31.14
El Salvador,24.89,,26.77,,,,,,28.09,,
España,12.38,8.71,8.98,11.77,14.35,17.38,16.69,13.54,18.45,19.34,15.57
EUA,16.46,15.09,13.47,13.57,13.97,13.64,13.75,13.76,13.70,13.54,11.34
Finlandia,30.73,10.72,26.91,28.35,29.96,28.32,26.28,26.80,28.99,27.42,27.21
Francia,22.72,23.69,23.68,23.68,24.20,22.27,23.83,23.83,25.29,24.38,24.41
Grecia,18.22,15.91,15.90,16.00,16.00,16.00,16.00,19.11,22.64,20.47,24.76
Guatemala,,,,,,,,19.46,19.18,,
Holanda,28.17,26.98,24.27,27.26,31.75,36.38,24.36,28.96,31.31,30.94,30.26
Hungría,30.63,34.70,35.64,35.59,36.75,38.33,37.22,38.83,41.96,38.59,36.00
India,16.56,22.85,22.46,21.05,22.85,12.00,12.00,12.00,12.00,12.00,12.22
Irlanda,13.33,9.87,10.27,11.11,10.70,11.01,10.23,10.94,16.71,14.67,14.80
Israel,21.57,20.73,13.87,14.39,15.48,15.33,15.61,11.07,15.70,12.89,14.14
Italia,0.00,0.00,0.00,0.00,22.46,22.93,25.81,26.46,26.34,24.65,24.52
Japón,16.89,15.35,14.73,13.44,15.24,16.23,13.17,13.30,15.97,15.79,16.22
Malasia,11.00,10.98,10.99,10.17,10.25,11.03,11.05,11.50,10.91,8.00,11.02
México,3.68,9.05,9.04,9.34,9.10,9.61,9.84,5.68,14.04,11.59,13.89
Nicaragua,16.62,,19.15,19.90,18.54,,,18.13,18.33,,
Noruega,26.85,24.05,25.82,26.26,26.16,26.82,25.89,26.39,30.91,26.93,26.98
Panamá,,,23.46,23.62,21.15,,,,,,
Perú,,,26.64,22.65,24.53,20.34,13.01,12.99,12.99,13.00,13.18
Polonia,32.92,32.88,32.93,32.99,33.16,31.77,30.93,25.97,26.13,24.70,26.40
Portugal,16.07,16.10,14.52,15.39,15.23,14.91,13.69,13.90,15.42,15.49,15.79
Reino Unido,18.83,20.78,21.59,22.02,23.93,23.69,22.18,23.15,23.17,22.54,21.13
Rep. Checa,18.44,20.06,18.89,19.74,23.60,20.10,18.71,12.50,15.78,13.43,20.62
Rep. Dominicana,25.04,22.89,23.13,25.71,,,,,,,
Rusia,13.02,12.98,13.00,13.01,13.00,13.00,13.00,13.00,13.00,12.41,12.35
Sudáfrica,5.52,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.01
Suecia,31.10,0.00,29.11,29.75,29.43,28.62,24.83,24.22,26.35,23.33,23.91
Suiza,12.50,12.00,11.26,12.18,6.42,6.34,6.31,6.25,10.46,9.78,9.96
Tailandia,3.00,4.00,3.99,5.01,4.99,4.98,5.00,4.99,5.00,5.00,5.16
Turquía,27.92,18.56,18.47,28.35,28.34,28.36,28.35,29.64,29.90,29.34,35.41
Venezuela,5.50,3.99,5.51,5.50,5.49,5.50,5.50,5.49,5.50,5.50,5.52
