Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Alemania,0.00,2.03,1.92,4.67,5.07,6.28,7.48,6.24,6.01,6.11,5.63
Argentina,-1.41,8.59,6.28,2.10,2.88,3.63,2.82,2.07,2.71,0.77,0.59
Australia,-1.95,-4.00,-6.15,-6.36,-5.93,-5.57,-6.82,-4.54,-4.76,-2.81,-2.91
Austria,-0.79,2.63,1.65,2.08,2.05,2.78,3.52,4.86,2.68,3.49,0.54
Bélgica,4.59,4.59,3.46,3.16,2.04,1.89,1.53,-1.40,-1.39,1.80,-1.38
Bolivia,-3.37,-4.45,0.94,3.85,6.52,11.51,12.13,11.95,4.69,4.45,2.24
Brasil,-4.19,-1.51,0.76,1.77,1.59,1.25,0.11,-1.71,-1.50,-2.21,-2.12
Canadá,2.28,1.72,1.24,2.31,1.92,1.41,0.84,0.42,-2.99,-3.13,-2.83
Chile,-1.52,-0.82,-1.00,2.06,1.16,4.63,4.31,-1.84,1.49,1.76,1.57
China,1.31,2.44,2.62,3.57,5.87,8.55,10.11,9.30,4.87,4.01,2.76
Colombia,-1.10,-1.32,-1.03,-0.78,-1.29,-1.84,-2.88,-2.76,-2.12,-3.06,-3.01
Corea del Sur,1.67,1.31,2.42,4.48,2.20,1.48,2.07,0.34,3.93,2.90,2.37
Costa Rica,-3.68,-5.09,-5.02,-4.28,-4.91,-4.54,-6.25,-9.34,-1.96,-3.54,-5.35
Dinamarca,3.02,1.99,3.27,2.43,4.31,3.00,1.53,2.91,3.47,5.85,5.66
El Salvador,-1.09,-2.83,-4.67,-3.97,-3.64,-4.13,-6.05,-7.15,-1.51,-2.69,-4.64
España,-3.95,-3.24,-3.49,-5.25,-7.37,-8.97,-10.03,-9.70,-4.79,-4.57,-3.52
EUA,-3.88,-4.32,-4.68,-5.33,-5.94,-6.01,-5.09,-4.76,-2.71,-3.27,-3.16
Finlandia,9.69,8.93,5.20,6.63,3.30,4.17,4.32,2.55,1.90,1.49,-1.21
Francia,1.76,1.24,0.72,0.54,-0.48,-0.58,-1.03,-1.76,-1.35,-1.56,-1.96
Grecia,-7.24,-6.56,-6.64,-5.91,-7.59,-11.30,-14.60,-15.02,-11.19,-10.36,-9.87
Guatemala,-6.70,-5.94,-4.74,-4.86,-4.56,-5.04,-5.23,-4.29,0.02,-1.51,-3.11
Holanda,2.45,2.52,5.55,7.56,7.30,9.31,6.71,4.37,5.22,7.77,9.73
Hungría,-6.08,-7.07,-8.04,-8.64,-7.47,-7.45,-7.32,-7.21,-0.15,1.01,0.94
India,0.29,1.35,1.42,0.11,-1.23,-0.98,-0.65,-2.53,-1.90,-3.07,-5.32
Irlanda,-0.65,-0.89,0.06,-0.58,-3.52,-3.51,-5.33,-5.80,-2.24,1.13,1.16
Israel,-1.65,-1.14,0.53,1.70,3.06,4.83,2.73,0.91,3.58,2.91,0.08
Italia,-0.06,-0.76,-1.28,-0.95,-1.67,-2.55,-2.42,-2.83,-1.94,-3.56,-3.07
Japón,2.11,2.82,3.17,3.70,3.63,3.93,4.86,3.29,2.92,3.72,2.03
Malasia,7.85,7.13,12.14,12.09,13.92,16.10,15.38,16.85,15.72,11.06,11.03
México,-2.85,-2.18,-1.02,-0.69,-0.69,-0.63,-1.07,-1.58,-0.58,-0.43,-0.96
Nicaragua,-15.41,-15.01,-13.26,-11.86,-12.39,-12.45,-16.44,-18.33,-9.61,-10.48,-13.98
Noruega,16.12,12.64,12.32,12.69,16.43,16.44,12.64,16.06,11.02,12.46,14.47
Panamá,-1.44,-0.78,-4.15,-7.07,-6.61,-2.62,-7.11,-11.83,-0.74,-10.69,-14.47
Perú,-2.23,-1.96,-1.55,0.03,1.45,3.11,1.36,-4.19,-0.57,-2.46,-1.89
Polonia,-3.12,-2.80,-2.52,-5.25,-2.38,-3.85,-6.23,-6.60,-3.98,-5.12,-4.86
Portugal,-10.31,-8.21,-6.47,-8.36,-10.33,-10.67,-10.15,-12.66,-10.96,-10.04,-6.55
Reino Unido,-2.06,-1.74,-1.62,-2.07,-2.59,-3.34,-2.52,-1.55,-1.70,-3.33,-1.90
Rep. Checa,-5.08,-5.44,-6.07,-5.04,-0.93,-2.11,-4.40,-2.12,-2.46,-3.82,-2.93
Rep. Dominicana,-2.98,-3.00,4.87,4.73,-1.39,-3.58,-5.24,-9.86,-4.98,-8.39,-8.09
Rusia,11.07,8.44,8.23,10.07,11.07,9.56,5.98,6.23,3.98,4.78,5.32
Sudáfrica,0.29,0.80,-1.05,-3.08,-3.45,-5.27,-7.00,-7.33,-4.00,-2.78,-3.35
Suecia,5.47,4.75,7.05,6.75,6.91,8.60,9.30,9.44,7.07,6.41,6.53
Suiza,8.92,9.15,13.42,15.09,13.81,13.78,8.96,1.10,7.10,13.30,7.54
Tailandia,4.41,3.67,3.35,1.71,-4.34,1.12,6.35,0.81,8.30,4.11,4.08
Turquía,1.92,-0.27,-2.48,-3.68,-4.62,-6.07,-5.94,-5.69,-2.18,-6.38,-9.95
Venezuela,1.61,8.18,14.11,13.80,17.22,14.42,7.53,10.80,1.83,3.07,8.63
