Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Alemania,1.9,1.7,1.4,1.5,1.5,1.6,1.7,1.6,1.6,1.6,1.5
Argentina,0.1,-0.3,0.0,0.0,-0.1,0.0,0.0,-0.1,-0.3,-0.2,-0.2
Australia,1.8,1.7,1.8,2.0,1.8,1.8,1.8,1.8,1.8,1.8,1.7
Austria,2.0,2.0,2.0,1.9,1.7,1.8,1.9,1.8,1.7,1.9,1.7
Bélgica,1.8,2.0,2.0,1.9,1.7,1.7,1.6,1.4,1.6,1.6,1.7
Bolivia,-0.3,-0.3,-0.3,-0.5,-0.7,-0.7,-0.6,-0.7,-0.5,-0.5,-0.4
Brasil,0.1,0.0,0.2,0.1,-0.1,-0.2,-0.1,0.0,0.0,0.1,0.0
Canadá,2.0,1.9,2.0,2.0,1.9,1.9,1.8,1.8,1.8,1.9,1.8
Chile,1.1,1.1,1.2,1.2,1.2,1.1,1.3,1.2,1.1,1.2,1.2
China,-0.1,-0.1,0.0,0.0,-0.1,0.1,0.2,0.2,0.1,0.1,0.1
Colombia,-0.3,-0.4,-0.1,-0.1,-0.2,-0.1,0.0,0.0,0.0,0.1,0.2
Corea del Sur,0.7,0.9,0.9,0.9,1.0,1.1,1.3,1.1,1.1,1.2,1.2
Costa Rica,0.2,0.3,0.3,0.2,0.1,0.1,0.2,0.3,0.3,0.3,0.4
Dinamarca,2.0,2.1,2.2,2.3,2.1,2.3,2.3,2.2,2.3,2.2,2.2
El Salvador,-0.5,-0.5,-0.3,-0.3,-0.3,-0.2,-0.2,-0.2,0.0,0.0,-0.1
España,1.8,1.9,1.9,1.4,1.5,0.9,1.0,0.9,0.9,1.0,1.0
EUA,1.8,1.7,1.6,1.8,1.6,1.6,1.6,1.5,1.4,1.4,1.4
Finlandia,2.1,2.2,2.3,2.2,2.2,2.1,2.0,2.0,2.2,2.2,2.2
Francia,1.7,1.6,1.7,1.8,1.7,1.6,1.5,1.6,1.5,1.4,1.4
Grecia,0.6,0.8,0.7,0.8,0.7,0.7,0.6,0.6,0.6,0.5,0.5
Guatemala,-0.5,-0.5,-0.4,-0.6,-0.7,-0.6,-0.5,-0.5,-0.7,-0.7,-0.7
Holanda,2.1,2.0,2.0,2.1,1.9,1.8,1.7,1.7,1.7,1.7,1.8
Hungría,1.0,1.0,1.0,0.9,0.8,0.9,0.8,0.8,0.7,0.7,0.7
India,-0.1,-0.1,-0.1,-0.1,-0.1,0.0,0.1,0.0,0.0,0.0,0.0
Irlanda,1.7,1.6,1.6,1.6,1.7,1.6,1.6,1.5,1.3,1.3,1.4
Israel,1.2,1.1,1.2,1.3,1.1,1.3,1.3,1.3,1.1,1.2,1.2
Italia,0.8,0.8,0.8,0.7,0.6,0.4,0.3,0.4,0.5,0.5,0.4
Japón,1.2,1.1,1.2,1.4,1.3,1.5,1.4,1.4,1.3,1.4,1.3
Malasia,1.1,1.0,1.2,1.1,1.1,1.2,1.2,1.2,1.0,1.1,1.0
México,0.2,0.3,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.3
Nicaragua,-0.6,-0.8,-0.7,-0.7,-0.8,-0.8,-0.9,-0.9,-0.9,-1.0,-0.9
Noruega,1.9,1.9,1.9,2.1,1.9,2.0,2.0,1.8,1.7,1.8,1.8
Panamá,0.2,0.0,-0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Perú,-0.1,-0.4,-0.4,-0.5,-0.6,-0.6,-0.5,-0.3,-0.4,-0.2,-0.2
Polonia,0.6,0.5,0.6,0.5,0.5,0.4,0.4,0.5,0.6,0.7,0.7
Portugal,1.0,1.2,1.2,1.1,1.1,0.8,0.9,1.0,1.2,1.0,1.0
Reino Unido,1.9,1.8,1.8,1.9,1.7,1.7,1.7,1.6,1.5,1.6,1.5
Rep. Checa,0.6,1.0,0.9,0.9,1.0,1.1,0.9,1.0,1.0,1.0,1.0
Rep. Dominicana,-0.3,-0.4,-0.5,-0.6,-0.6,-0.5,-0.6,-0.6,-0.6,-0.6,-0.6
Rusia,-0.8,-0.3,-0.4,-0.4,-0.5,-0.5,-0.4,-0.4,-0.4,-0.4,-0.4
Sudáfrica,0.7,0.6,0.7,0.7,0.6,0.5,0.5,0.5,0.5,0.4,0.4
Suecia,2.0,2.0,2.1,2.1,1.9,1.8,2.0,1.9,2.0,2.0,2.0
Suiza,2.1,2.0,1.8,2.2,1.9,2.0,2.0,2.0,2.0,1.9,1.9
Tailandia,0.2,0.3,0.4,0.4,0.4,0.4,0.4,0.2,0.2,0.1,0.1
Turquía,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.3,0.3,0.4,0.4
Venezuela,-0.8,-1.0,-1.0,-1.0,-0.9,-1.0,-1.0,-1.1,-0.9,-1.0,-1.1
