Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Alemania,0.53,0.53,0.53,0.79,0.81,0.76,0.71,0.71,0.71,0.73,0.81
Argentina,0.42,0.42,0.42,0.59,0.60,0.59,0.58,0.58,0.58,0.55,0.62
Australia,0.58,0.58,0.58,0.84,0.87,0.84,0.81,0.81,0.81,0.79,0.84
Austria,0.47,0.47,0.47,0.75,0.76,0.75,0.74,0.74,0.74,0.67,0.78
Bélgica,0.45,0.45,0.45,0.75,0.74,0.71,0.68,0.68,0.68,0.72,0.77
Bolivia,0.40,0.40,0.32,0.39,0.40,0.44,0.49,0.49,0.49,0.43,0.47
Brasil,0.42,0.42,0.42,0.57,0.60,0.58,0.57,0.57,0.57,0.50,0.62
Canadá,0.61,0.61,0.61,0.84,0.84,0.83,0.82,0.82,0.82,0.84,0.84
Chile,0.60,0.60,0.60,0.68,0.70,0.64,0.58,0.58,0.58,0.60,0.68
China,0.56,0.56,0.56,0.44,0.51,0.50,0.50,0.50,0.50,0.47,0.54
Colombia,0.48,0.48,0.48,0.53,0.52,0.53,0.53,0.53,0.53,0.61,0.66
Corea del Sur,0.64,0.64,0.64,0.86,0.87,0.85,0.83,0.83,0.83,0.88,0.93
Costa Rica,0.41,0.41,0.41,0.42,0.46,0.49,0.51,0.51,0.51,0.47,0.54
Dinamarca,0.47,0.47,0.47,0.90,0.91,0.91,0.91,0.91,0.91,0.79,0.89
El Salvador,0.47,0.47,0.47,0.40,0.42,0.46,0.50,0.50,0.50,0.47,0.55
España,0.45,0.45,0.45,0.58,0.58,0.65,0.72,0.72,0.72,0.75,0.78
EUA,0.60,0.60,0.60,0.91,0.91,0.89,0.86,0.86,0.86,0.85,0.87
Finlandia,0.49,0.49,0.49,0.82,0.82,0.79,0.75,0.75,0.75,0.70,0.85
Francia,0.51,0.51,0.51,0.67,0.69,0.75,0.80,0.80,0.80,0.75,0.86
Grecia,0.42,0.42,0.42,0.56,0.59,0.58,0.57,0.57,0.57,0.57,0.69
Guatemala,0.42,0.42,0.39,0.34,0.81,0.62,0.43,0.43,0.43,0.39,0.44
Holanda,0.44,0.44,0.44,0.80,0.80,0.83,0.86,0.86,0.86,0.81,0.91
Hungría,0.42,0.42,0.42,0.59,0.65,0.65,0.65,0.65,0.65,0.63,0.72
India,0.45,0.45,0.45,0.39,0.40,0.39,0.38,0.38,0.38,0.36,0.38
Irlanda,0.48,0.48,0.48,0.71,0.73,0.73,0.73,0.73,0.73,0.69,0.71
Israel,0.51,0.51,0.51,0.68,0.69,0.71,0.74,0.74,0.74,0.66,0.81
Italia,0.48,0.48,0.48,0.66,0.68,0.67,0.67,0.67,0.67,0.58,0.72
Japón,0.52,0.52,0.52,0.73,0.78,0.78,0.77,0.77,0.77,0.72,0.80
Malasia,0.52,0.52,0.52,0.54,0.57,0.59,0.61,0.61,0.61,0.61,0.67
México,0.52,0.52,0.52,0.60,0.61,0.60,0.59,0.59,0.59,0.52,0.62
Nicaragua,0.40,0.40,0.32,0.32,0.34,0.35,0.37,0.37,0.37,0.36,0.36
Noruega,0.48,0.48,0.48,0.82,0.82,0.86,0.89,0.89,0.89,0.80,0.86
Panamá,0.41,0.41,0.41,0.49,0.48,0.48,0.47,0.47,0.47,0.46,0.57
Perú,0.44,0.44,0.36,0.50,0.51,0.52,0.53,0.53,0.53,0.49,0.52
Polonia,0.45,0.45,0.45,0.60,0.59,0.60,0.61,0.61,0.61,0.56,0.64
Portugal,0.45,0.45,0.36,0.60,0.61,0.63,0.65,0.65,0.65,0.58,0.72
Reino Unido,0.55,0.55,0.55,0.89,0.88,0.83,0.79,0.79,0.79,0.81,0.90
Rep. Checa,0.45,0.45,0.45,0.62,0.64,0.65,0.67,0.67,0.67,0.61,0.65
Rep. Dominicana,0.26,0.26,0.26,0.41,0.41,0.45,0.49,0.49,0.49,0.46,0.51
Rusia,0.45,0.45,0.37,0.50,0.53,0.52,0.51,0.51,0.51,0.51,0.73
Sudáfrica,0.42,0.42,0.42,0.49,0.51,0.51,0.51,0.51,0.51,0.43,0.49
Suecia,0.49,0.49,0.49,0.87,0.90,0.91,0.92,0.92,0.92,0.75,0.86
Suiza,0.55,0.55,0.55,0.75,0.75,0.76,0.76,0.76,0.76,0.71,0.81
Tailandia,0.44,0.44,0.44,0.51,0.55,0.52,0.50,0.50,0.50,0.47,0.51
Turquía,0.46,0.46,0.46,0.49,0.50,0.49,0.48,0.48,0.48,0.48,0.53
Venezuela,0.48,0.48,0.48,0.49,0.52,0.51,0.51,0.51,0.51,0.48,0.56
