Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Alemania,2.6,2.5,2.4,2.3,2.3,2.2,2.2,1.8,1.7,1.6,2.6
Argentina,0.8,1.0,1.4,1.2,1.1,1.0,0.9,1.2,1.2,1.3,1.3
Australia,4.8,4.4,3.9,3.7,3.6,3.4,3.3,3.3,3.3,3.2,3.1
Austria,5.7,5.6,5.6,5.0,5.5,5.5,5.7,5.4,5.3,5.2,6.2
Bélgica,1.4,1.8,1.7,2.2,2.0,1.9,1.8,1.6,1.5,1.4,2.4
Bolivia,41.5,39.6,35.1,35.1,38.6,39.5,36.1,35.4,34.7,34.0,33.3
Brasil,20.6,20.6,20.7,21.0,20.5,19.3,18.3,17.4,17.0,16.6,16.3
Canadá,2.8,2.8,2.8,2.7,2.7,2.6,2.5,2.4,2.4,2.3,2.3
Chile,13.6,13.5,13.6,13.4,13.2,12.8,12.3,11.7,11.2,11.0,10.7
China,50.0,50.0,49.1,46.9,44.8,42.6,40.8,39.6,38.5,37.4,36.3
Colombia,22.2,21.1,21.8,19.5,21.4,20.7,19.7,17.9,19.7,17.9,18.9
Corea del Sur,10.0,9.3,8.8,8.1,7.9,7.7,7.6,7.2,7.0,6.6,7.6
Costa Rica,15.6,15.9,15.1,14.8,15.2,14.0,13.2,12.3,12.3,12.0,11.6
Dinamarca,3.2,3.0,3.1,2.9,2.8,2.9,2.6,2.6,2.5,2.4,3.4
El Salvador,21.8,19.7,18.2,19.1,20.0,18.9,18.0,18.7,20.9,20.8,20.9
España,6.6,6.0,5.7,5.5,5.3,4.8,4.5,4.0,4.2,4.3,5.3
EUA,2.4,2.5,1.7,1.6,1.6,1.5,1.4,1.5,1.5,1.6,2.6
Finlandia,5.7,5.3,5.0,4.9,4.8,4.6,4.5,4.5,4.6,4.4,5.4
Francia,4.1,4.1,4.2,3.9,3.6,3.7,3.5,2.8,2.9,2.9,3.9
Grecia,16.1,15.5,15.3,12.6,12.4,12.0,11.5,11.3,11.9,12.5,13.5
Guatemala,39.9,38.7,36.1,38.3,37.1,33.2,32.2,31.2,30.3,29.4,28.5
Holanda,2.9,2.6,2.9,3.1,3.2,3.1,2.8,2.6,2.5,2.8,3.8
Hungría,6.2,6.2,5.5,5.3,5.0,4.9,4.7,4.3,4.6,4.5,5.5
India,59.2,58.3,57.5,56.6,55.8,55.0,54.2,53.4,52.6,51.1,50.4
Irlanda,6.3,5.9,5.6,5.4,5.9,5.6,5.4,5.3,5.0,4.6,5.6
Israel,2.0,2.0,1.9,2.0,2.0,1.8,1.6,1.7,1.7,1.7,1.6
Italia,5.2,4.9,4.7,4.2,4.2,4.3,4.0,3.7,3.7,3.8,4.8
Japón,4.9,4.7,4.6,4.5,4.4,4.3,3.9,3.8,3.9,3.7,4.7
Malasia,15.1,14.9,14.3,14.6,14.6,14.6,14.8,14.0,13.5,13.3,13.2
México,17.9,17.9,16.8,16.4,14.9,14.3,13.5,13.1,13.5,13.1,14.1
Nicaragua,30.9,30.7,30.5,30.3,28.9,29.1,29.5,29.3,29.1,28.9,28.7
Noruega,4.1,3.9,3.8,3.6,3.3,3.3,2.9,2.6,2.7,2.5,3.5
Panamá,21.8,21.1,21.1,19.3,19.3,19.5,18.9,17.9,17.9,17.5,17.2
Perú,1.4,0.9,0.7,0.8,0.7,0.8,0.9,0.8,0.8,0.8,0.7
Polonia,19.1,19.3,18.4,18.0,17.4,15.8,14.7,14.0,13.3,12.8,13.8
Portugal,13.1,12.5,12.8,12.1,11.8,11.7,11.6,11.2,11.2,10.9,11.9
Reino Unido,1.4,1.4,1.3,1.3,1.3,1.3,1.4,1.1,1.1,1.2,2.2
Rep. Checa,4.8,4.8,4.5,4.3,4.0,3.8,3.6,3.2,3.1,3.1,4.1
Rep. Dominicana,14.8,15.9,15.0,14.8,14.6,15.0,14.5,15.0,14.5,14.5,14.3
Rusia,12.0,11.3,10.9,10.2,10.2,10.0,9.0,8.6,9.7,9.5,9.3
Sudáfrica,10.5,12.6,10.6,9.1,7.5,8.5,8.8,5.7,5.1,4.7,4.3
Suecia,2.3,2.1,2.1,2.1,2.0,2.0,2.2,2.1,2.2,2.1,3.1
Suiza,4.2,4.1,4.1,3.8,3.8,3.8,3.9,3.3,3.1,3.3,4.3
Tailandia,46.0,46.1,44.9,42.3,42.6,42.1,41.7,42.5,41.5,41.0,40.6
Turquía,37.6,34.9,33.9,34.0,29.5,27.3,23.5,23.7,22.9,23.7,24.7
Venezuela,9.6,9.9,10.7,10.4,9.7,9.1,8.7,8.5,8.4,8.2,8.1
