,,,,,,,,,,,
Fuente:,World Bank,,,,,,,,,,
Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Alemania,69,70,70,69,70,69,69,69,72,71,71
Argentina,69,57,54,54,55,56,57,58,61,59,59
Australia,70,70,70,70,70,69,77,78,76,78,69
Austria,68,69,69,69,69,69,68,68,70,69,68
Bélgica,73,73,74,74,75,75,75,76,78,78,77
Bolivia,56,56,55,54,54,51,51,48,50,50,49
Brasil,67,66,65,63,65,66,67,66,68,67,67
Canadá,66,67,67,66,66,66,67,66,70,70,69
Chile,62,61,62,60,59,55,55,58,59,57,57
China,40,41,41,40,41,41,42,42,43,43,43
Colombia,62,61,60,59,59,58,58,57,58,58,55
Corea del Sur,59,60,60,58,59,60,60,61,60,59,58
Costa Rica,61,62,63,62,62,62,62,64,65,67,68
Dinamarca,71,72,73,73,73,73,73,74,77,77,76
El Salvador,58,58,59,60,60,60,60,60,60,61,60
España,67,67,67,67,67,67,68,69,71,71,72
EUA,77,77,77,77,77,77,77,78,79,79,80
Finlandia,63,64,64,65,65,64,63,65,69,68,69
Francia,75,75,76,77,77,77,77,77,79,79,79
Grecia,72,75,75,76,76,77,78,79,79,79,79
Guatemala,56,56,56,56,57,58,58,58,36,32,20
Holanda,73,74,74,74,74,73,73,73,74,74,73
Hungría,64,65,66,65,66,66,66,66,67,65,68
India,52,53,53,53,53,53,53,54,55,55,56
Irlanda,57,57,60,62,64,64,65,67,67,72,72
Israel,62,66,61,65,65,64,64,64,65,65,65
Italia,69,70,71,71,71,71,71,71,73,73,73
Japón,69,70,70,70,71,71,71,71,73,71,72
Malasia,46,46,44,42,45,45,45,45,50,49,48
México,69,70,63,62,62,61,61,60,62,61,60
Nicaragua,58,59,60,59,59,59,59,58,58,57,54
Noruega,58,60,61,59,56,54,57,54,60,58,58
Panamá,75,77,75,74,76,77,78,77,78,79,79
Perú,62,62,62,60,58,56,56,57,59,57,57
Polonia,65,67,66,64,65,65,64,65,65,65,63
Portugal,69,70,71,71,72,72,73,74,75,74,74
Reino Unido,73,74,75,76,76,76,76,77,78,78,78
Rep. Checa,60,62,63,60,61,61,61,62,62,62,61
Rep. Dominicana,58,58,60,60,60,61,62,62,61,62,61
Rusia,58,61,61,58,57,58,59,59,62,61,59
Sudáfrica,64,63,65,66,66,66,65,64,66,67,67
Suecia,70,70,70,70,71,70,70,71,74,72,71
Suiza,70,71,71,71,71,70,70,70,71,71,71
Tailandia,49,48,46,46,46,45,45,44,45,43,46
Turquía,60,60,60,61,61,62,63,64,65,63,63
Venezuela,49,46,44,40,38,40,43,41,50,42,41
