Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Alemania,"60,475","58,187","58,481","59,234","60,222","60,585","60,992","62,417","59,583","59,245","59,444"
Argentina,"5,779","4,861","4,557","4,602","5,269","5,617","5,743","5,582","4,916","4,717","4,622"
Australia,"22,735","22,545","21,594","22,833","23,857","26,003","26,840","26,346","23,681","24,887","25,526"
Austria,"2,099","2,261","2,333","2,514","2,505","2,649","2,672","2,627","2,555","2,673","2,430"
Bélgica,835,748,707,636,622,651,617,708,817,760,763
Bolivia,,,,,,,,,,,
Brasil,"17,204","16,022","17,704","19,272","20,005","24,074","21,825","22,917","21,944","22,686","23,322"
Canadá,"39,716","39,741","37,228","38,201","39,888","42,038","40,131","42,089","37,477","35,449","35,111"
Chile,"2,750","2,538","2,405","2,867","3,007","3,215","3,806","3,952","1,717","1,076","2,792"
China,"63,450","80,232","105,317","130,384","173,327","210,501","245,161","289,838","314,604","391,177","526,412"
Colombia,497,912,"1,209","1,441","1,761","2,003","1,990","1,944","1,679","1,872","1,953"
Corea del Sur,"104,612","106,136","118,651","140,115","160,921","166,189","172,469","170,632","163,523","170,101","178,924"
Costa Rica,644,644,644,644,644,644,644,644,644,644,644
Dinamarca,"1,945","1,984","1,925","2,015","1,823","1,691","1,857","1,829","1,649","1,768","1,771"
El Salvador,,,,,,,,,,,
España,"2,995","3,134","3,180","3,184","3,353","3,427","3,532","3,884","3,803","3,779","3,626"
EUA,"326,471","334,445","342,441","356,943","390,733","425,966","456,154","456,321","456,106","490,226","503,582"
Finlandia,"2,660","2,369","2,187","2,220","2,059","2,018","2,015","1,946","1,933","1,833","1,774"
Francia,"17,104","16,908","16,850","17,290","17,275","17,249","17,109","16,419","15,693","16,580","16,754"
Grecia,434,412,420,407,482,562,595,658,720,744,785
Guatemala,315,301,302,275,405,528,108,311,329,381,331
Holanda,"2,653","2,603","2,861","2,743","2,850","2,716","2,446","2,732","2,854","2,767","2,895"
Hungría,"5,448","5,906","4,810","2,657","1,202",924,791,772,787,696,698
India,"10,592","11,465","12,613","17,466","24,382","28,928","35,218","36,812","34,287","39,762","42,291"
Irlanda,"1,169",982,939,845,864,935,925,"1,007",961,792,561
Israel,"9,875","6,308","5,898","6,414","5,124","7,496","8,009","7,742","6,774","7,306","6,886"
Italia,"9,487","9,500","9,401","9,247","9,331","10,903","10,125","9,449","9,717","9,723","9,721"
Japón,"440,248","421,805","413,093","423,081","427,078","408,674","396,291","391,002","348,596","344,598","342,610"
Malasia,"5,934","4,937","5,062","5,442","6,286","4,800","2,372","5,303","5,737","6,383","6,452"
México,"13,565","13,062","12,207","13,198","14,435","15,505","16,599","16,581","14,281","14,576","14,055"
Nicaragua,,,,,,,,,,,
Noruega,"6,431","6,287","5,861","5,490","5,986","6,076","6,656","5,430","3,604","1,813","1,776"
Panamá,214,230,260,218,303,440,475,371,370,468,441
Perú,"1,010",869,924,823,"1,020","1,271","1,359","1,535",694,300,"1,168"
Polonia,"6,530","6,605","6,241","7,740","6,583","2,812","2,753","2,778","3,140","3,430","4,123"
Portugal,163,179,165,187,205,220,281,405,617,545,646
Reino Unido,"32,081","31,531","31,624","29,954","27,988","25,745","24,999","23,379","22,465","21,929","22,259"
Rep. Checa,"4,752","5,557","3,579","1,252",830,836,908,854,881,982,880
Rep. Dominicana,246,254,230,226,184,242,283,150,324,339,350
Rusia,"34,090","33,308","34,870","30,190","32,253","37,691","39,439","41,849","38,564","42,500","41,414"
Sudáfrica,"6,393","6,600","6,225","6,789","7,004","7,605","8,317","7,941","6,735","6,383","7,245"
Suecia,"4,500","3,955","3,728","3,230","2,960","2,859","2,925","2,855","2,649","2,549","2,341"
Suiza,"2,453","2,293","2,227","2,176","2,098","2,102","2,034","2,033","2,078","2,155","2,043"
Tailandia,"5,332","4,489","5,131","5,373","6,340","6,261","6,818","6,741","5,857","1,937","3,924"
Turquía,"3,212","1,838",837,917,"1,146","1,232","2,021","2,397","2,732","3,357","4,113"
Venezuela,"1,598","1,598","1,598","1,598","1,598","1,598","1,598","1,598","1,598","1,598","1,598"
