Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Alemania,"186,338","222,140","245,738","272,392","312,208","358,666","403,861","452,185","499,341","549,924","599,464"
Argentina,"7,392","9,652","11,442","15,591","21,147","29,081","37,889","46,701","51,129","56,222","60,975"
Australia,"121,563","148,698","168,673","186,038","202,960","220,400","227,801","236,574","245,717","254,501","264,160"
Austria,"20,884","24,978","27,787","31,046","34,414","38,220","42,423","46,695","50,972","56,133","60,271"
Bélgica,"23,974","28,699","31,866","36,337","41,147","45,012","49,834","54,709","58,659","62,374","65,581"
Bolivia,68,99,139,227,331,529,690,888,"1,058","1,217","1,395"
Brasil,"30,863","38,763","42,775","48,895","57,428","66,442","81,826","93,883","107,335","133,998","162,323"
Canadá,"53,815","66,186","74,640","83,926","96,429","108,346","115,808","126,314","134,306","141,578","148,686"
Chile,753,"1,080","1,420","2,344","3,468","6,033","10,046","14,149","18,768","23,168","26,831"
China,"116,590","192,345","289,060","421,986","565,809","728,068","938,841","1,163,457","1,420,533","1,717,570","2,045,783"
Colombia,"2,651","4,489","6,711","10,831","15,757","22,028","29,061","36,757","44,605","52,416","62,326"
Corea del Sur,"59,992","74,512","85,152","97,568","111,601","127,340","143,134","166,170","189,570","214,348","241,632"
Costa Rica,196,285,348,453,589,775,"1,035","1,271","1,516","1,723","1,904"
Dinamarca,"14,615","16,515","17,450","18,500","19,719","21,559","23,353","24,927","26,610","28,466","29,971"
El Salvador,53,65,72,106,155,251,371,497,648,786,970
España,"59,771","88,461","120,297","161,269","208,714","266,266","331,378","400,108","459,684","519,538","572,595"
EUA,"176,060","214,987","245,281","282,566","326,836","371,719","407,911","440,311","469,246","494,347","520,158"
Finlandia,"11,283","13,155","15,016","16,800","18,714","20,700","22,504","24,479","26,722","28,869","31,134"
Francia,"102,540","122,410","137,483","159,252","180,952","202,301","225,282","249,119","272,184","301,897","331,112"
Grecia,"7,878","11,058","12,673","15,245","18,500","23,253","28,385","35,132","40,166","44,488","48,656"
Guatemala,34,56,74,99,129,190,283,425,598,757,931
Holanda,"74,550","87,748","97,665","104,067","113,227","132,149","151,071","164,668","176,928","188,141","199,213"
Hungría,"19,820","29,074","36,824","47,031","62,495","77,503","87,976","98,163","105,285","113,368","120,193"
India,"25,734","33,844","42,211","54,769","79,429","120,396","166,487","204,445","241,938","275,870","305,444"
Irlanda,"21,586","24,431","25,563","27,246","29,301","31,526","33,525","35,762","37,898","40,257","42,132"
Israel,"25,874","31,914","36,933","44,213","51,870","62,630","73,476","79,914","87,566","95,737","103,257"
Italia,"162,523","223,735","287,855","372,340","470,368","576,167","691,526","809,835","939,901","1,078,793","1,250,740"
Japón,"90,881","124,845","163,596","212,585","266,356","346,874","420,050","482,796","551,280","610,116","667,028"
Malasia,"13,083","16,816","19,892","24,229","29,924","36,710","44,548","50,815","57,278","65,892","76,649"
México,"8,057","10,565","12,002","15,393","18,283","22,919","26,865","31,855","36,875","41,134","45,745"
Nicaragua,10,21,30,58,78,106,135,167,200,234,275
Noruega,"10,262","11,606","12,777","14,145","15,555","17,022","18,725","20,391","22,262","24,144","25,900"
Panamá,114,163,207,276,356,455,540,632,738,832,918
Perú,489,759,900,"1,105","1,298","1,874","2,495","3,183","3,994","5,171","6,006"
Polonia,"8,100","11,191","14,407","20,160","29,878","37,993","47,177","58,142","70,849","83,044","94,028"
Portugal,"9,032","12,093","15,510","20,243","26,063","31,914","37,197","42,325","47,376","52,964","57,602"
Reino Unido,"417,048","417,453","462,918","513,802","559,414","600,323","635,840","676,990","718,183","763,032","806,596"
Rep. Checa,"15,554","24,043","26,608","37,389","50,132","62,943","73,401","83,490","97,521","113,763","126,460"
Rep. Dominicana,60,70,71,93,115,144,188,251,341,457,621
Rusia,"3,893","5,603","6,565","10,381","15,264","21,662","33,189","49,240","102,392","164,657","177,320"
Sudáfrica,"18,618","21,243","23,599","26,085","29,204","32,463","35,746","39,538","43,083","46,409","49,818"
Suecia,"23,377","27,416","30,523","35,210","39,954","44,793","50,026","55,403","60,749","66,436","71,337"
Suiza,"42,693","52,992","61,292","72,841","85,254","96,238","107,315","119,039","130,620","142,730","152,912"
Tailandia,"10,648","15,204","16,879","19,499","22,730","26,643","32,558","37,833","43,930","50,729","58,304"
Turquía,"11,672","15,613","18,861","23,870","34,799","47,149","59,951","73,168","86,873","97,553","106,999"
Venezuela,"1,520","1,862","2,063","2,362","2,799","3,334","3,912","4,400","4,964","5,556","6,059"
