Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Alemania,24,22,18,20,23,27,25,27,25,20,34
Argentina,0,0,0,0,0,0,0,0,0,0,0
Australia,7,8,8,8,7,14,12,12,11,12,8
Austria,0,1,2,3,2,3,2,3,2,3,1
Bélgica,3,4,3,5,3,3,12,3,1,3,5
Bolivia,0,0,0,0,0,0,0,0,0,0,0
Brasil,4,6,1,7,6,7,8,7,8,7,7
Canadá,16,18,18,16,17,20,21,20,21,26,11
Chile,0,0,0,0,0,0,0,0,0,0,0
China,3,8,0,1,10,12,29,12,22,24,61
Colombia,0,0,0,0,0,0,1,0,1,1,1
Corea del Sur,13,8,0,9,11,12,11,12,11,8,14
Costa Rica,0,0,0,0,0,0,0,0,0,0,0
Dinamarca,1,3,4,3,3,2,2,2,2,4,2
El Salvador,0,0,0,0,0,0,0,0,0,0,0
España,5,9,11,10,11,13,15,13,15,12,9
EUA,205,213,157,141,193,165,152,164,151,162,133
Finlandia,3,4,6,3,3,3,2,3,2,3,1
Francia,33,29,34,19,32,32,31,32,31,29,35
Grecia,0,0,0,3,0,3,1,3,1,2,0
Guatemala,0,0,0,0,0,0,0,0,0,0,0
Holanda,14,11,7,9,14,12,8,10,7,10,12
Hungría,0,0,1,2,0,0,0,0,0,2,0
India,3,4,9,8,5,6,7,6,7,8,8
Irlanda,1,4,2,3,3,4,2,4,2,3,2
Israel,0,0,2,1,0,1,1,1,1,1,0
Italia,9,8,12,12,10,10,11,10,11,9,10
Japón,92,55,25,30,59,47,63,47,63,43,68
Malasia,0,0,0,1,0,0,0,0,0,1,1
México,2,1,4,2,3,3,2,3,2,3,3
Nicaragua,0,0,0,0,0,0,0,0,0,0,0
Noruega,2,3,2,4,4,5,3,5,3,3,1
Panamá,1,1,1,1,0,1,1,0,0,0,0
Perú,0,0,2,0,0,0,0,0,0,0,0
Polonia,0,0,0,0,0,0,0,0,0,1,1
Portugal,0,3,0,1,2,2,1,2,1,1,0
Reino Unido,36,41,23,32,38,39,28,34,28,27,30
Rep. Checa,0,0,0,0,0,1,1,1,1,1,0
Rep. Dominicana,0,0,0,0,0,0,0,0,0,0,0
Rusia,3,7,4,2,6,9,8,9,8,10,7
Sudáfrica,0,3,11,9,4,3,4,3,4,4,0
Suecia,6,7,9,3,8,10,6,10,6,7,3
Suiza,10,11,7,8,11,11,13,11,13,14,15
Tailandia,0,1,1,2,1,1,1,1,1,1,1
Turquía,0,0,1,2,1,3,4,3,4,5,1
Venezuela,0,0,0,0,0,0,0,0,0,0,1
